Lat,Lon,Alt,Year,JulianDay_Sin,Temp,Precip,O18 A,H2 A,O18 P,H2 P
37.1644591,-5.611393166,86.394531,2013.0,0.9510565162951535,289.4898681640625,0.0,-3.87,-22.8,-4.356194972991943,-24.635574340820312
42.033333,43.483333,1077.1875,2017.0,-0.2135209154397959,297.6083679199219,4.415451621753164e-05,-3.27,-22.2,-4.276971340179443,-23.985000610351562
64.69939722,-148.2525028,121.98047,2004.0,0.36171373072976765,293.9618225097656,0.0,-16.63,-130.9,-17.753992080688477,-134.65646362304688
48.22,11.59,494.59375,1995.0,-0.2135209154397959,290.3919372558594,0.0,-4.96,-28.3,-7.854638576507568,-53.36431884765625
-34.05,115.0249,77.78125,2007.0,-0.47115950767386394,288.12481689453125,4.889923002338037e-05,-2.04,-1.0,-3.2574172019958496,-15.61255931854248
52.1,5.18,1.7967529,1981.0,-0.2884824328806098,275.7855834960937,0.0,-11.09,-69.2,-7.869042873382568,-53.48260498046875
46.22030867,7.33848445,481.70312,2001.0,0.29671281927349075,288.6055603027344,0.0,-5.2,-40.9,-6.925561428070068,-45.73486328125
51.83,6.25,9.5,1993.0,0.9510565162951535,279.7039489746094,6.891664270369802e-06,-6.74,-49.7,-7.645776271820068,-51.649169921875
48.24861111,16.35638889,200.63281,1979.0,0.2386727660059501,269.9031066894531,0.0,-19.18,-140.6,-12.359582901000977,-90.35830688476562
51.1622,14.9506,238.80469,2012.0,-0.23030567023061196,291.5385437011719,1.950140540429857e-05,-5.75,-37.8,-6.799523830413818,-44.699859619140625
32.63333333,-16.9,0.0,2004.0,-0.970063921851507,290.4496154785156,0.0,-1.98,-10.6,-3.330789089202881,-16.21508026123047
48.8281,9.2,313.79688,1983.0,-0.2884824328806098,274.1112976074219,4.063042069901712e-05,-7.92,-64.0,-11.164026260375977,-80.54055786132812
33.96666667,-4.983333333,500.04688,2017.0,0.2386727660059501,280.8715209960937,0.0002190735831391,-5.95,-26.4,-5.699395656585693,-35.66575622558594
43.73238889,7.423583333,8.8959961,2014.0,0.9510565162951535,282.3019714355469,0.0,-7.43,-52.5,-5.791223049163818,-36.419830322265625
39.46666667,-6.333333333,410.0,2021.0,0.9760105506323683,290.2076416015625,0.0,-4.4,-26.4,-5.179040431976318,-31.392669677734375
76.76666667,-18.66666667,0.0,2010.0,0.9510565162951535,250.54205322265625,0.0,-23.37,-177.3,-20.822107315063477,-159.85140991210938
-33.11011944,-64.24918333,408.09375,2020.0,-0.970063921851507,292.9140014648437,0.0,-2.38,-2.1,-2.963029384613037,-13.195086479187012
46.95222563,7.439320571,542.53125,1986.0,-0.2884824328806098,270.1028137207031,4.848729804507457e-05,-11.0,-77.2,-14.196130752563477,-105.43978881835938
51.93,-10.25,33.068359,1980.0,-0.970063921851507,286.6293640136719,0.000149682367919,-5.57,-36.2,-5.663384914398193,-35.37004089355469
36.83,10.23,0.0,1977.0,0.741222010848596,296.5929260253906,0.0,0.3,-4.5,-2.8342909812927246,-12.137904167175293
45.46666667,13.61666667,0.5645752,2003.0,0.03442161162274574,278.73394775390625,0.0,-3.57,-23.78,-8.769311904907227,-60.87548828125
45.37,-63.27,12.535156,1982.0,0.6994583270516471,272.5054016113281,4.434667062014341e-05,-12.3,-86.0,-13.086999893188477,-96.33175659179688
46.65772518,8.292706832,1061.3125,2006.0,-0.9587178169872964,284.7343139648437,0.0002205022174166,-12.25,-90.04,-9.176233291625977,-64.21707153320312
50.06166667,19.84861111,356.8125,1991.0,0.741222010848596,289.7830810546875,0.0001755660341586,-9.07,-58.4,-8.610864639282227,-59.5743408203125
-33.95833333,18.46111111,109.49609,2001.0,0.6807734094770161,292.05078125,0.0,-1.22,1.0,-2.730985164642334,-11.289570808410645
33.21722222,-87.54305556,64.535156,2007.0,-0.3697245428906732,288.2062072753906,0.0,-2.5,-11.5,-4.027596950531006,-21.937171936035156
-46.42,168.32,-0.90939331,2014.0,-0.2884824328806098,286.3773498535156,0.0,-5.82,-40.7,-6.446618556976318,-41.801849365234375
49.19472222,-123.0172222,1.3475342,2018.0,-0.2884824328806098,281.0718688964844,0.0002342849911656,-11.59,-81.8,-12.093103408813477,-88.17001342773438
68.78666667,-81.25,7.5170898,1989.0,0.9760105506323683,253.0947265625,0.0,-30.74,-227.8,-29.291833877563477,-229.40365600585938
58.38277778,21.81416667,5.9343262,2016.0,-0.9634705485641486,289.0082092285156,0.0,-6.35,-45.7,-8.682886123657227,-60.165771484375
51.93,-10.25,33.068359,1963.0,0.2386727660059501,282.9962158203125,7.680254930164665e-05,-7.6,-47.7,-5.798425197601318,-36.478973388671875
