Lat,Lon,Alt,Year,JulianDay_Sin,O18,H2,O18 P,H2 P
47.54260867,7.58371693,304.73438,2004,0.6994583270516471,-9.88,-66.74413536,-10.252845,-67.387245
47.54260867,7.58371693,304.73438,2004,0.9562348265919056,-9.69,-71.5587575,-10.327071,-67.9459
47.54260867,7.58371693,304.73438,2004,0.9721181966290613,-6.1,-40.66799847,-10.331195,-67.97694
47.54260867,7.58371693,304.73438,2004,0.7295575540864875,-7.01,-50.25006643,-10.261092,-67.44932
47.54260867,7.58371693,304.73438,2004,0.2802306751992159,-7.21,-53.83051048,-9.823981,-64.15946
47.54260867,7.58371693,304.73438,2004,-0.23030567023061196,-5.49,-34.72560691,-9.428107,-61.17997
47.54260867,7.58371693,304.73438,2004,-0.6932812268869771,-4.8,-31.50057387,-9.209552,-59.53504
47.54260867,7.58371693,304.73438,2004,-0.9634705485641486,-4.92,-31.38678091,-8.834296,-56.71073
47.54260867,7.58371693,304.73438,2004,-0.970063921851507,-10.75,-76.42100974,-8.887904,-57.114204
47.54260867,7.58371693,304.73438,2004,-0.7116566222817751,-10.49,-75.39648751,-9.197181,-59.441933
47.54260867,7.58371693,304.73438,2004,-0.27195815753410524,-13.22,-98.71358212,-9.41986,-61.117897
47.54260867,7.58371693,304.73438,2005,0.2386727660059501,-6.66,-42.77138547,-9.795115,-63.942207
47.54260867,7.58371693,304.73438,2005,0.6994583270516471,-15.78,-115.1328526,-10.298205,-67.728645
47.54260867,7.58371693,304.73438,2005,0.9510565162951535,-8.02,-59.70485452,-10.376555,-68.31834
47.54260867,7.58371693,304.73438,2005,0.9760105506323683,-8.51,-58.19910378,-10.380679,-68.34937
47.54260867,7.58371693,304.73438,2005,0.741222010848596,-6.95,-48.05079866,-10.310576,-67.821754
47.54260867,7.58371693,304.73438,2005,0.29671281927349075,-5.24,-32.64544918,-9.869342,-64.50086
47.54260867,7.58371693,304.73438,2005,-0.2135209154397959,-5.67,-37.45673818,-9.452849,-61.366188
47.54260867,7.58371693,304.73438,2005,-0.680773409477016,-6.33,-43.03745941,-9.221923,-59.62815
47.54260867,7.58371693,304.73438,2005,-0.9587178169872964,-9.610421834,-68.63931346,-8.76007,-56.152077
47.54260867,7.58371693,304.73438,2005,-0.9741004551724206,-6.38,-42.73606861,-8.871409,-56.99006
47.54260867,7.58371693,304.73438,2005,-0.7236440382959123,-14.2,-103.3116898,-9.193057,-59.410896
47.54260867,7.58371693,304.73438,2005,-0.2884824328806098,-10.79,-78.0619552,-9.423984,-61.148933
47.54260867,7.58371693,304.73438,2006,0.2386727660059501,-10.39,-75.03694923,-9.823981,-64.15946
47.54260867,7.58371693,304.73438,2006,0.6994583270516471,-11.52,-90.29273588,-10.34769,-68.10108
47.54260867,7.58371693,304.73438,2006,0.9510565162951535,-11.23849183,-82.68571664,-10.434287,-68.752846
47.54260867,7.58371693,304.73438,2006,0.9760105506323683,-10.61,-76.08191291,-10.446658,-68.845955
47.54260867,7.58371693,304.73438,2006,0.741222010848596,-8.47,-60.27743553,-10.364184,-68.22523
47.54260867,7.58371693,304.73438,2006,0.29671281927349075,-4.08,-26.00399436,-9.898208,-64.71812
47.54260867,7.58371693,304.73438,2006,-0.2135209154397959,-3.64,-26.43863597,-9.469344,-61.490334
47.54260867,7.58371693,304.73438,2006,-0.680773409477016,-8.43,-60.3623681,-9.226047,-59.659187
