Lat,Lon,Alt,Precip,Temp,Year,JulianDay_Sin,O18A,H2A,O18P,H2P
37.77,-25.65,175.0,17.0,18.6,1988.0,0.2802306751992158,-1.18,-6.3,-10.335694,-74.136086
72.58,-38.4799,3200.0,0.0,-28.33855285644529,2010.9999999999998,-0.18822670984324394,-45.37545931,-359.6349068,2.6036837,24.48627
63.370000000000005,-135.52,504.0,19.0,6.1,1988.0,-0.9634705485641486,-18.3,-144.0,-9.176825,-63.712753
32.23609999999999,-110.94389999999999,753.0,193.0,27.87962963,1983.0,-0.9587178169872964,-8.972642487,-63.09015544,-6.3670816,-44.250717
46.29,-64.15,39.6,0.0,8.044061279296898,2007.0000000000002,0.9760105506323684,-13.91,-100.8,-6.6830873,-43.393887
40.008,-105.2682583,1660.0,51.6,22.9,2015.0,-0.21352091543979593,-7.83,-55.5,-5.972293,-39.267994
76.76666667,-18.66666667,12.0,3.0,-12.5,1996.0000000000002,0.9721181966290612,-14.51,-113.3,-6.7851977,-47.363907
38.66038889,-27.22009444,74.0,2.4,16.5,1999.0,0.6152845999633275,-2.21,-9.1,-8.051853,-54.789272
79.99999999999999,-85.56,10.0,2.0,-13.7,1989.0000000000002,0.7412220108485961,-37.59,-277.4,-4.4619417,-31.279348
60.72,-135.07,702.0,30.0,-1.3,1961.0,-0.9741004551724206,-25.0,-176.1,-5.2503047,-36.923176
49.81999999999999,-74.97,381.1,0.0,-27.4808410644531,1999.0,0.6994583270516471,-16.52,-119.7,-9.289385,-66.871254
49.19472222,-123.0172222,4.3,8.1,18.9,2016.0000000000002,-0.6932812268869771,-4.75,-39.8,-5.7007194,-38.305027
35.27000000000001,-75.55,3.0,140.0,23.2,1963.9999999999998,-0.9634705485641486,-3.9,-23.6,-2.0259058,-16.75663
45.36999999999999,-63.27,40.0,68.0,-4.2,1978.0000000000002,0.9510565162951534,-12.8,-90.0,-6.5749917,-43.72991
41.05916667000001,-100.74638890000001,919.0,1.8907453457359225,23.697442626953148,1998.0000000000002,-0.3617137307297674,-3.8,-24.0,-5.0608263,-32.702137
43.70555555999999,-72.28833333,173.0,45.0,-16.045812988281227,1998.0000000000002,0.9510565162951534,-9.9,-76.0,-9.542595,-68.7284
41.05916667000001,-100.74638890000001,919.0,9.0,13.9,1994.0,0.9368813462954315,-8.8,-56.0,-6.1266966,-39.09365
47.98,-55.82,22.900000000000002,0.0,-8.335424804687477,1999.0,0.9510565162951534,-7.83,-49.6,-6.77042,-46.456135
