Lat,Lon,Alt,Year,JulianDay_Sin,Temp,Precip,ENSO,NAO,O18,H2,O18 P,H2 P
52.3,104.2833333,427.25,2011,0.29671281927349075,283.98486,0.0,0.4,-1.28,-14.0,-111.2,-13.578695,-99.06126
52.3,104.2833333,427.25,2011,-0.2135209154397959,296.2911,2.2211607e-05,1.6,-1.51,-9.7,-74.1,-10.550055,-74.53498
52.3,104.2833333,427.25,2011,-0.680773409477016,289.3462,4.754567e-05,0.7,-1.35,-14.2,-101.4,-12.931723,-93.822
52.3,104.2833333,427.25,2011,-0.9587178169872964,285.0388,0.0,1.7,0.54,-13.1,-108.0,-12.8832,-93.429054
52.3,104.2833333,427.25,2011,-0.9741004551724206,270.80997,0.0,1.2,0.39,-17.3,-127.0,-17.104696,-127.61521
52.3,104.2833333,427.25,2011,-0.7236440382959123,267.4311,0.0,1.8,1.36,-30.1,-224.1,-17.670797,-132.19955
52.3,104.2833333,427.25,2011,-0.2884824328806098,245.5639,0.0,4.1,2.52,-27.3,-208.7,-32.57543,-252.89896
52.3,104.2833333,427.25,2012,0.2386727660059501,261.34137,5.3495005e-06,1.8,1.17,-29.0,-218.7,-22.191519,-168.80887
52.3,104.2833333,427.25,2012,0.6994583270516471,252.67146,1.175598e-05,0.8,0.42,-26.4,-207.4,-25.539602,-195.92203
52.3,104.2833333,427.25,2012,0.2802306751992159,285.04517,2.3862134e-05,-0.7,-2.53,-10.0,-91.8,-13.22286,-96.179665
52.3,104.2833333,427.25,2012,-0.23030567023061196,288.55252,0.0,-0.1,-1.32,-13.0,-100.8,-12.875113,-93.36356
52.3,104.2833333,427.25,2012,-0.6932812268869771,293.38803,2.9586212e-05,-0.3,-0.98,-11.0,-87.1,-12.292837,-88.64823
52.3,104.2833333,427.25,2012,-0.9634705485641486,282.70758,1.6699816e-05,0.4,-0.59,-15.0,-107.9,-13.918356,-101.81187
52.3,104.2833333,427.25,2012,-0.970063921851507,273.24136,0.0,0.5,-2.06,-29.9,-225.5,-17.112783,-127.6807
