Year,Month,ENSO,NAO
2002,MAR,-0.4,0.69
2003,MAR,-0.5,0.32
2004,MAR,0.7,1.02
2005,MAR,0.5,-1.83
2006,MAR,2.9,-1.28
2007,MAR,0.3,1.44
2008,MAR,2.4,0.08
2009,MAR,0.7,0.57
2010,MAR,-1.1,-0.88
2011,MAR,4.2,0.61
2012,MAR,1.2,1.27
2013,MAR,2.5,-1.61
2014,MAR,-1.5,0.8
2015,MAR,-1.2,1.45
2016,MAR,-0.1,0.73
2017,MAR,1.5,0.74
2018,MAR,2.4,-0.93
2019,MAR,-0.5,1.23
2020,MAR,-0.2,1.01
2021,MAR,0.6,0.73
2022,MAR,2.9,0.77
2023,MAR,0.3,-1.11
2024,MAR,0.6,-0.21
2025,MAR,2.8,0.3
1951,APR,-0.5,-0.22
1952,APR,-0.4,1.01
1953,APR,0.3,-1.67
1954,APR,1.1,1.34
1955,APR,-0.2,-0.42
1956,APR,1.5,-1.06
1957,APR,0.4,0.49
1958,APR,0.6,0.37
1959,APR,0.7,0.36
1960,APR,1.3,1.36
1961,APR,1.3,-1.55
1962,APR,0.3,0.99
1963,APR,1.3,-1.35
1964,APR,1.8,0.36
1965,APR,-0.9,0.72
1966,APR,-0.3,-0.75
1967,APR,-0.1,0.18
1968,APR,0.0,-1.08
1969,APR,-0.6,1.53
1970,APR,-0.1,-1.3
1971,APR,2.8,-0.24
1972,APR,-0.2,-0.22
1973,APR,0.1,-0.54
1974,APR,1.6,0.51
1975,APR,1.9,-1.6
1976,APR,0.5,0.26
1977,APR,-0.7,0.65
1978,APR,-0.5,-1.17
1979,APR,-0.2,-1.71
1980,APR,-1.0,1.29
1981,APR,-0.2,0.36
1982,APR,0.1,0.1
1983,APR,-1.5,-0.85
1984,APR,0.6,-0.28
1985,APR,1.9,0.32
1986,APR,0.5,-0.59
1987,APR,-2.3,2.0
1988,APR,0.2,-1.17
1989,APR,2.7,0.28
1990,APR,0.3,2.0
1991,APR,-1.0,0.29
1992,APR,-1.7,1.86
1993,APR,-1.9,0.97
1994,APR,-2.1,1.14
1995,APR,-1.1,-0.85
1996,APR,1.3,-0.17
1997,APR,-1.0,-1.02
