Year,Month,ENSO,NAO
2004,DEC,-1.3,1.21
2005,DEC,-0.0,-0.44
2006,DEC,-0.5,1.34
2007,DEC,2.7,0.34
2008,DEC,2.4,-0.28
2009,DEC,-1.2,-1.93
2010,DEC,4.8,-1.85
2011,DEC,4.1,2.52
2012,DEC,-1.0,0.17
2013,DEC,0.1,0.95
2014,DEC,-0.9,1.86
2015,DEC,-0.9,2.24
2016,DEC,0.5,0.48
2017,DEC,-0.2,0.88
2018,DEC,1.7,0.61
2019,DEC,-0.9,1.2
2020,DEC,3.0,-0.3
2021,DEC,2.5,0.29
2022,DEC,3.5,-0.15
2023,DEC,-0.4,1.94
2024,DEC,1.9,1.21
2025,DEC,-0.0,-0.65
