Lat,Lon,Alt,Temp,Precip,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Year,JulianDay_Sin,O18 A,H2 A,O18 P,H2 P
46.49143367,9.898180888,1724.0,6.623712158203148,4.9203634494915605,0.0,0.0,0.0,0.0,1.0,1999.0,0.29671281927349075,-8.25,-57.0,-11.289905548095703,-80.410888671875
22.31666667,114.1666667,66.0,29.1,455.5,0.0,0.0,1.0,0.0,0.0,2010.0,-0.2135209154397959,-8.17,-52.1,-8.224821090698242,-55.73478698730469
43.73238889,7.423583333,2.0,19.0,372.0,0.0,0.0,1.0,0.0,0.0,2000.0,-0.7116566222817751,-6.5,-45.0,-4.244060516357422,-23.686840057373047
45.32,-75.67,114.0,17.8,130.0,0.0,0.0,0.0,1.0,0.0,2017.0,0.29671281927349075,-8.2,-58.0,-7.8586039543151855,-52.786476135253906
-0.841111111,29.94194444,1595.0,24.926385498046898,4.519368591718376,1.0,0.0,0.0,0.0,0.0,2005.0,-0.9587178169872964,-1.69,3.2,-2.677060604095459,-10.150956153869629
51.93,-10.25,9.0,13.0,112.0,0.0,0.0,1.0,0.0,0.0,1997.0,-0.9741004551724206,-5.91,-37.2,-5.756209373474121,-35.86071014404297
-26.81666667,-65.21666667,430.0,28.1247497558594,122.5,0.0,0.0,1.0,0.0,0.0,2001.0,-0.2884824328806098,-1.3,5.0,-4.754023551940918,-27.783931732177734
-1.1,-79.46166667,120.0,22.04366455078128,0.0,1.0,0.0,0.0,0.0,0.0,2018.0,0.29671281927349075,-2.37,-17.6,-3.1958212852478027,-15.236770629882812
25.07,110.08,170.0,14.1,114.0,0.0,0.0,1.0,0.0,0.0,1986.0,-0.7236440382959123,-5.03,-23.8,-4.127729415893555,-22.750289916992188
45.03527778,24.28416667,237.0,12.604241943359398,53.6,0.0,0.0,0.0,1.0,0.0,2016.0,-0.9679377830240641,-8.465,-58.2,-7.79646110534668,-52.28618240356445
76.76666667,-18.66666667,12.0,3.7,30.3,0.0,0.0,0.0,0.0,1.0,2004.0,-0.23030567023061196,-12.637,-99.6,-15.742351531982422,-116.2562484741211
