Lat,Lon,Alt,Temp,Precip,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Year,JulianDay_Sin,O18 A,H2 A,O18 P,H2 P
55.677,12.56,6.0,18.463525390625023,1.3264225039165467,0.0,0.0,1.0,0.0,0.0,2015.0,-0.680773409477016,-6.05,-47.2,-5.597075462341309,-35.65731430053711
-12.43,130.87,26.0,28.3,220.0,1.0,0.0,0.0,0.0,0.0,2000.0,-0.27195815753410524,-3.6,-16.4,-4.701807975769043,-28.249149322509766
-7.92,-14.42,15.0,24.822351074218773,7.7,0.0,1.0,0.0,0.0,0.0,2021.0,-0.27195815753410524,0.488,11.6,0.04161524772644043,10.105809211730957
37.21666667,28.36666667,646.0,19.385552978515648,82.1,0.0,0.0,1.0,0.0,0.0,1995.0,0.9760105506323683,-8.23,-52.5,-4.646655559539795,-27.79277229309082
-34.05,115.0249,70.0,18.700616455078148,19.8,0.0,0.0,1.0,0.0,0.0,2013.0,0.7961828637826158,-5.75,-24.0,-3.3263611793518066,-16.867597579956055
45.32,-75.67,114.0,-7.347906494140602,60.8,0.0,0.0,0.0,1.0,0.0,2021.0,0.9562348265919056,-10.559,-71.0,-13.13102912902832,-97.9992904663086
37.77,-25.65,175.0,18.0,81.4,0.0,0.0,1.0,0.0,0.0,2006.0,0.741222010848596,-5.12,-30.65,-3.40449857711792,-17.53629493713379
44.051,10.164,160.0,11.4,527.92,0.0,0.0,1.0,0.0,0.0,2019.0,-0.6870527672236675,-7.44,-47.96,-6.610677719116211,-44.04467010498047
52.2914,10.4464,81.0,1.9,22.5,0.0,0.0,1.0,0.0,0.0,1984.0,-0.27195815753410524,-7.93,-60.3,-8.968356132507324,-63.553993225097656
46.72738634,8.186782163,632.0,13.5,76.9,0.0,0.0,0.0,1.0,0.0,2003.0,-0.9587178169872964,-7.51,-52.05,-8.641152381896973,-60.84645080566406
-0.743055556,-90.30222222,2.0,23.783502197265648,0.6,1.0,0.0,0.0,0.0,0.0,2013.0,-0.4093559588156211,-0.462477986,5.627847907,-1.2252737283706665,0.019130706787109375
-13.0,28.65,1331.0,20.7,245.0,0.0,0.0,1.0,0.0,0.0,1975.0,0.6994583270516471,-2.64,-5.5,-7.1907854080200195,-52.81031036376953
10.00036389,-84.10913333,1173.0,24.668054199218773,10.92,1.0,0.0,0.0,0.0,0.0,2015.0,-0.9455963874271428,-12.2419544,-87.3215183,-9.397258758544922,-67.10308074951172
33.65694444,73.26611111,575.0,16.247949218750023,235.8,0.0,0.0,1.0,0.0,0.0,2015.0,0.9510565162951535,-7.53,-42.4,-3.372346878051758,-17.24812126159668
39.95,32.88,902.0,19.5,37.1,0.0,1.0,0.0,0.0,0.0,2005.0,0.29671281927349075,-5.05,-29.49,-4.936740875244141,-30.193172454833984
-22.71,-46.46583333,545.0,21.535577392578148,4.8,0.0,0.0,1.0,0.0,0.0,1996.0,0.8840675099433636,-3.0,-8.8,-5.350709915161133,-32.2262077331543
52.1,5.18,2.0,3.3,20.6,0.0,0.0,1.0,0.0,0.0,2009.0,0.8498170915275278,-4.3,-29.32,-7.988127708435059,-55.44279479980469
47.81666667,13.71777778,1618.0,10.997674560546898,8.9,0.0,0.0,0.0,1.0,0.0,2020.0,0.8717063187093219,-17.301,-127.61,-9.645896911621094,-69.16050720214844
-45.35,-72.07,310.0,4.0,125.0,0.0,0.0,1.0,0.0,0.0,1993.0,0.741222010848596,-13.06,-97.0,-11.914702415466309,-87.93443298339844
14.52,121.0,14.0,27.2,60.0,1.0,0.0,0.0,0.0,0.0,1965.0,-0.9741004551724206,-6.0,-32.0,-6.121140956878662,-39.99385070800781
30.72916667,78.44666667,1140.0,12.139794921875025,0.0,0.0,0.0,1.0,0.0,0.0,2005.0,-0.7236440382959123,-12.5,-90.0,-2.283769130706787,-8.438838958740234
0.453055556,33.195,1181.0,22.4,268.9,1.0,0.0,0.0,0.0,0.0,2015.0,-0.7236440382959123,-3.6,-14.5,-2.017205238342285,-6.286044597625732
13.07176111,-59.48972222,50.0,24.8,60.0,1.0,0.0,0.0,0.0,0.0,1965.0,0.6994583270516471,0.3,15.0,-0.695396900177002,4.237887382507324
36.15,-5.35,5.0,14.055871582031273,115.0,0.0,0.0,1.0,0.0,0.0,2016.0,0.255353295116187,-2.714,-9.4,-4.668463706970215,-27.97323226928711
41.78,-87.75,189.0,13.8,152.0,0.0,0.0,0.0,1.0,0.0,1974.0,0.741222010848596,-9.72,-67.7,-6.994911193847656,-46.75090789794922
22.79777778,88.37166667,6.0,26.3,244.3,1.0,0.0,0.0,0.0,0.0,2006.0,-0.9741004551724206,-7.6,-58.0,-6.605558395385742,-44.0023078918457
7.954166667,38.29722222,2040.0,15.698388671875025,31.0,0.0,0.0,1.0,0.0,0.0,1995.0,-0.2135209154397959,-2.7,-3.1,-0.446744441986084,6.2176008224487305
-75.58333333,-20.56666667,30.0,-4.8,8.0,0.0,0.0,0.0,0.0,1.0,1998.0,0.2386727660059501,-15.73,-118.9,-15.110255241394043,-114.37699890136719
31.95765,35.84828333,900.0,9.908746337890648,58.8,0.0,0.0,1.0,0.0,0.0,2001.0,0.6994583270516471,-5.05,-15.6,-4.625800609588623,-27.62020492553711
52.141,-106.6244,502.0,-11.1,11.0,0.0,0.0,0.0,1.0,0.0,1998.0,-0.2884824328806098,-26.48,-204.51,-24.090932846069336,-188.69033813476562
-14.67,17.7,1348.0,18.764794921875023,0.0,0.0,0.0,1.0,0.0,0.0,1981.0,0.9760105506323683,-3.1,-25.5,-4.599071979522705,-27.399028778076172
56.93604,24.09549,2.93,10.5,76.1,0.0,0.0,0.0,1.0,0.0,2020.0,-0.970063921851507,-10.7,-73.8,-9.744214057922363,-69.97406768798828
-6.18,106.83,8.0,26.7,184.0,1.0,0.0,0.0,0.0,0.0,1975.0,0.9510565162951535,-6.23,-39.2,-4.963883399963379,-30.417770385742188
-33.45,-70.7,520.0,8.1,32.0,0.0,0.0,1.0,0.0,0.0,1973.0,0.29671281927349075,-9.32,-60.3,-6.836860656738281,-45.91629409790039
49.881,-119.5494,500.0,20.2,54.8,0.0,1.0,0.0,0.0,0.0,2010.0,-0.060213277365792774,-7.8,-66.0,-13.342580795288086,-99.74983978271484
-27.43,153.08,4.0,24.9,137.0,0.0,0.0,1.0,0.0,0.0,2008.0,0.2386727660059501,-5.15,-30.1,-3.3371987342834473,-17.006107330322266
-34.05,115.0249,70.0,18.8754821777344,4.0,0.0,0.0,1.0,0.0,0.0,2018.0,0.9536809966304457,-2.32,-1.7,-3.4185221195220947,-17.630210876464844
48.24861111,16.35638889,198.0,18.2,108.0,0.0,0.0,0.0,1.0,0.0,1983.0,0.29671281927349075,-7.75,-58.1,-7.065878868103027,-50.56534957885742
51.6,-1.1,48.0,12.1,2.0,0.0,0.0,1.0,0.0,0.0,2011.0,0.9760105506323683,0.42,9.8,-4.7925333976745605,-28.99988555908203
46.60305556,13.67138889,2156.0,17.747003173828148,11.1,0.0,0.0,0.0,1.0,0.0,2002.0,-0.5595892624101763,-11.04,-78.1,-7.251121520996094,-49.34421920776367
47.81666667,13.71777778,1618.0,1.6103454589843975,6.2,0.0,0.0,0.0,1.0,0.0,2020.0,0.6994583270516471,-11.708,-81.14,-12.333426475524902,-91.3992919921875
39.28333333,-7.416666667,597.0,11.1,28.0,0.0,0.0,1.0,0.0,0.0,2002.0,0.6994583270516471,-3.62,-21.0,-4.896584510803223,-29.860889434814453
9.966666667,-84.83333333,3.0,27.5,97.0,1.0,0.0,0.0,0.0,0.0,1993.0,-0.2135209154397959,-7.89,-53.0,-4.6591572761535645,-27.896223068237305
47.47051111,21.49041944,110.0,-5.5,12.5,0.0,0.0,0.0,1.0,0.0,2006.0,0.2719581575341055,-15.1,-110.4,-13.813570022583008,-103.64718627929688
-27.17,-109.43,41.0,19.8,81.8,1.0,0.0,0.0,0.0,0.0,2011.0,0.741222010848596,-1.51,1.5,-2.413546562194824,-9.44162368774414
7.47,151.85,2.0,27.2,311.0,1.0,0.0,0.0,0.0,0.0,1976.0,0.2802306751992159,-7.7,-49.2,-5.9211626052856445,-38.33906555175781
38.05011111,23.8675,498.0,7.8,6.6,0.0,0.0,1.0,0.0,0.0,2002.0,0.7909456567567772,-3.93,-15.3,-5.629861831665039,-35.928611755371094
6.166666667,102.2833333,7.0,26.247216796875023,560.2,1.0,0.0,0.0,0.0,0.0,1994.0,0.9510565162951535,-5.46,-35.2,-5.94259786605835,-38.516441345214844
4.05,114.81,24.0,24.1,16.6,1.0,0.0,0.0,0.0,0.0,2010.0,-0.9275416835791965,-4.86,-27.97,-7.222508430480957,-49.107452392578125
52.141,-106.6244,502.0,19.7,52.2,0.0,0.0,0.0,1.0,0.0,2001.0,-0.2135209154397959,-11.8,-94.0,-13.188809394836426,-98.4774169921875
76.76666667,-18.66666667,12.0,-14.5,7.0,0.0,0.0,0.0,0.0,1.0,1999.0,-0.9741004551724206,-24.39,-182.9,-21.206642150878906,-164.8234100341797
50.4972,9.9428,921.0,12.1,84.4,0.0,0.0,0.0,1.0,0.0,2013.0,0.29671281927349075,-9.06,-63.76,-7.478182792663574,-51.22311019897461
-22.66416667,-48.06,488.0,22.757928466796898,5.3,1.0,0.0,0.0,0.0,0.0,1998.0,-0.8758917051442433,-1.64,-1.9,-1.8646843433380127,-5.071708679199219
13.07176111,-59.48972222,50.0,28.1,193.0,1.0,0.0,0.0,0.0,0.0,1976.0,-0.970063921851507,-3.59,-16.2,-3.1204850673675537,-15.1951265335083
39.46666667,-6.333333333,405.0,21.0,54.9,0.0,0.0,1.0,0.0,0.0,2007.0,0.29671281927349075,-4.55,-30.71,-4.165035724639893,-23.807464599609375
13.1,123.9,150.0,26.568872070312523,165.0,1.0,0.0,0.0,0.0,0.0,1993.0,0.9510565162951535,-2.15,-3.3,-3.211751937866211,-14.346735954284668
