Lat,Lon,Alt,Year,JulianDay_Sin,O18,H2,O18 P,H2 P
52.3,104.2833333,427.25,2011,0.29671281927349075,-14.0,-111.2,-16.522377,-125.95756
52.3,104.2833333,427.25,2011,-0.2135209154397959,-9.7,-74.1,-16.428154,-125.16837
52.3,104.2833333,427.25,2011,-0.680773409477016,-14.2,-101.4,-16.446999,-125.32621
52.3,104.2833333,427.25,2011,-0.9587178169872964,-13.1,-108.0,-15.14672,-114.43546
52.3,104.2833333,427.25,2011,-0.9741004551724206,-17.3,-127.0,-15.0713415,-113.804115
52.3,104.2833333,427.25,2011,-0.7236440382959123,-30.1,-224.1,-16.465843,-125.48405
52.3,104.2833333,427.25,2011,-0.2884824328806098,-27.3,-208.7,-16.37162,-124.69486
52.3,104.2833333,427.25,2012,0.2386727660059501,-29.0,-218.7,-16.550644,-126.19431
52.3,104.2833333,427.25,2012,0.6994583270516471,-26.4,-207.4,-16.560066,-126.27323
52.3,104.2833333,427.25,2012,0.2802306751992159,-10.0,-91.8,-16.5318,-126.036476
52.3,104.2833333,427.25,2012,-0.23030567023061196,-13.0,-100.8,-16.40931,-125.01054
52.3,104.2833333,427.25,2012,-0.6932812268869771,-11.0,-87.1,-16.45642,-125.40513
52.3,104.2833333,427.25,2012,-0.9634705485641486,-15.0,-107.9,-15.118453,-114.19871
52.3,104.2833333,427.25,2012,-0.970063921851507,-29.9,-225.5,-15.090186,-113.96195
52.3,104.2833333,427.25,2012,-0.7116566222817751,-22.3,-165.9,-16.45642,-125.40513
52.3,104.2833333,427.25,2013,0.2386727660059501,-29.2,-226.2,-16.541222,-126.115395
52.3,104.2833333,427.25,2013,0.6994583270516471,-30.7,-251.3,-16.560066,-126.27323
52.3,104.2833333,427.25,2013,0.9510565162951535,-21.8,-169.2,-16.98407,-129.82457
52.3,104.2833333,427.25,2013,0.9760105506323683,-12.6,-86.7,-16.98407,-129.82457
52.3,104.2833333,427.25,2013,0.741222010848596,-12.8,-103.1,-16.757935,-127.93052
52.3,104.2833333,427.25,2013,0.29671281927349075,-12.7,-99.7,-16.512955,-125.87864
52.3,104.2833333,427.25,2013,-0.2135209154397959,-12.2,-103.6,-16.428154,-125.16837
52.3,104.2833333,427.25,2013,-0.680773409477016,-10.9,-86.0,-16.446999,-125.32621
52.3,104.2833333,427.25,2013,-0.9587178169872964,-15.7,-117.2,-15.14672,-114.43546
52.3,104.2833333,427.25,2013,-0.9741004551724206,-16.3,-120.7,-15.0713415,-113.804115
52.3,104.2833333,427.25,2014,-0.2884824328806098,-29.6,-230.5,-16.352776,-124.537025
52.3,104.2833333,427.25,2015,0.2386727660059501,-27.6,-215.2,-16.5318,-126.036476
52.3,104.2833333,427.25,2015,0.6994583270516471,-25.9,-211.2,-16.560066,-126.27323
52.3,104.2833333,427.25,2015,0.9510565162951535,-21.7,-175.3,-16.98407,-129.82457
52.3,104.2833333,427.25,2015,0.9760105506323683,-15.3,-112.3,-16.98407,-129.82457
52.3,104.2833333,427.25,2015,0.741222010848596,-10.7,-84.6,-16.757935,-127.93052
52.3,104.2833333,427.25,2015,0.29671281927349075,-14.3,-107.2,-16.503532,-125.79972
52.3,104.2833333,427.25,2015,-0.2135209154397959,-9.4,-61.8,-16.418732,-125.089455
52.3,104.2833333,427.25,2015,-0.680773409477016,-12.1,-85.6,-16.437576,-125.24729
52.3,104.2833333,427.25,2015,-0.9587178169872964,-16.3,-127.3,-15.165565,-114.5933
52.3,104.2833333,427.25,2015,-0.9741004551724206,-20.7,-158.7,-15.080764,-113.88303
52.3,104.2833333,427.25,2015,-0.7236440382959123,-21.3,-169.8,-16.45642,-125.40513
52.3,104.2833333,427.25,2015,-0.2884824328806098,-25.5,-201.8,-16.352776,-124.537025
52.3,104.2833333,427.25,2016,0.2386727660059501,-33.8,-269.6,-16.5318,-126.036476
52.3,104.2833333,427.25,2016,0.6994583270516471,-26.1,-209.1,-16.550644,-126.19431
52.3,104.2833333,427.25,2016,0.9562348265919056,-26.0,-202.9,-16.98407,-129.82457
52.3,104.2833333,427.25,2016,0.9721181966290613,-12.5,-102.1,-16.98407,-129.82457
52.3,104.2833333,427.25,2016,0.7295575540864875,-16.4,-124.2,-16.7014,-127.45701
52.3,104.2833333,427.25,2016,0.2802306751992159,-12.4,-103.6,-16.512955,-125.87864
52.3,104.2833333,427.25,2016,-0.23030567023061196,-10.9,-82.7,-16.390465,-124.8527
52.3,104.2833333,427.25,2016,-0.6932812268869771,-12.1,-89.8,-16.437576,-125.24729
52.3,104.2833333,427.25,2016,-0.9634705485641486,-14.6,-109.1,-15.14672,-114.43546
52.3,104.2833333,427.25,2016,-0.970063921851507,-27.5,-202.8,-15.109031,-114.11979
52.3,104.2833333,427.25,2016,-0.7116566222817751,-27.8,-210.5,-16.446999,-125.32621
52.3,104.2833333,427.25,2016,-0.27195815753410524,-26.4,-201.1,-16.362198,-124.615944
52.3,104.2833333,427.25,2012,-0.27195815753410524,-35.1,-262.7,-16.37162,-124.69486
52.3,104.2833333,427.25,2017,0.9510565162951535,-17.6,-126.8,-16.974648,-129.74565
52.3,104.2833333,427.25,2017,0.9760105506323683,-20.9,-152.0,-16.974648,-129.74565
52.3,104.2833333,427.25,2017,0.2386727660059501,-30.3,-230.6,-16.522377,-125.95756
52.3,104.2833333,427.25,2017,0.6994583270516471,-25.9,-194.9,-16.541222,-126.115395
47.54260867,7.58371693,304.73438,2004,0.2386727660059501,-11.9,-88.50962751,-8.951556,-62.54658
47.54260867,7.58371693,304.73438,2004,0.6994583270516471,-9.88,-66.74413536,-9.596984,-67.95249
47.54260867,7.58371693,304.73438,2004,0.9562348265919056,-9.69,-71.5587575,-9.804275,-69.6887
47.54260867,7.58371693,304.73438,2004,0.9721181966290613,-6.1,-40.66799847,-9.813697,-69.76762
47.54260867,7.58371693,304.73438,2004,0.7295575540864875,-7.01,-50.25006643,-9.62054,-68.14979
47.54260867,7.58371693,304.73438,2004,0.2802306751992159,-7.21,-53.83051048,-9.036357,-63.256847
47.54260867,7.58371693,304.73438,2004,-0.23030567023061196,-5.49,-34.72560691,-8.833777,-61.5601
47.54260867,7.58371693,304.73438,2004,-0.6932812268869771,-4.8,-31.50057387,-8.824355,-61.481182
47.54260867,7.58371693,304.73438,2004,-0.9634705485641486,-4.92,-31.38678091,-8.27315,-56.864452
47.54260867,7.58371693,304.73438,2004,-0.970063921851507,-10.75,-76.42100974,-8.27315,-56.864452
47.54260867,7.58371693,304.73438,2004,-0.7116566222817751,-10.49,-75.39648751,-8.824355,-61.481182
47.54260867,7.58371693,304.73438,2004,-0.27195815753410524,-13.22,-98.71358212,-8.833777,-61.5601
47.54260867,7.58371693,304.73438,2005,0.2386727660059501,-6.66,-42.77138547,-8.951556,-62.54658
47.54260867,7.58371693,304.73438,2005,0.6994583270516471,-15.78,-115.1328526,-9.596984,-67.95249
47.54260867,7.58371693,304.73438,2005,0.9510565162951535,-8.02,-59.70485452,-9.799563,-69.64924
47.54260867,7.58371693,304.73438,2005,0.9760105506323683,-8.51,-58.19910378,-9.813697,-69.76762
47.54260867,7.58371693,304.73438,2005,0.741222010848596,-6.95,-48.05079866,-9.625251,-68.18925
47.54260867,7.58371693,304.73438,2005,0.29671281927349075,-5.24,-32.64544918,-9.074046,-63.57252
47.54260867,7.58371693,304.73438,2005,-0.2135209154397959,-5.67,-37.45673818,-8.833777,-61.5601
47.54260867,7.58371693,304.73438,2005,-0.680773409477016,-6.33,-43.03745941,-8.829066,-61.52064
47.54260867,7.58371693,304.73438,2005,-0.9587178169872964,-9.610421834,-68.63931346,-8.282573,-56.94337
47.54260867,7.58371693,304.73438,2005,-0.9741004551724206,-6.38,-42.73606861,-8.268439,-56.824993
47.54260867,7.58371693,304.73438,2005,-0.7236440382959123,-14.2,-103.3116898,-8.824355,-61.481182
47.54260867,7.58371693,304.73438,2005,-0.2884824328806098,-10.79,-78.0619552,-8.833777,-61.5601
47.54260867,7.58371693,304.73438,2006,0.2386727660059501,-10.39,-75.03694923,-8.951556,-62.54658
47.54260867,7.58371693,304.73438,2006,0.6994583270516471,-11.52,-90.29273588,-9.596984,-67.95249
47.54260867,7.58371693,304.73438,2006,0.9510565162951535,-11.23849183,-82.68571664,-9.799563,-69.64924
47.54260867,7.58371693,304.73438,2006,0.9760105506323683,-10.61,-76.08191291,-9.813697,-69.76762
47.54260867,7.58371693,304.73438,2006,0.741222010848596,-8.47,-60.27743553,-9.625251,-68.18925
47.54260867,7.58371693,304.73438,2006,0.29671281927349075,-4.08,-26.00399436,-9.074046,-63.57252
47.54260867,7.58371693,304.73438,2006,-0.2135209154397959,-3.64,-26.43863597,-8.833777,-61.5601
47.54260867,7.58371693,304.73438,2006,-0.680773409477016,-8.43,-60.3623681,-8.829066,-61.52064
47.54260867,7.58371693,304.73438,2006,-0.9587178169872964,-7.78,-53.80678357,-8.282573,-56.94337
47.54260867,7.58371693,304.73438,2006,-0.9741004551724206,-6.51,-49.6066388,-8.268439,-56.824993
47.54260867,7.58371693,304.73438,2006,-0.7236440382959123,-9.18,-67.40884533,-8.824355,-61.481182
47.54260867,7.58371693,304.73438,2006,-0.2884824328806098,-11.11,-83.72738599,-8.833777,-61.5601
47.54260867,7.58371693,304.73438,2007,0.2386727660059501,-12.87,-93.4449454,-8.956267,-62.58604
47.54260867,7.58371693,304.73438,2007,0.6994583270516471,-9.46,-71.36453487,-9.587562,-67.87357
47.54260867,7.58371693,304.73438,2007,0.9510565162951535,-12.11,-89.32212676,-9.799563,-69.64924
47.54260867,7.58371693,304.73438,2007,0.741222010848596,-7.87,-56.86635214,-9.625251,-68.18925
47.54260867,7.58371693,304.73438,2007,0.29671281927349075,-6.28,-44.71481808,-9.074046,-63.57252
47.54260867,7.58371693,304.73438,2007,-0.2135209154397959,-6.05,-43.8169477,-8.833777,-61.5601
47.54260867,7.58371693,304.73438,2007,-0.680773409477016,-6.87,-44.13363048,-8.829066,-61.52064
