Lat,Lon,Alt,Year,JulianDay_Sin,O18 A,H2 A,O18 P,H2 P
52.3,104.2833333,427.25,2011.0,0.29671281927349075,-14.0,-111.2,-17.658998489379883,-128.76535034179688
52.3,104.2833333,427.25,2011.0,-0.2135209154397959,-9.7,-74.1,-17.589570999145508,-128.21755981445312
52.3,104.2833333,427.25,2011.0,-0.680773409477016,-14.2,-101.4,-17.478487014770508,-127.3410873413086
52.3,104.2833333,427.25,2011.0,-0.9587178169872964,-13.1,-108.0,-17.978364944458008,-131.28518676757812
52.3,104.2833333,427.25,2011.0,-0.9741004551724206,-17.3,-127.0,-17.978364944458008,-131.28518676757812
52.3,104.2833333,427.25,2011.0,-0.7236440382959123,-30.1,-224.1,-17.464601516723633,-127.23152923583984
52.3,104.2833333,427.25,2011.0,-0.2884824328806098,-27.3,-208.7,-17.589570999145508,-128.21755981445312
52.3,104.2833333,427.25,2012.0,0.2386727660059501,-29.0,-218.7,-17.603456497192383,-128.32711791992188
52.3,104.2833333,427.25,2012.0,0.6994583270516471,-26.4,-207.4,-18.089448928833008,-132.16165161132812
52.3,104.2833333,427.25,2012.0,0.2802306751992159,-10.0,-91.8,-17.617341995239258,-128.43667602539062
52.3,104.2833333,427.25,2012.0,-0.23030567023061196,-13.0,-100.8,-17.589570999145508,-128.21755981445312
52.3,104.2833333,427.25,2012.0,-0.6932812268869771,-11.0,-87.1,-17.464601516723633,-127.23152923583984
52.3,104.2833333,427.25,2012.0,-0.9634705485641486,-15.0,-107.9,-17.992250442504883,-131.39474487304688
52.3,104.2833333,427.25,2012.0,-0.970063921851507,-29.9,-225.5,-18.006135940551758,-131.50430297851562
52.3,104.2833333,427.25,2012.0,-0.7116566222817751,-22.3,-165.9,-17.464601516723633,-127.23152923583984
52.3,104.2833333,427.25,2013.0,0.2386727660059501,-29.2,-226.2,-17.589570999145508,-128.21755981445312
52.3,104.2833333,427.25,2013.0,0.6994583270516471,-30.7,-251.3,-17.978364944458008,-131.28518676757812
52.3,104.2833333,427.25,2013.0,0.9510565162951535,-21.8,-169.2,-18.506013870239258,-135.44839477539062
52.3,104.2833333,427.25,2013.0,0.9760105506323683,-12.6,-86.7,-18.547670364379883,-135.77706909179688
52.3,104.2833333,427.25,2013.0,0.741222010848596,-12.8,-103.1,-18.061677932739258,-131.94253540039062
52.3,104.2833333,427.25,2013.0,0.29671281927349075,-12.7,-99.7,-17.603456497192383,-128.32711791992188
52.3,104.2833333,427.25,2013.0,-0.2135209154397959,-12.2,-103.6,-17.589570999145508,-128.21755981445312
52.3,104.2833333,427.25,2013.0,-0.680773409477016,-10.9,-86.0,-17.464601516723633,-127.23152923583984
52.3,104.2833333,427.25,2013.0,-0.9587178169872964,-15.7,-117.2,-17.992250442504883,-131.39474487304688
52.3,104.2833333,427.25,2013.0,-0.9741004551724206,-16.3,-120.7,-18.020021438598633,-131.61386108398438
52.3,104.2833333,427.25,2014.0,-0.2884824328806098,-29.6,-230.5,-17.589570999145508,-128.21755981445312
52.3,104.2833333,427.25,2015.0,0.2386727660059501,-27.6,-215.2,-17.575685501098633,-128.10800170898438
52.3,104.2833333,427.25,2015.0,0.6994583270516471,-25.9,-211.2,-17.797853469848633,-129.86093139648438
52.3,104.2833333,427.25,2015.0,0.9510565162951535,-21.7,-175.3,-18.242189407348633,-133.36679077148438
52.3,104.2833333,427.25,2015.0,0.9760105506323683,-15.3,-112.3,-18.297731399536133,-133.80502319335938
52.3,104.2833333,427.25,2015.0,0.741222010848596,-10.7,-84.6,-17.853395462036133,-130.29916381835938
