Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Temp,ENSO,NAO,O18 A,H2 A,O18 P,H2 P
52.3,104.2833333,427.25,2015.0,0.741222010848596,0.0,0.0,0.0,1.0,0.0,284.80615,-1.2,0.15,-10.7,-84.6,-10.478915214538574,-76.92527770996094
52.3,104.2833333,427.25,2015.0,0.29671281927349075,0.0,0.0,0.0,1.0,0.0,289.6717,-0.9,-0.07,-14.3,-107.2,-9.820910453796387,-71.27294921875
52.3,104.2833333,427.25,2015.0,-0.2135209154397959,0.0,0.0,0.0,1.0,0.0,292.13568,-1.9,-3.18,-9.4,-61.8,-11.02904224395752,-81.35552978515625
52.3,104.2833333,427.25,2015.0,-0.680773409477016,0.0,0.0,0.0,1.0,0.0,286.79733,-2.4,-0.76,-12.1,-85.6,-10.790392875671387,-79.05197143554688
52.3,104.2833333,427.25,2015.0,-0.9587178169872964,0.0,0.0,0.0,1.0,0.0,279.96805,-2.7,-0.65,-16.3,-127.3,-15.072299003601074,-115.44142150878906
52.3,104.2833333,427.25,2015.0,-0.9741004551724206,0.0,0.0,0.0,1.0,0.0,278.67822,-2.8,0.44,-20.7,-158.7,-17.51126480102539,-135.89247131347656
52.3,104.2833333,427.25,2015.0,-0.7236440382959123,0.0,0.0,0.0,1.0,0.0,271.8202,-0.8,1.74,-21.3,-169.8,-17.05057144165039,-132.0294952392578
52.3,104.2833333,427.25,2015.0,-0.2884824328806098,0.0,0.0,0.0,1.0,0.0,261.45505,-0.9,2.24,-25.5,-201.8,-20.13992691040039,-157.9341583251953
52.3,104.2833333,427.25,2016.0,0.2386727660059501,0.0,0.0,0.0,1.0,0.0,237.81444,-3.6,0.12,-33.8,-269.6,-22.79568862915039,-180.2030792236328
52.3,104.2833333,427.25,2016.0,0.6994583270516471,0.0,0.0,0.0,1.0,0.0,256.34158,-3.2,1.58,-26.1,-209.1,-18.65848159790039,-145.5120391845703
52.3,104.2833333,427.25,2016.0,0.9562348265919056,0.0,0.0,0.0,1.0,0.0,273.4593,-0.1,0.73,-26.0,-202.9,-17.60159683227539,-136.64991760253906
52.3,104.2833333,427.25,2016.0,0.9721181966290613,0.0,0.0,0.0,1.0,0.0,276.23322,-2.0,0.38,-12.5,-102.1,-16.33694839477539,-126.04566955566406
