Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Precip,ENSO,NAO,O18 A,H2 A,O18 P,H2 P
52.3,104.2833333,427.25,2011.0,0.29671281927349075,0.0,0.0,0.0,1.0,0.0,0.0,0.4,-1.28,-14.0,-111.2,-14.359380722045898,-104.84410858154297
52.3,104.2833333,427.25,2011.0,-0.2135209154397959,0.0,0.0,0.0,1.0,0.0,2.2211607e-05,1.6,-1.51,-9.7,-74.1,-14.301359176635742,-104.37993621826172
52.3,104.2833333,427.25,2011.0,-0.680773409477016,0.0,0.0,0.0,1.0,0.0,4.754567e-05,0.7,-1.35,-14.2,-101.4,-13.211843490600586,-95.66381072998047
52.3,104.2833333,427.25,2011.0,-0.9587178169872964,0.0,0.0,0.0,1.0,0.0,0.0,1.7,0.54,-13.1,-108.0,-12.580053329467773,-90.60948944091797
52.3,104.2833333,427.25,2011.0,-0.9741004551724206,0.0,0.0,0.0,1.0,0.0,0.0,1.2,0.39,-17.3,-127.0,-12.489797592163086,-89.88744354248047
52.3,104.2833333,427.25,2011.0,-0.7236440382959123,0.0,0.0,0.0,1.0,0.0,0.0,1.8,1.36,-30.1,-224.1,-13.51484489440918,-98.08782196044922
52.3,104.2833333,427.25,2011.0,-0.2884824328806098,0.0,0.0,0.0,1.0,0.0,0.0,4.1,2.52,-27.3,-208.7,-17.48609733581543,-129.85784912109375
52.3,104.2833333,427.25,2012.0,0.2386727660059501,0.0,0.0,0.0,1.0,0.0,5.3495005e-06,1.8,1.17,-29.0,-218.7,-16.519071578979492,-122.12163543701172
52.3,104.2833333,427.25,2012.0,0.6994583270516471,0.0,0.0,0.0,1.0,0.0,1.175598e-05,0.8,0.42,-26.4,-207.4,-15.42310905456543,-113.35393524169922
52.3,104.2833333,427.25,2012.0,0.2802306751992159,0.0,0.0,0.0,1.0,0.0,2.3862134e-05,-0.7,-2.53,-10.0,-91.8,-14.585020065307617,-106.64922332763672
52.3,104.2833333,427.25,2012.0,-0.23030567023061196,0.0,0.0,0.0,1.0,0.0,0.0,-0.1,-1.32,-13.0,-100.8,-13.817846298217773,-100.51183319091797
52.3,104.2833333,427.25,2012.0,-0.6932812268869771,0.0,0.0,0.0,1.0,0.0,2.9586212e-05,-0.3,-0.98,-11.0,-87.1,-13.321439743041992,-96.54058074951172
