Lat,Lon,Alt,Year,JulianDay_Sin,Temp,ENSO,NAO,O18 A,H2 A,O18 P,H2 P
52.3,104.2833333,427.25,2011.0,0.29671281927349075,283.98486,0.4,-1.28,-14.0,-111.2,-11.449305534362793,-80.47096252441406
52.3,104.2833333,427.25,2011.0,-0.2135209154397959,296.2911,1.6,-1.51,-9.7,-74.1,-10.591323852539062,-73.39399719238281
52.3,104.2833333,427.25,2011.0,-0.680773409477016,289.3462,0.7,-1.35,-14.2,-101.4,-11.263710021972656,-78.149169921875
52.3,104.2833333,427.25,2011.0,-0.9587178169872964,285.0388,1.7,0.54,-13.1,-108.0,-12.667770385742188,-89.49768829345703
52.3,104.2833333,427.25,2011.0,-0.9741004551724206,270.80997,1.2,0.39,-17.3,-127.0,-15.580421447753906,-111.68264770507812
52.3,104.2833333,427.25,2011.0,-0.7236440382959123,267.4311,1.8,1.36,-30.1,-224.1,-18.207984924316406,-132.09432983398438
52.3,104.2833333,427.25,2011.0,-0.2884824328806098,245.5639,4.1,2.52,-27.3,-208.7,-26.646217346191406,-197.64498901367188
52.3,104.2833333,427.25,2012.0,0.2386727660059501,261.34137,1.8,1.17,-29.0,-218.7,-22.982643127441406,-169.18527221679688
52.3,104.2833333,427.25,2012.0,0.6994583270516471,252.67146,0.8,0.42,-26.4,-207.4,-22.877540588378906,-168.36880493164062
52.3,104.2833333,427.25,2012.0,0.2802306751992159,285.04517,-0.7,-2.53,-10.0,-91.8,-13.148048400878906,-92.78726196289062
52.3,104.2833333,427.25,2012.0,-0.23030567023061196,288.55252,-0.1,-1.32,-13.0,-100.8,-11.61557388305664,-81.729736328125
52.3,104.2833333,427.25,2012.0,-0.6932812268869771,293.38803,-0.3,-0.98,-11.0,-87.1,-11.08724594116211,-77.5433120727539
52.3,104.2833333,427.25,2012.0,-0.9634705485641486,282.70758,0.4,-0.59,-15.0,-107.9,-14.371742248535156,-102.29327392578125
52.3,104.2833333,427.25,2012.0,-0.970063921851507,273.24136,0.5,-2.06,-29.9,-225.5,-16.120948791503906,-115.88162231445312
52.3,104.2833333,427.25,2012.0,-0.7116566222817751,259.9701,0.4,-0.58,-22.3,-165.9,-22.216896057128906,-163.23672485351562
52.3,104.2833333,427.25,2013.0,0.2386727660059501,255.33873,-0.1,0.35,-29.2,-226.2,-23.485610961914062,-173.1095733642578
52.3,104.2833333,427.25,2013.0,0.6994583270516471,262.44476,-0.4,-0.45,-30.7,-251.3,-21.255958557128906,-155.77188110351562
52.3,104.2833333,427.25,2013.0,0.9510565162951535,272.0206,2.5,-1.61,-21.8,-169.2,-17.314613342285156,-125.15435791015625
52.3,104.2833333,427.25,2013.0,0.9760105506323683,273.59277,0.4,0.69,-12.6,-86.7,-14.551918029785156,-103.69293212890625
52.3,104.2833333,427.25,2013.0,0.741222010848596,290.72104,1.3,0.57,-12.8,-103.1,-9.411624908447266,-64.9517822265625
52.3,104.2833333,427.25,2013.0,0.29671281927349075,288.98105,2.0,0.52,-12.7,-99.7,-11.423425674438477,-81.47647094726562
52.3,104.2833333,427.25,2013.0,-0.2135209154397959,288.6188,1.3,0.67,-12.2,-103.6,-11.472648620605469,-81.74211120605469
52.3,104.2833333,427.25,2013.0,-0.680773409477016,291.16858,0.3,0.97,-10.9,-86.0,-11.041094779968262,-78.49031066894531
52.3,104.2833333,427.25,2013.0,-0.9587178169872964,282.2556,0.5,0.24,-15.7,-117.2,-13.913795471191406,-98.73580932617188
52.3,104.2833333,427.25,2013.0,-0.9741004551724206,270.29587,-0.1,-1.28,-16.3,-120.7,-16.811622619628906,-121.24697875976562
52.3,104.2833333,427.25,2014.0,-0.2884824328806098,266.30817,-0.9,1.86,-29.6,-230.5,-19.041297912597656,-138.5677490234375
52.3,104.2833333,427.25,2015.0,0.2386727660059501,254.0976,-1.4,1.79,-27.6,-215.2,-21.120826721191406,-154.72213745117188
52.3,104.2833333,427.25,2015.0,0.6994583270516471,255.59766,0.4,1.32,-25.9,-211.2,-21.931617736816406,-161.02059936523438
52.3,104.2833333,427.25,2015.0,0.9510565162951535,264.8988,-1.2,1.45,-21.7,-175.3,-18.733497619628906,-136.17666625976562
52.3,104.2833333,427.25,2015.0,0.9760105506323683,274.89346,-0.1,0.73,-15.3,-112.3,-13.373268127441406,-94.53683471679688
52.3,104.2833333,427.25,2015.0,0.741222010848596,284.80615,-1.2,0.15,-10.7,-84.6,-10.683043479919434,-75.62739562988281
52.3,104.2833333,427.25,2015.0,0.29671281927349075,289.6717,-0.9,-0.07,-14.3,-107.2,-11.44154167175293,-78.95822143554688
52.3,104.2833333,427.25,2015.0,-0.2135209154397959,292.13568,-1.9,-3.18,-9.4,-61.8,-13.121748924255371,-92.63780975341797
52.3,104.2833333,427.25,2015.0,-0.680773409477016,286.79733,-2.4,-0.76,-12.1,-85.6,-15.024879455566406,-107.36703491210938
52.3,104.2833333,427.25,2015.0,-0.9587178169872964,279.96805,-2.7,-0.65,-16.3,-127.3,-18.207984924316406,-132.09432983398438
52.3,104.2833333,427.25,2015.0,-0.9741004551724206,278.67822,-2.8,0.44,-20.7,-158.7,-16.113441467285156,-115.82330322265625
52.3,104.2833333,427.25,2015.0,-0.7236440382959123,271.8202,-0.8,1.74,-21.3,-169.8,-15.288689613342285,-110.71299743652344
52.3,104.2833333,427.25,2015.0,-0.2884824328806098,261.45505,-0.9,2.24,-25.5,-201.8,-19.859596252441406,-144.92453002929688
52.3,104.2833333,427.25,2016.0,0.2386727660059501,237.81444,-3.6,0.12,-33.8,-269.6,-29.724220275878906,-221.55581665039062
52.3,104.2833333,427.25,2016.0,0.6994583270516471,256.34158,-3.2,1.58,-26.1,-209.1,-20.430152893066406,-149.35678100585938
52.3,104.2833333,427.25,2016.0,0.9562348265919056,273.4593,-0.1,0.73,-26.0,-202.9,-14.454322814941406,-102.93478393554688
52.3,104.2833333,427.25,2016.0,0.9721181966290613,276.23322,-2.0,0.38,-12.5,-102.1,-13.120827674865723,-92.57660675048828
52.3,104.2833333,427.25,2016.0,0.7295575540864875,285.2303,0.7,-0.77,-16.4,-124.2,-10.687204360961914,-74.38180541992188
52.3,104.2833333,427.25,2016.0,0.2802306751992159,295.30023,1.1,-0.43,-12.4,-103.6,-10.846979141235352,-76.58525085449219
52.3,104.2833333,427.25,2016.0,-0.23030567023061196,295.5241,0.7,-1.76,-10.9,-82.7,-11.032438278198242,-76.69051361083984
52.3,104.2833333,427.25,2016.0,-0.6932812268869771,291.53262,1.2,-1.65,-12.1,-89.8,-11.019721984863281,-76.25379943847656
52.3,104.2833333,427.25,2016.0,-0.9634705485641486,281.7547,2.0,0.61,-14.6,-109.1,-13.185585021972656,-93.078857421875
52.3,104.2833333,427.25,2016.0,-0.970063921851507,278.09888,-0.4,0.41,-27.5,-202.8,-14.461830139160156,-102.99310302734375
52.3,104.2833333,427.25,2016.0,-0.7116566222817751,266.15433,-0.2,-0.16,-27.8,-210.5,-19.559303283691406,-142.59176635742188
52.3,104.2833333,427.25,2016.0,-0.27195815753410524,254.54556,0.5,0.48,-26.4,-201.1,-25.204811096191406,-186.44772338867188
52.3,104.2833333,427.25,2012.0,-0.27195815753410524,256.0939,-1.0,0.17,-35.1,-262.7,-23.523170471191406,-173.38424682617188
52.3,104.2833333,427.25,2017.0,0.9510565162951535,260.47137,1.5,0.74,-17.6,-126.8,-21.601295471191406,-158.45455932617188
52.3,104.2833333,427.25,2017.0,0.9760105506323683,270.12485,-0.3,1.73,-20.9,-152.0,-16.646461486816406,-119.96395874023438
52.3,104.2833333,427.25,2017.0,0.2386727660059501,256.59677,0.3,0.48,-30.3,-230.6,-23.613258361816406,-174.08407592773438
52.3,104.2833333,427.25,2017.0,0.6994583270516471,260.36813,-0.1,1.0,-25.9,-194.9,-21.481178283691406,-157.52145385742188
47.54260867,7.58371693,304.73438,2004.0,0.2386727660059501,274.69434,-2.2,-0.29,-11.9,-88.50962751,-11.886817932128906,-82.98965454101562
47.54260867,7.58371693,304.73438,2004.0,0.6994583270516471,276.20032,2.0,-0.14,-9.88,-66.74413536,-10.974678039550781,-75.90388488769531
