Lat,Lon,Alt,Year,JulianDay_Sin,Temp,Precip,ENSO,NAO,O18,H2,O18 P,H2 P
52.3,104.2833333,427.25,2011,0.29671281927349075,283.98486,0.0,0.4,-1.28,-14.0,-111.2,-11.438624,-90.761505
52.3,104.2833333,427.25,2011,-0.2135209154397959,296.2911,2.2211607e-05,1.6,-1.51,-9.7,-74.1,-10.340419,-80.76053
52.3,104.2833333,427.25,2011,-0.680773409477016,289.3462,4.754567e-05,0.7,-1.35,-14.2,-101.4,-11.792651,-93.985504
52.3,104.2833333,427.25,2011,-0.9587178169872964,285.0388,0.0,1.7,0.54,-13.1,-108.0,-11.583125,-92.07742
52.3,104.2833333,427.25,2011,-0.9741004551724206,270.80997,0.0,1.2,0.39,-17.3,-127.0,-14.726016,-120.69864
52.3,104.2833333,427.25,2011,-0.7236440382959123,267.4311,0.0,1.8,1.36,-30.1,-224.1,-17.47153,-145.70108
52.3,104.2833333,427.25,2011,-0.2884824328806098,245.5639,0.0,4.1,2.52,-27.3,-208.7,-21.690952,-184.12589
52.3,104.2833333,427.25,2012,0.2386727660059501,261.34137,5.3495005e-06,1.8,1.17,-29.0,-218.7,-21.4164,-181.62564
52.3,104.2833333,427.25,2012,0.6994583270516471,252.67146,1.175598e-05,0.8,0.42,-26.4,-207.4,-21.777653,-184.91544
52.3,104.2833333,427.25,2012,0.2802306751992159,285.04517,2.3862134e-05,-0.7,-2.53,-10.0,-91.8,-11.886577,-94.84085
52.3,104.2833333,427.25,2012,-0.23030567023061196,288.55252,0.0,-0.1,-1.32,-13.0,-100.8,-11.453074,-90.8931
52.3,104.2833333,427.25,2012,-0.6932812268869771,293.38803,2.9586212e-05,-0.3,-0.98,-11.0,-87.1,-11.698726,-93.13016
52.3,104.2833333,427.25,2012,-0.9634705485641486,282.70758,1.6699816e-05,0.4,-0.59,-15.0,-107.9,-12.59463,-101.28885
52.3,104.2833333,427.25,2012,-0.970063921851507,273.24136,0.0,0.5,-2.06,-29.9,-225.5,-15.383494,-126.686066
52.3,104.2833333,427.25,2012,-0.7116566222817751,259.9701,0.0,0.4,-0.58,-22.3,-165.9,-20.795048,-175.9672
52.3,104.2833333,427.25,2013,0.2386727660059501,255.33873,0.0,-0.1,0.35,-29.2,-226.2,-22.008854,-187.0209
52.3,104.2833333,427.25,2013,0.6994583270516471,262.44476,0.0,-0.4,-0.45,-30.7,-251.3,-20.925098,-177.15152
52.3,104.2833333,427.25,2013,0.9510565162951535,272.0206,0.0,2.5,-1.61,-21.8,-169.2,-17.803883,-148.72769
52.3,104.2833333,427.25,2013,0.9760105506323683,273.59277,0.0,0.4,0.69,-12.6,-86.7,-15.585795,-128.52835
