Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Precip,O18 A,H2 A,O18 P,H2 P
52.3,104.2833333,427.25,2015.0,-0.680773409477016,0.0,0.0,0.0,1.0,0.0,5.4737215e-05,-12.1,-85.6,-14.829727172851562,-114.09165954589844
52.3,104.2833333,427.25,2015.0,-0.9587178169872964,0.0,0.0,0.0,1.0,0.0,0.0,-16.3,-127.3,-15.066795349121094,-116.10752868652344
52.3,104.2833333,427.25,2015.0,-0.9741004551724206,0.0,0.0,0.0,1.0,0.0,0.0,-20.7,-158.7,-15.087409973144531,-116.28282165527344
52.3,104.2833333,427.25,2015.0,-0.7236440382959123,0.0,0.0,0.0,1.0,0.0,0.0,-21.3,-169.8,-15.077102661132812,-116.19517517089844
52.3,104.2833333,427.25,2015.0,-0.2884824328806098,0.0,0.0,0.0,1.0,0.0,0.0,-25.5,-201.8,-15.242019653320312,-117.59751892089844
52.3,104.2833333,427.25,2016.0,0.2386727660059501,0.0,0.0,0.0,1.0,0.0,0.0,-33.8,-269.6,-16.963340759277344,-132.23448181152344
52.3,104.2833333,427.25,2016.0,0.6994583270516471,0.0,0.0,0.0,1.0,0.0,0.0,-26.1,-209.1,-17.200408935546875,-134.25035095214844
52.3,104.2833333,427.25,2016.0,0.9562348265919056,0.0,0.0,0.0,1.0,0.0,0.0,-26.0,-202.9,-17.200408935546875,-134.25035095214844
52.3,104.2833333,427.25,2016.0,0.9721181966290613,0.0,0.0,0.0,1.0,0.0,0.0,-12.5,-102.1,-17.210716247558594,-134.33799743652344
52.3,104.2833333,427.25,2016.0,0.7295575540864875,0.0,0.0,0.0,1.0,0.0,0.0,-16.4,-124.2,-17.210716247558594,-134.33799743652344
52.3,104.2833333,427.25,2016.0,0.2802306751992159,0.0,0.0,0.0,1.0,0.0,0.0,-12.4,-103.6,-17.014877319335938,-132.67271423339844
52.3,104.2833333,427.25,2016.0,-0.23030567023061196,0.0,0.0,0.0,1.0,0.0,0.0,-10.9,-82.7,-15.613082885742188,-120.75279235839844
52.3,104.2833333,427.25,2016.0,-0.6932812268869771,0.0,0.0,0.0,1.0,0.0,0.0,-12.1,-89.8,-15.149253845214844,-116.80870056152344
52.3,104.2833333,427.25,2016.0,-0.9634705485641486,0.0,0.0,0.0,1.0,0.0,6.515779e-05,-14.6,-109.1,-14.644195556640625,-112.51402282714844
52.3,104.2833333,427.25,2016.0,-0.970063921851507,0.0,0.0,0.0,1.0,0.0,3.4144956e-05,-27.5,-202.8,-14.860649108886719,-114.35459899902344
52.3,104.2833333,427.25,2016.0,-0.7116566222817751,0.0,0.0,0.0,1.0,0.0,0.0,-27.8,-210.5,-15.09771728515625,-116.37046813964844
52.3,104.2833333,427.25,2016.0,-0.27195815753410524,0.0,0.0,0.0,1.0,0.0,4.3128384e-06,-26.4,-201.1,-15.365707397460938,-118.64927673339844
52.3,104.2833333,427.25,2012.0,-0.27195815753410524,0.0,0.0,0.0,1.0,0.0,0.0,-35.1,-262.7,-15.056488037109375,-116.01988220214844
52.3,104.2833333,427.25,2017.0,0.9510565162951535,0.0,0.0,0.0,1.0,0.0,0.0,-17.6,-126.8,-17.210716247558594,-134.33799743652344
52.3,104.2833333,427.25,2017.0,0.9760105506323683,0.0,0.0,0.0,1.0,0.0,0.0,-20.9,-152.0,-17.210716247558594,-134.33799743652344
52.3,104.2833333,427.25,2017.0,0.2386727660059501,0.0,0.0,0.0,1.0,0.0,0.0,-30.3,-230.6,-16.973648071289062,-132.32212829589844
52.3,104.2833333,427.25,2017.0,0.6994583270516471,0.0,0.0,0.0,1.0,0.0,0.0,-25.9,-194.9,-17.200408935546875,-134.25035095214844
47.54260867,7.58371693,304.73438,2004.0,0.2386727660059501,0.0,0.0,1.0,0.0,0.0,0.0,-11.9,-88.50962751,-8.799949645996094,-62.81846618652344
47.54260867,7.58371693,304.73438,2004.0,0.6994583270516471,0.0,0.0,1.0,0.0,0.0,0.0,-9.88,-66.74413536,-8.923637390136719,-63.87022399902344
47.54260867,7.58371693,304.73438,2004.0,0.9562348265919056,0.0,0.0,1.0,0.0,0.0,0.0,-9.69,-71.5587575,-8.928791046142578,-63.91404724121094
47.54260867,7.58371693,304.73438,2004.0,0.9721181966290613,0.0,0.0,1.0,0.0,0.0,0.0001690366,-6.1,-40.66799847,-8.66595458984375,-61.67906188964844
47.54260867,7.58371693,304.73438,2004.0,0.7295575540864875,0.0,0.0,1.0,0.0,0.0,3.2743297e-05,-7.01,-50.25006643,-8.861793518066406,-63.34434509277344
47.54260867,7.58371693,304.73438,2004.0,0.2802306751992159,0.0,0.0,1.0,0.0,0.0,0.00010311205,-7.21,-53.83051048,-8.645339965820312,-61.50376892089844
47.54260867,7.58371693,304.73438,2004.0,-0.23030567023061196,0.0,0.0,1.0,0.0,0.0,0.00014510812,-5.49,-34.72560691,-8.289737701416016,-58.47996520996094
47.54260867,7.58371693,304.73438,2004.0,-0.6932812268869771,0.0,0.0,1.0,0.0,0.0,0.0,-4.8,-31.50057387,-8.274276733398438,-58.34849548339844
47.54260867,7.58371693,304.73438,2004.0,-0.9634705485641486,0.0,0.0,1.0,0.0,0.0,0.0,-4.92,-31.38678091,-7.727989196777344,-53.70323181152344
47.54260867,7.58371693,304.73438,2004.0,-0.970063921851507,0.0,0.0,1.0,0.0,0.0,7.0730985e-06,-10.75,-76.42100974,-7.709951400756836,-53.54985046386719
47.54260867,7.58371693,304.73438,2004.0,-0.7116566222817751,0.0,0.0,1.0,0.0,0.0,0.0,-10.49,-75.39648751,-8.243354797363281,-58.08555603027344
47.54260867,7.58371693,304.73438,2004.0,-0.27195815753410524,0.0,0.0,1.0,0.0,0.0,3.385527e-05,-13.22,-98.71358212,-8.439193725585938,-59.75083923339844
47.54260867,7.58371693,304.73438,2005.0,0.2386727660059501,0.0,0.0,1.0,0.0,0.0,0.00014786229,-6.66,-42.77138547,-8.57834243774414,-60.93406677246094
47.54260867,7.58371693,304.73438,2005.0,0.6994583270516471,0.0,0.0,1.0,0.0,0.0,3.187112e-05,-15.78,-115.1328526,-8.866947174072266,-63.38816833496094
47.54260867,7.58371693,304.73438,2005.0,0.9510565162951535,0.0,0.0,1.0,0.0,0.0,3.2876374e-05,-8.02,-59.70485452,-8.866947174072266,-63.38816833496094
47.54260867,7.58371693,304.73438,2005.0,0.9760105506323683,0.0,0.0,1.0,0.0,0.0,0.0,-8.51,-58.19910378,-8.928791046142578,-63.91404724121094
47.54260867,7.58371693,304.73438,2005.0,0.741222010848596,0.0,0.0,1.0,0.0,0.0,0.0,-6.95,-48.05079866,-8.933944702148438,-63.95787048339844
47.54260867,7.58371693,304.73438,2005.0,0.29671281927349075,0.0,0.0,1.0,0.0,0.0,0.0,-5.24,-32.64544918,-8.83087158203125,-63.08140563964844
47.54260867,7.58371693,304.73438,2005.0,-0.2135209154397959,0.0,0.0,1.0,0.0,0.0,0.0,-5.67,-37.45673818,-8.531959533691406,-60.53965759277344
47.54260867,7.58371693,304.73438,2005.0,-0.680773409477016,0.0,0.0,1.0,0.0,0.0,0.0,-6.33,-43.03745941,-8.305198669433594,-58.61143493652344
47.54260867,7.58371693,304.73438,2005.0,-0.9587178169872964,0.0,0.0,1.0,0.0,0.0,8.993772e-05,-9.610421834,-68.63931346,-7.725412368774414,-53.68132019042969
47.54260867,7.58371693,304.73438,2005.0,-0.9741004551724206,0.0,0.0,1.0,0.0,0.0,0.0,-6.38,-42.73606861,-7.725412368774414,-53.68132019042969
47.54260867,7.58371693,304.73438,2005.0,-0.7236440382959123,0.0,0.0,1.0,0.0,0.0,4.1183062e-05,-14.2,-103.3116898,-8.17120361328125,-57.47203063964844
47.54260867,7.58371693,304.73438,2005.0,-0.2884824328806098,0.0,0.0,1.0,0.0,0.0,8.7477296e-05,-10.79,-78.0619552,-8.33612060546875,-58.87437438964844
47.54260867,7.58371693,304.73438,2006.0,0.2386727660059501,0.0,0.0,1.0,0.0,0.0,7.0151014e-05,-10.39,-75.03694923,-8.681415557861328,-61.81053161621094
