Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Precip,ENSO,NAO,O18,H2,O18 P,H2 P
52.3,104.2833333,427.25,2011,0.29671281927349075,0,0,0,1,0,0.0,0.4,-1.28,-14.0,-111.2,-13.801229,-100.90111
52.3,104.2833333,427.25,2011,-0.2135209154397959,0,0,0,1,0,2.2211607e-05,1.6,-1.51,-9.7,-74.1,-14.275709,-104.638504
52.3,104.2833333,427.25,2011,-0.680773409477016,0,0,0,1,0,4.754567e-05,0.7,-1.35,-14.2,-101.4,-11.628021,-83.09383
52.3,104.2833333,427.25,2011,-0.9587178169872964,0,0,0,1,0,0.0,1.7,0.54,-13.1,-108.0,-12.490058,-90.17833
52.3,104.2833333,427.25,2011,-0.9741004551724206,0,0,0,1,0,0.0,1.2,0.39,-17.3,-127.0,-11.834567,-84.865616
52.3,104.2833333,427.25,2011,-0.7236440382959123,0,0,0,1,0,0.0,1.8,1.36,-30.1,-224.1,-13.63522,-99.47182
52.3,104.2833333,427.25,2011,-0.2884824328806098,0,0,0,1,0,0.0,4.1,2.52,-27.3,-208.7,-16.74583,-124.728226
52.3,104.2833333,427.25,2012,0.2386727660059501,0,0,0,1,0,5.3495005e-06,1.8,1.17,-29.0,-218.7,-14.503835,-106.498795
52.3,104.2833333,427.25,2012,0.6994583270516471,0,0,0,1,0,1.175598e-05,0.8,0.42,-26.4,-207.4,-14.210753,-104.12343
52.3,104.2833333,427.25,2012,0.2802306751992159,0,0,0,1,0,2.3862134e-05,-0.7,-2.53,-10.0,-91.8,-14.485739,-106.27489
52.3,104.2833333,427.25,2012,-0.23030567023061196,0,0,0,1,0,0.0,-0.1,-1.32,-13.0,-100.8,-14.117034,-103.54109
52.3,104.2833333,427.25,2012,-0.6932812268869771,0,0,0,1,0,2.9586212e-05,-0.3,-0.98,-11.0,-87.1,-12.027429,-86.204636
52.3,104.2833333,427.25,2012,-0.9634705485641486,0,0,0,1,0,1.6699816e-05,0.4,-0.59,-15.0,-107.9,-11.04272,-78.373184
52.3,104.2833333,427.25,2012,-0.970063921851507,0,0,0,1,0,0.0,0.5,-2.06,-29.9,-225.5,-10.55763,-74.40878
52.3,104.2833333,427.25,2012,-0.7116566222817751,0,0,0,1,0,0.0,0.4,-0.58,-22.3,-165.9,-11.731886,-83.939896
52.3,104.2833333,427.25,2013,0.2386727660059501,0,0,0,1,0,0.0,-0.1,0.35,-29.2,-226.2,-13.743001,-100.681625
52.3,104.2833333,427.25,2013,0.6994583270516471,0,0,0,1,0,0.0,-0.4,-0.45,-30.7,-251.3,-13.636297,-99.75148
52.3,104.2833333,427.25,2013,0.9510565162951535,0,0,0,1,0,0.0,2.5,-1.61,-21.8,-169.2,-15.727325,-116.44188
52.3,104.2833333,427.25,2013,0.9760105506323683,0,0,0,1,0,0.0,0.4,0.69,-12.6,-86.7,-14.087865,-103.12691
52.3,104.2833333,427.25,2013,0.741222010848596,0,0,0,1,0,0.0,1.3,0.57,-12.8,-103.1,-14.5671625,-107.002365
52.3,104.2833333,427.25,2013,0.29671281927349075,0,0,0,1,0,0.0,2.0,0.52,-12.7,-99.7,-15.295588,-112.94255
52.3,104.2833333,427.25,2013,-0.2135209154397959,0,0,0,1,0,0.0,1.3,0.67,-12.2,-103.6,-14.708819,-108.15553
52.3,104.2833333,427.25,2013,-0.680773409477016,0,0,0,1,0,0.0,0.3,0.97,-10.9,-86.0,-12.425775,-89.59599
52.3,104.2833333,427.25,2013,-0.9587178169872964,0,0,0,1,0,0.0,0.5,0.24,-15.7,-117.2,-11.371757,-81.07468
52.3,104.2833333,427.25,2013,-0.9741004551724206,0,0,0,1,0,0.0,-0.1,-1.28,-16.3,-120.7,-10.556257,-74.39108
52.3,104.2833333,427.25,2014,-0.2884824328806098,0,0,0,1,0,1.1362139e-05,-0.9,1.86,-29.6,-230.5,-15.134168,-111.80974
52.3,104.2833333,427.25,2015,0.2386727660059501,0,0,0,1,0,0.0,-1.4,1.79,-27.6,-215.2,-14.665271,-108.19182
52.3,104.2833333,427.25,2015,0.6994583270516471,0,0,0,1,0,0.0,0.4,1.32,-25.9,-211.2,-14.438112,-106.002304
52.3,104.2833333,427.25,2015,0.9510565162951535,0,0,0,1,0,0.0,-1.2,1.45,-21.7,-175.3,-13.9154,-101.95604
52.3,104.2833333,427.25,2015,0.9760105506323683,0,0,0,1,0,0.0,-0.1,0.73,-15.3,-112.3,-13.71811,-100.26567
52.3,104.2833333,427.25,2015,0.741222010848596,0,0,0,1,0,0.0,-1.2,0.15,-10.7,-84.6,-13.732978,-100.61879
52.3,104.2833333,427.25,2015,0.29671281927349075,0,0,0,1,0,0.0,-0.9,-0.07,-14.3,-107.2,-13.917661,-102.15605
52.3,104.2833333,427.25,2015,-0.2135209154397959,0,0,0,1,0,0.00010476876,-1.9,-3.18,-9.4,-61.8,-14.548044,-106.80324
52.3,104.2833333,427.25,2015,-0.680773409477016,0,0,0,1,0,5.4737215e-05,-2.4,-0.76,-12.1,-85.6,-12.457889,-89.73494
52.3,104.2833333,427.25,2015,-0.9587178169872964,0,0,0,1,0,0.0,-2.7,-0.65,-16.3,-127.3,-11.408263,-81.132645
52.3,104.2833333,427.25,2015,-0.9741004551724206,0,0,0,1,0,0.0,-2.8,0.44,-20.7,-158.7,-11.293589,-80.37021
52.3,104.2833333,427.25,2015,-0.7236440382959123,0,0,0,1,0,0.0,-0.8,1.74,-21.3,-169.8,-12.570432,-90.778366
