Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Precip,ENSO,NAO,O18 A,H2 A,O18 P,H2 P
52.3,104.2833333,427.25,2011.0,0.29671281927349075,0.0,0.0,0.0,1.0,0.0,0.0,0.4,-1.28,-14.0,-111.2,-9.008975982666016,-65.53042602539062
52.3,104.2833333,427.25,2011.0,-0.2135209154397959,0.0,0.0,0.0,1.0,0.0,2.2211607e-05,1.6,-1.51,-9.7,-74.1,-12.633382797241211,-89.9170150756836
52.3,104.2833333,427.25,2011.0,-0.680773409477016,0.0,0.0,0.0,1.0,0.0,4.754567e-05,0.7,-1.35,-14.2,-101.4,-11.987127304077148,-84.9088134765625
52.3,104.2833333,427.25,2011.0,-0.9587178169872964,0.0,0.0,0.0,1.0,0.0,0.0,1.7,0.54,-13.1,-108.0,-12.137432098388672,-85.84196472167969
52.3,104.2833333,427.25,2011.0,-0.9741004551724206,0.0,0.0,0.0,1.0,0.0,0.0,1.2,0.39,-17.3,-127.0,-12.15112590789795,-86.88150787353516
52.3,104.2833333,427.25,2011.0,-0.7236440382959123,0.0,0.0,0.0,1.0,0.0,0.0,1.8,1.36,-30.1,-224.1,-12.73531723022461,-89.49425506591797
52.3,104.2833333,427.25,2011.0,-0.2884824328806098,0.0,0.0,0.0,1.0,0.0,0.0,4.1,2.52,-27.3,-208.7,-19.983247756958008,-145.6874237060547
52.3,104.2833333,427.25,2012.0,0.2386727660059501,0.0,0.0,0.0,1.0,0.0,5.3495005e-06,1.8,1.17,-29.0,-218.7,-16.427021026611328,-120.3768310546875
52.3,104.2833333,427.25,2012.0,0.6994583270516471,0.0,0.0,0.0,1.0,0.0,1.175598e-05,0.8,0.42,-26.4,-207.4,-14.920775413513184,-109.14926147460938
52.3,104.2833333,427.25,2012.0,0.2802306751992159,0.0,0.0,0.0,1.0,0.0,2.3862134e-05,-0.7,-2.53,-10.0,-91.8,-11.411652565002441,-84.2505874633789
52.3,104.2833333,427.25,2012.0,-0.23030567023061196,0.0,0.0,0.0,1.0,0.0,0.0,-0.1,-1.32,-13.0,-100.8,-10.242977142333984,-72.1093521118164
52.3,104.2833333,427.25,2012.0,-0.6932812268869771,0.0,0.0,0.0,1.0,0.0,2.9586212e-05,-0.3,-0.98,-11.0,-87.1,-12.851797103881836,-91.489501953125
52.3,104.2833333,427.25,2012.0,-0.9634705485641486,0.0,0.0,0.0,1.0,0.0,1.6699816e-05,0.4,-0.59,-15.0,-107.9,-12.406551361083984,-88.45396423339844
52.3,104.2833333,427.25,2012.0,-0.970063921851507,0.0,0.0,0.0,1.0,0.0,0.0,0.5,-2.06,-29.9,-225.5,-13.32768440246582,-94.21929931640625
52.3,104.2833333,427.25,2012.0,-0.7116566222817751,0.0,0.0,0.0,1.0,0.0,0.0,0.4,-0.58,-22.3,-165.9,-13.465060234069824,-96.40554809570312
52.3,104.2833333,427.25,2013.0,0.2386727660059501,0.0,0.0,0.0,1.0,0.0,0.0,-0.1,0.35,-29.2,-226.2,-14.473993301391602,-112.24088287353516
52.3,104.2833333,427.25,2013.0,0.6994583270516471,0.0,0.0,0.0,1.0,0.0,0.0,-0.4,-0.45,-30.7,-251.3,-12.55390453338623,-89.86680603027344
52.3,104.2833333,427.25,2013.0,0.9510565162951535,0.0,0.0,0.0,1.0,0.0,0.0,2.5,-1.61,-21.8,-169.2,-19.641756057739258,-144.05126953125
52.3,104.2833333,427.25,2013.0,0.9760105506323683,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.69,-12.6,-86.7,-15.795360565185547,-115.03437042236328
52.3,104.2833333,427.25,2013.0,0.741222010848596,0.0,0.0,0.0,1.0,0.0,0.0,1.3,0.57,-12.8,-103.1,-15.320521354675293,-111.8951416015625
52.3,104.2833333,427.25,2013.0,0.29671281927349075,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.52,-12.7,-99.7,-17.270214080810547,-126.44850158691406
52.3,104.2833333,427.25,2013.0,-0.2135209154397959,0.0,0.0,0.0,1.0,0.0,0.0,1.3,0.67,-12.2,-103.6,-18.065998077392578,-134.21316528320312
52.3,104.2833333,427.25,2013.0,-0.680773409477016,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.97,-10.9,-86.0,-15.246012687683105,-110.44740295410156
52.3,104.2833333,427.25,2013.0,-0.9587178169872964,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.24,-15.7,-117.2,-12.256948471069336,-88.30160522460938
52.3,104.2833333,427.25,2013.0,-0.9741004551724206,0.0,0.0,0.0,1.0,0.0,0.0,-0.1,-1.28,-16.3,-120.7,-11.935518264770508,-83.90829467773438
52.3,104.2833333,427.25,2014.0,-0.2884824328806098,0.0,0.0,0.0,1.0,0.0,1.1362139e-05,-0.9,1.86,-29.6,-230.5,-17.24140739440918,-122.81060791015625
52.3,104.2833333,427.25,2015.0,0.2386727660059501,0.0,0.0,0.0,1.0,0.0,0.0,-1.4,1.79,-27.6,-215.2,-18.296756744384766,-131.52346801757812
52.3,104.2833333,427.25,2015.0,0.6994583270516471,0.0,0.0,0.0,1.0,0.0,0.0,0.4,1.32,-25.9,-211.2,-15.986087799072266,-115.75314331054688
52.3,104.2833333,427.25,2015.0,0.9510565162951535,0.0,0.0,0.0,1.0,0.0,0.0,-1.2,1.45,-21.7,-175.3,-15.84255599975586,-114.58744049072266
52.3,104.2833333,427.25,2015.0,0.9760105506323683,0.0,0.0,0.0,1.0,0.0,0.0,-0.1,0.73,-15.3,-112.3,-15.737632751464844,-114.81546020507812
52.3,104.2833333,427.25,2015.0,0.741222010848596,0.0,0.0,0.0,1.0,0.0,0.0,-1.2,0.15,-10.7,-84.6,-12.613921165466309,-91.73397064208984
52.3,104.2833333,427.25,2015.0,0.29671281927349075,0.0,0.0,0.0,1.0,0.0,0.0,-0.9,-0.07,-14.3,-107.2,-9.55831527709961,-67.60071563720703
52.3,104.2833333,427.25,2015.0,-0.2135209154397959,0.0,0.0,0.0,1.0,0.0,0.00010476876,-1.9,-3.18,-9.4,-61.8,-8.446645736694336,-57.577205657958984
52.3,104.2833333,427.25,2015.0,-0.680773409477016,0.0,0.0,0.0,1.0,0.0,5.4737215e-05,-2.4,-0.76,-12.1,-85.6,-14.975109100341797,-109.9586410522461
52.3,104.2833333,427.25,2015.0,-0.9587178169872964,0.0,0.0,0.0,1.0,0.0,0.0,-2.7,-0.65,-16.3,-127.3,-12.597367286682129,-91.80667877197266
52.3,104.2833333,427.25,2015.0,-0.9741004551724206,0.0,0.0,0.0,1.0,0.0,0.0,-2.8,0.44,-20.7,-158.7,-11.496881484985352,-83.20768737792969
52.3,104.2833333,427.25,2015.0,-0.7236440382959123,0.0,0.0,0.0,1.0,0.0,0.0,-0.8,1.74,-21.3,-169.8,-13.933563232421875,-98.63184356689453
52.3,104.2833333,427.25,2015.0,-0.2884824328806098,0.0,0.0,0.0,1.0,0.0,0.0,-0.9,2.24,-25.5,-201.8,-15.722597122192383,-109.41111755371094
52.3,104.2833333,427.25,2016.0,0.2386727660059501,0.0,0.0,0.0,1.0,0.0,0.0,-3.6,0.12,-33.8,-269.6,-16.99347686767578,-124.18870544433594
52.3,104.2833333,427.25,2016.0,0.6994583270516471,0.0,0.0,0.0,1.0,0.0,0.0,-3.2,1.58,-26.1,-209.1,-18.56501007080078,-134.2187957763672
52.3,104.2833333,427.25,2016.0,0.9562348265919056,0.0,0.0,0.0,1.0,0.0,0.0,-0.1,0.73,-26.0,-202.9,-15.851412773132324,-115.76786041259766
52.3,104.2833333,427.25,2016.0,0.9721181966290613,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.38,-12.5,-102.1,-14.787162780761719,-107.00077056884766
52.3,104.2833333,427.25,2016.0,0.7295575540864875,0.0,0.0,0.0,1.0,0.0,0.0,0.7,-0.77,-16.4,-124.2,-12.684514045715332,-90.33930969238281
52.3,104.2833333,427.25,2016.0,0.2802306751992159,0.0,0.0,0.0,1.0,0.0,0.0,1.1,-0.43,-12.4,-103.6,-12.770437240600586,-91.69817352294922
52.3,104.2833333,427.25,2016.0,-0.23030567023061196,0.0,0.0,0.0,1.0,0.0,0.0,0.7,-1.76,-10.9,-82.7,-9.627731323242188,-65.48194885253906
52.3,104.2833333,427.25,2016.0,-0.6932812268869771,0.0,0.0,0.0,1.0,0.0,0.0,1.2,-1.65,-12.1,-89.8,-12.685489654541016,-89.52739715576172
52.3,104.2833333,427.25,2016.0,-0.9634705485641486,0.0,0.0,0.0,1.0,0.0,6.515779e-05,2.0,0.61,-14.6,-109.1,-12.06216049194336,-84.93482208251953
52.3,104.2833333,427.25,2016.0,-0.970063921851507,0.0,0.0,0.0,1.0,0.0,3.4144956e-05,-0.4,0.41,-27.5,-202.8,-11.821331024169922,-84.93782806396484
