Lat,Lon,Alt,Year,JulianDay_Sin,Precip,O18 A,H2 A,O18 P,H2 P
37.1644591,-5.611393166,86.394531,2013.0,0.9510565162951535,0.0,-3.87,-22.8,-4.25712776184082,-23.76348876953125
42.033333,43.483333,1077.1875,2017.0,-0.2135209154397959,4.415451621753164e-05,-3.27,-22.2,-2.752596378326416,-13.939659118652344
64.69939722,-148.2525028,121.98047,2004.0,0.36171373072976765,0.0,-16.63,-130.9,-15.565866470336914,-120.10057830810547
48.22,11.59,494.59375,1995.0,-0.2135209154397959,0.0,-4.96,-28.3,-7.480064868927002,-51.532127380371094
-34.05,115.0249,77.78125,2007.0,-0.47115950767386394,4.889923002338037e-05,-2.04,-1.0,-3.8346128463745117,-15.105667114257812
52.1,5.18,1.7967529,1981.0,-0.2884824328806098,0.0,-11.09,-69.2,-9.49885082244873,-67.48124694824219
46.22030867,7.33848445,481.70312,2001.0,0.29671281927349075,0.0,-5.2,-40.9,-6.645121097564697,-44.36976623535156
51.83,6.25,9.5,1993.0,0.9510565162951535,6.891664270369802e-06,-6.74,-49.7,-7.35428524017334,-49.634708404541016
48.24861111,16.35638889,200.63281,1979.0,0.2386727660059501,0.0,-19.18,-140.6,-12.878049850463867,-94.35160827636719
51.1622,14.9506,238.80469,2012.0,-0.23030567023061196,1.950140540429857e-05,-5.75,-37.8,-6.077913761138916,-40.90918731689453
32.63333333,-16.9,0.0,2004.0,-0.970063921851507,0.0,-1.98,-10.6,-2.534409999847412,-8.777976989746094
48.8281,9.2,313.79688,1983.0,-0.2884824328806098,4.063042069901712e-05,-7.92,-64.0,-10.660061836242676,-76.91142272949219
33.96666667,-4.983333333,500.04688,2017.0,0.2386727660059501,0.0002190735831391,-5.95,-26.4,-4.822617053985596,-28.657758712768555
43.73238889,7.423583333,8.8959961,2014.0,0.9510565162951535,0.0,-7.43,-52.5,-5.680683135986328,-36.07061767578125
39.46666667,-6.333333333,410.0,2021.0,0.9760105506323683,0.0,-4.4,-26.4,-4.974783420562744,-29.174047470092773
76.76666667,-18.66666667,0.0,2010.0,0.9510565162951535,0.0,-23.37,-177.3,-20.00664520263672,-154.304931640625
-33.11011944,-64.24918333,408.09375,2020.0,-0.970063921851507,0.0,-2.38,-2.1,-4.265267372131348,-20.790498733520508
46.95222563,7.439320571,542.53125,1986.0,-0.2884824328806098,4.848729804507457e-05,-11.0,-77.2,-13.946725845336914,-103.21337890625
51.93,-10.25,33.068359,1980.0,-0.970063921851507,0.000149682367919,-5.57,-36.2,-5.389512538909912,-33.59883499145508
36.83,10.23,0.0,1977.0,0.741222010848596,0.0,0.3,-4.5,-3.984128713607788,-21.447410583496094
45.46666667,13.61666667,0.5645752,2003.0,0.03442161162274574,0.0,-3.57,-23.78,-6.466318607330322,-42.83595275878906
45.37,-63.27,12.535156,1982.0,0.6994583270516471,4.434667062014341e-05,-12.3,-86.0,-10.478221893310547,-76.32997131347656
46.65772518,8.292706832,1061.3125,2006.0,-0.9587178169872964,0.0002205022174166,-12.25,-90.04,-7.987736225128174,-55.887062072753906
50.06166667,19.84861111,356.8125,1991.0,0.741222010848596,0.0001755660341586,-9.07,-58.4,-7.215054035186768,-49.25879669189453
-33.95833333,18.46111111,109.49609,2001.0,0.6807734094770161,0.0,-1.22,1.0,-3.9700427055358887,-17.23174285888672
33.21722222,-87.54305556,64.535156,2007.0,-0.3697245428906732,0.0,-2.5,-11.5,-3.998173236846924,-21.511293411254883
-46.42,168.32,-0.90939331,2014.0,-0.2884824328806098,0.0,-5.82,-40.7,-7.497889041900635,-48.93656921386719
49.19472222,-123.0172222,1.3475342,2018.0,-0.2884824328806098,0.0002342849911656,-11.59,-81.8,-10.619012832641602,-76.50103759765625
68.78666667,-81.25,7.5170898,1989.0,0.9760105506323683,0.0,-30.74,-227.8,-29.77042007446289,-235.5474853515625
58.38277778,21.81416667,5.9343262,2016.0,-0.9634705485641486,0.0,-6.35,-45.7,-8.709331512451172,-62.07709503173828
51.93,-10.25,33.068359,1963.0,0.2386727660059501,7.680254930164665e-05,-7.6,-47.7,-5.182373046875,-31.82193946838379
44.42,8.85,5.4519043,1985.0,0.9760105506323683,1.6009556929930113e-05,-2.38,-8.6,-5.497679710388184,-34.51663589477539
45.80666667,15.97,120.36328,1984.0,-0.6932812268869771,0.0,-5.84,-37.5,-5.8065643310546875,-37.20268249511719
