Lat,Lon,Alt,Year,JulianDay_Sin,Temp,ENSO,NAO,O18 A,H2 A,O18 P,H2 P
11.12,124.62,231.36719,1998.0,0.29671281927349075,301.1888427734375,1.6,-2.72,-7.15,-47.6,-6.274706840515137,-39.393829345703125
37.1644591,-5.611393166,86.394531,2013.0,0.9510565162951535,289.4898681640625,2.5,-1.61,-3.87,-22.8,-4.370390892028809,-26.466201782226562
29.35541116,34.96028149,7.939209,1969.0,0.2386727660059501,290.5974426269531,-2.4,-0.83,-1.05,1.2,-1.5964617729187012,0.5220901370048523
42.033333,43.483333,1077.1875,2017.0,-0.2135209154397959,297.6083679199219,1.3,1.26,-3.27,-22.2,-4.833220481872559,-30.6348934173584
64.69939722,-148.2525028,121.98047,2004.0,0.36171373072976765,293.9618225097656,-1.4,-0.89,-16.63,-130.9,-17.095565795898438,-136.8369598388672
-16.49888889,-68.12305556,3582.75,2000.0,0.6994583270516471,279.49041748046875,2.7,1.7,-15.47,-110.65,-16.391433715820312,-120.00826263427734
48.22,11.59,494.59375,1995.0,-0.2135209154397959,290.3919372558594,0.7,-0.22,-4.96,-28.3,-7.417014122009277,-51.806121826171875
-34.05,115.0249,77.78125,2007.0,-0.47115950767386394,288.12481689453125,-0.5,-0.58,-2.04,-1.0,-3.3928139209747314,-13.772807121276855
52.1,5.18,1.7967529,1981.0,-0.2884824328806098,275.7855834960937,0.8,-0.02,-11.09,-69.2,-8.658202171325684,-59.987762451171875
46.22030867,7.33848445,481.70312,2001.0,0.29671281927349075,288.6055603027344,0.5,-0.2,-5.2,-40.9,-6.165350914001465,-43.35373306274414
51.83,6.25,9.5,1993.0,0.9510565162951535,279.7039489746094,-0.8,0.67,-6.74,-49.7,-6.116580009460449,-44.410987854003906
18.47,-70.02,1.0,1996.0,0.2802306751992159,299.085205078125,1.9,0.56,-2.44,-11.35,-1.524181604385376,-3.352325201034546
-0.37,-78.55,3064.0,2018.0,0.2386727660059501,288.22540283203125,1.8,1.44,-12.43,-90.2,-9.949141502380371,-70.8842544555664
48.24861111,16.35638889,200.63281,1979.0,0.2386727660059501,269.9031066894531,-0.7,-1.38,-19.18,-140.6,-13.308402061462402,-100.31846618652344
51.1622,14.9506,238.80469,2012.0,-0.23030567023061196,291.5385437011719,-0.1,-1.32,-5.75,-37.8,-6.497031211853027,-44.75086975097656
22.31666667,114.1666667,34.056641,2004.0,-0.6932812268869771,301.2602844238281,-0.5,-0.48,-7.26,-48.5,-8.74204158782959,-62.53828430175781
32.63333333,-16.9,0.0,2004.0,-0.970063921851507,290.4496154785156,-0.1,-1.1,-1.98,-10.6,-2.617844820022583,-11.961721420288086
48.8281,9.2,313.79688,1983.0,-0.2884824328806098,274.1112976074219,0.0,0.29,-7.92,-64.0,-10.106223106384277,-72.94559478759766
33.96666667,-4.983333333,500.04688,2017.0,0.2386727660059501,280.8715209960937,0.3,0.48,-5.95,-26.4,-6.791201591491699,-38.610511779785156
4.036666667,9.734166667,39.230469,2010.0,-0.680773409477016,299.4111328125,3.0,-1.22,-1.265224179,-1.106035282,-2.830207109451294,-11.667229652404785
43.73238889,7.423583333,8.8959961,2014.0,0.9510565162951535,282.3019714355469,-1.5,0.8,-7.43,-52.5,-5.786551475524902,-38.07756805419922
39.46666667,-6.333333333,410.0,2021.0,0.9760105506323683,290.2076416015625,0.6,-1.43,-4.4,-26.4,-4.975161552429199,-30.92054557800293
76.76666667,-18.66666667,0.0,2010.0,0.9510565162951535,250.54205322265625,-1.1,-0.88,-23.37,-177.3,-18.57977294921875,-140.59848022460938
-33.11011944,-64.24918333,408.09375,2020.0,-0.970063921851507,292.9140014648437,0.8,-0.65,-2.38,-2.1,-2.4023728370666504,-6.104138374328613
46.95222563,7.439320571,542.53125,1986.0,-0.2884824328806098,270.1028137207031,-2.4,0.99,-11.0,-77.2,-11.841818809509277,-87.55887603759766
51.93,-10.25,33.068359,1980.0,-0.970063921851507,286.6293640136719,0.0,-1.77,-5.57,-36.2,-6.00730037689209,-39.8544807434082
36.83,10.23,0.0,1977.0,0.741222010848596,296.5929260253906,-0.8,-0.86,0.3,-4.5,-2.640042543411255,-13.440248489379883
45.46666667,13.61666667,0.5645752,2003.0,0.03442161162274574,278.73394775390625,-0.3,0.16,-3.57,-23.78,-8.251250267028809,-57.27220916748047
-22.399288,-47.543743,626.78125,2017.0,0.9760105506323683,296.8645935058594,-0.3,1.73,-7.11,-45.5,-6.623946189880371,-41.19011306762695
45.37,-63.27,12.535156,1982.0,0.6994583270516471,272.5054016113281,0.4,1.15,-12.3,-86.0,-11.44730281829834,-79.79317474365234
22.32555556,-81.18527778,4.9055176,1984.0,-0.23030567023061196,300.0343017578125,0.3,-0.07,-1.12,0.6,-2.1132309436798096,-7.949239253997803
22.31666667,114.1666667,34.056641,2013.0,-0.9587178169872964,300.97802734375,0.5,0.24,-7.49,-47.2,-8.050124168395996,-55.45411682128906
46.65772518,8.292706832,1061.3125,2006.0,-0.9587178169872964,284.7343139648437,-1.0,-1.62,-12.25,-90.04,-9.520445823669434,-65.1666259765625
-15.6,-56.1,177.79688,1968.0,-0.9634705485641486,302.50323486328125,-0.4,-1.92,-0.55,11.0,-1.057798147201538,2.275411367416382
50.06166667,19.84861111,356.8125,1991.0,0.741222010848596,289.7830810546875,-1.7,0.08,-9.07,-58.4,-7.903433799743652,-57.587860107421875
6.906666667,79.87,14.911133,1985.0,0.29671281927349075,300.8658752441406,-0.6,-0.8,-1.12,-12.3,-2.849583864212036,-13.551376342773438
-5.22,145.8,2.7424316,1974.0,0.9510565162951535,295.0628356933594,4.0,-0.03,-9.79,-66.6,-8.695723533630371,-58.94293212890625
15.65944444,0.5,248.89844,2000.0,-0.23030567023061196,303.6113586425781,-0.3,-1.03,-3.16,-17.0,-2.6844656467437744,-10.932677268981934
28.276976,84.30961,2101.5,2017.0,-0.8165380514459157,296.3512268066406,0.9,-1.1,-12.78528588,-89.9301422,-11.049628257751465,-78.5985107421875
9.357072,-75.289167,200.4375,2015.0,0.29671281927349075,302.38702392578125,-0.9,-0.07,-5.09,-35.8,-6.910796165466309,-46.45035934448242
14.97219444,-87.97477778,926.03125,2009.0,-0.2884824328806098,295.956787109375,-1.2,-1.93,-4.94,-24.2,-4.824801445007324,-29.93950843811035
-18.9,47.53,1259.9375,1974.0,0.9510565162951535,290.38580322265625,4.0,-0.03,-9.75,-64.8,-8.471503257751465,-56.63384246826172
-33.95833333,18.46111111,109.49609,2001.0,0.6807734094770161,292.05078125,-0.8,-0.02,-1.22,1.0,-2.997490167617798,-12.537086486816406
33.21722222,-87.54305556,64.535156,2007.0,-0.3697245428906732,288.2062072753906,2.7,0.34,-2.5,-11.5,-3.242785692214966,-15.745957374572754
23.95277778,90.27916667,23.626953,2021.0,0.9760105506323683,304.3158264160156,0.6,-1.43,1.23,18.7,-1.343653917312622,-1.3717808723449707
-46.42,168.32,-0.90939331,2014.0,-0.2884824328806098,286.3773498535156,-0.9,1.86,-5.82,-40.7,-5.3992109298706055,-33.80215835571289
49.19472222,-123.0172222,1.3475342,2018.0,-0.2884824328806098,281.0718688964844,1.7,0.61,-11.59,-81.8,-12.443160057067871,-95.33104705810547
-15.6,-56.1,177.79688,1965.0,0.9760105506323683,302.1986694335937,-0.9,0.72,-10.8,-71.9,-4.159239768981934,-22.15245246887207
