Date,Lat,Lon,O18,H2,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,ENSO,NAO,Temperature,Precipitation,Alt
2010-01-15 00:00:00+00:00,52.3,104.2833333,,,0,0,0,1,0,-1.8,-1.11,247.78802,0.0,427.25
2010-01-15 00:00:00+00:00,47.54260867,7.58371693,,,0,0,1,0,0,-1.8,-1.11,268.7666,0.0,304.73438
2010-01-15 00:00:00+00:00,23.27,5.6,,,0,1,0,0,0,-1.8,-1.11,283.36148,0.0,2246.375
2010-01-15 00:00:00+00:00,69.1,-105.1166667,,,0,0,0,0,1,-1.8,-1.11,242.93187,0.0,0.0
2010-01-15 00:00:00+00:00,0.38,6.72,,,1,0,0,0,0,-1.8,-1.11,299.1606,3.958073e-05,0.0
2010-01-15 00:00:00+00:00,-22.66416667,-48.06,,,1,0,0,0,0,-1.8,-1.11,297.1575,2.900717e-05,490.46875
2010-01-15 00:00:00+00:00,-67.57,-68.13,,,0,0,0,0,1,-1.8,-1.11,,,11.128906
2010-01-15 00:00:00+00:00,49.67,-93.72,,,0,0,0,1,0,-1.8,-1.11,248.28632,0.0,427.09375
2010-01-15 00:00:00+00:00,29.7,91.13333333,,,0,0,0,0,1,-1.8,-1.11,277.0588,0.0,3735.25
2010-01-15 00:00:00+00:00,12.54194444,39.76972222,,,0,1,0,0,0,-1.8,-1.11,290.7255,0.0,1782.5
2010-01-15 00:00:00+00:00,18.9,72.82,,,1,0,0,0,0,-1.8,-1.11,298.44464,0.0,0.0
2010-02-15 00:00:00+00:00,52.3,104.2833333,,,0,0,0,1,0,-2.4,-1.98,258.62997,0.0,427.25
2010-02-15 00:00:00+00:00,47.54260867,7.58371693,,,0,0,1,0,0,-2.4,-1.98,279.21277,0.0,304.73438
2010-02-15 00:00:00+00:00,23.27,5.6,,,0,1,0,0,0,-2.4,-1.98,285.31247,0.0,2246.375
2010-02-15 00:00:00+00:00,69.1,-105.1166667,,,0,0,0,0,1,-2.4,-1.98,247.54504,4.846431e-06,0.0
