Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Temp,Precip,ENSO,NAO,O18 A,H2 A,O18 P,H2 P
11.12,124.62,231.36719,1998.0,0.29671281927349075,1.0,0.0,0.0,0.0,0.0,301.1888427734375,7.127512799343094e-05,1.6,-2.72,-7.15,-47.6,-6.293216228485107,-40.71637725830078
37.1644591,-5.611393166,86.394531,2013.0,0.9510565162951535,0.0,0.0,1.0,0.0,0.0,289.4898681640625,0.0,2.5,-1.61,-3.87,-22.8,-3.851771831512451,-19.517494201660156
29.35541116,34.96028149,7.939209,1969.0,0.2386727660059501,0.0,1.0,0.0,0.0,0.0,290.5974426269531,0.0,-2.4,-0.83,-1.05,1.2,-3.1291918754577637,-13.243385314941406
42.033333,43.483333,1077.1875,2017.0,-0.2135209154397959,0.0,0.0,0.0,1.0,0.0,297.6083679199219,4.415451621753164e-05,1.3,1.26,-3.27,-22.2,-4.854625225067139,-28.225196838378906
64.69939722,-148.2525028,121.98047,2004.0,0.36171373072976765,0.0,0.0,0.0,1.0,0.0,293.9618225097656,0.0,-1.4,-0.89,-16.63,-130.9,-16.911067962646484,-135.02508544921875
-16.49888889,-68.12305556,3582.75,2000.0,0.6994583270516471,0.0,0.0,0.0,0.0,1.0,279.49041748046875,6.722265243297443e-05,2.7,1.7,-15.47,-110.65,-16.510055541992188,-131.4632568359375
48.22,11.59,494.59375,1995.0,-0.2135209154397959,0.0,0.0,1.0,0.0,0.0,290.3919372558594,0.0,0.7,-0.22,-4.96,-28.3,-6.326070308685303,-41.02440643310547
-34.05,115.0249,77.78125,2007.0,-0.47115950767386394,0.0,0.0,1.0,0.0,0.0,288.12481689453125,4.889923002338037e-05,-0.5,-0.58,-2.04,-1.0,-3.124812602996826,-13.205360412597656
52.1,5.18,1.7967529,1981.0,-0.2884824328806098,0.0,0.0,1.0,0.0,0.0,275.7855834960937,0.0,0.8,-0.02,-11.09,-69.2,-8.913263320922852,-63.987876892089844
46.22030867,7.33848445,481.70312,2001.0,0.29671281927349075,0.0,0.0,1.0,0.0,0.0,288.6055603027344,0.0,0.5,-0.2,-5.2,-40.9,-6.193331241607666,-39.850341796875
51.83,6.25,9.5,1993.0,0.9510565162951535,0.0,0.0,1.0,0.0,0.0,279.7039489746094,6.891664270369802e-06,-0.8,0.67,-6.74,-49.7,-7.591269493103027,-52.24580383300781
18.47,-70.02,1.0,1996.0,0.2802306751992159,1.0,0.0,0.0,0.0,0.0,299.085205078125,0.0,1.9,0.56,-2.44,-11.35,-1.71687650680542,-0.9803543090820312
-0.37,-78.55,3064.0,2018.0,0.2386727660059501,0.0,0.0,1.0,0.0,0.0,288.22540283203125,4.760956289828755e-05,1.8,1.44,-12.43,-90.2,-9.668903350830078,-70.69953155517578
48.24861111,16.35638889,200.63281,1979.0,0.2386727660059501,0.0,0.0,0.0,1.0,0.0,269.9031066894531,0.0,-0.7,-1.38,-19.18,-140.6,-13.463558197021484,-104.40399932861328
51.1622,14.9506,238.80469,2012.0,-0.23030567023061196,0.0,0.0,0.0,1.0,0.0,291.5385437011719,1.950140540429857e-05,-0.1,-1.32,-5.75,-37.8,-7.131900787353516,-48.1656494140625
22.31666667,114.1666667,34.056641,2004.0,-0.6932812268869771,0.0,0.0,1.0,0.0,0.0,301.2602844238281,0.0001875762100098,-0.5,-0.48,-7.26,-48.5,-7.933177471160889,-55.28266143798828
