Lat,Lon,Alt,Date,H2,O18,geometry
46.64833333,14.31833333,450.0,1999-05-15T00:00:00.0000000+02:00,-54.1,-7.28,POINT (14.31833333 46.64833333)
-7.92,-14.42,15.0,1998-05-15T00:00:00.0000000+02:00,13.2,0.62,POINT (-14.42 -7.92)
-41.47,-72.93,13.0,1965-02-15T00:00:00.0000000+01:00,-48.6,-7.24,POINT (-72.93 -41.47)
37.11611111,14.82,980.0,2000-05-15T00:00:00.0000000+02:00,-26.0,-6.1,POINT (14.82 37.11611111)
51.387367,-0.325697,10.0,2021-12-25T08:00:00.0000000+01:00,-59.00054799,-8.744136724,POINT (-0.325697 51.387367)
47.81666667,13.71777778,1618.0,2002-07-10T00:00:00.0000000+02:00,-25.5,-5.32,POINT (13.71777778 47.81666667)
46.06666667,14.51666667,299.0,2000-11-07T00:00:00.0000000+01:00,-45.54,-6.83,POINT (14.51666667 46.06666667)
64.58,40.5,13.0,1981-06-15T00:00:00.0000000+02:00,-41.0,-8.2,POINT (40.5 64.58)
21.44,91.99,5.0,2015-07-15T00:00:00.0000000+02:00,-31.4,-4.44,POINT (91.99 21.44)
58.38277778,21.81416667,6.0,2016-01-15T00:00:00.0000000+01:00,-108.0,-15.01,POINT (21.81416667 58.38277778)
52.2914,10.4464,81.0,1980-11-15T00:00:00.0000000+01:00,-41.1,-6.46,POINT (10.4464 52.2914)
13.73,100.5,2.0,2005-03-15T00:00:00.0000000+01:00,-0.93,2.04,POINT (100.5 13.73)
52.1,5.18,2.0,1986-03-15T00:00:00.0000000+01:00,-59.4,-8.55,POINT (5.18 52.1)
52.4672,13.4019,48.0,2001-01-15T00:00:00.0000000+01:00,-78.1,-9.39,POINT (13.4019 52.4672)
36.55530278,126.635925,62.0,2021-03-15T00:00:00.0000000+01:00,-25.8,-5.44,POINT (126.635925 36.55530278)
22.31666667,114.1666667,66.0,2004-05-15T00:00:00.0000000+02:00,-36.0,-5.78,POINT (114.1666667 22.31666667)
47.81666667,13.71777778,1618.0,2002-07-17T00:00:00.0000000+02:00,-72.8,-10.71,POINT (13.71777778 47.81666667)
46.22030867,7.33848445,482.0,2010-08-15T00:00:00.0000000+02:00,-46.4,-6.21,POINT (7.33848445 46.22030867)
-0.166666667,-78.48333333,2789.0,2003-04-15T00:00:00.0000000+02:00,-108.3,-14.95,POINT (-78.48333333 -0.166666667)
-30.08,-51.18,7.0,1982-02-15T00:00:00.0000000+01:00,-50.8,-7.6,POINT (-51.18 -30.08)
49.7478,6.6581,265.0,1996-08-15T00:00:00.0000000+02:00,-52.4,-7.26,POINT (6.6581 49.7478)
-33.11011944,-64.24918333,435.0,2017-08-15T00:00:00.0000000+02:00,-16.0,-3.53,POINT (-64.24918333 -33.11011944)
-27.17,-109.43,41.0,2007-08-15T00:00:00.0000000+02:00,-6.6,-2.66,POINT (-109.43 -27.17)
47.833185,1.940433,109.0,1996-10-15T00:00:00.0000000+02:00,-48.0,-7.4,POINT (1.940433 47.833185)
9.357072,-75.289167,198.0,2011-05-15T00:00:00.0000000+02:00,-42.66143877,-6.425623327,POINT (-75.289167 9.357072)
53.32,-60.42,46.0,2006-10-15T00:00:00.0000000+02:00,-80.6,-11.33,POINT (-60.42 53.32)
-0.92,-75.4,180.0,2019-08-15T00:00:00.0000000+02:00,9.6,-0.88,POINT (-75.4 -0.92)
-6.18,106.83,8.0,1976-10-15T00:00:00.0000000+02:00,-31.4,-4.98,POINT (106.83 -6.18)
-22.71,-46.46583333,545.0,1998-03-30T00:00:00.0000000+02:00,-39.42,-6.37,POINT (-46.46583333 -22.71)
38.7,-27.34,200.0,1998-09-15T00:00:00.0000000+02:00,-14.8,-2.94,POINT (-27.34 38.7)
41.818399,46.266606,432.0,2013-07-15T00:00:00.0000000+02:00,-20.4,-4.5,POINT (46.266606 41.818399)
47.07777778,15.44888889,366.0,1977-01-15T00:00:00.0000000+01:00,-94.6,-13.06,POINT (15.44888889 47.07777778)
42.7728,-0.33149,1285.0,2013-12-15T00:00:00.0000000+01:00,-72.4,-9.84,POINT (-0.33149 42.7728)
22.74527778,88.49583333,6.0,2005-08-28T00:00:00.0000000+02:00,-62.49,-9.38,POINT (88.49583333 22.74527778)
-16.49968333,-68.17015556,4080.0,1983-08-15T00:00:00.0000000+02:00,-17.4,-4.56,POINT (-68.17015556 -16.49968333)
7.0,125.25,1716.0,1995-01-15T00:00:00.0000000+01:00,-54.4,-8.13,POINT (125.25 7)
64.68972778,-148.38,278.0,2004-08-11T00:00:00.0000000+02:00,-120.2,-12.4,POINT (-148.38 64.68972778)
58.15,-4.975,73.0,2004-02-15T00:00:00.0000000+01:00,-52.04,-6.74,POINT (-4.975 58.15)
24.83736944,-80.80080278,1.0,2002-05-20T00:00:00.0000000+02:00,-36.2,-5.1,POINT (-80.80080278 24.83736944)
42.85,-80.27,240.0,1979-06-15T00:00:00.0000000+02:00,-30.0,-5.1,POINT (-80.27 42.85)
51.83,6.25,43.0,1983-11-15T00:00:00.0000000+01:00,-72.5,-9.5,POINT (6.25 51.83)
22.74527778,88.49583333,6.0,2005-10-09T00:00:00.0000000+02:00,-57.82,-8.15,POINT (88.49583333 22.74527778)
6.417169444,2.329255556,14.0,2015-11-15T00:00:00.0000000+01:00,-0.4,-1.24,POINT (2.329255556 6.417169444)
30.99666667,78.94027778,3053.0,2005-06-15T00:00:00.0000000+02:00,4.9,-1.8,POINT (78.94027778 30.99666667)
45.32,-75.67,114.0,1996-05-15T00:00:00.0000000+02:00,-75.8,-10.6,POINT (-75.67 45.32)
49.0392,8.365,112.0,2000-09-15T00:00:00.0000000+02:00,-47.65,-7.36,POINT (8.365 49.0392)
48.22,11.59,489.0,1993-03-15T00:00:00.0000000+01:00,-80.8,-10.85,POINT (11.59 48.22)
42.85,-80.27,240.0,1976-08-15T00:00:00.0000000+02:00,-37.0,-6.3,POINT (-80.27 42.85)
41.13333333,-8.6,93.0,2001-10-15T00:00:00.0000000+02:00,-32.4,-4.93,POINT (-8.6 41.13333333)
51.3744,11.2919,164.0,1997-11-15T00:00:00.0000000+01:00,-80.2,-10.53,POINT (11.2919 51.3744)
45.03527778,24.28416667,237.0,2013-10-15T00:00:00.0000000+02:00,-93.6,-12.8,POINT (24.28416667 45.03527778)
50.3119,11.8758,565.0,2004-06-15T00:00:00.0000000+02:00,-36.85,-5.26,POINT (11.8758 50.3119)
38.28,21.79,100.0,2018-07-15T00:00:00.0000000+02:00,21.6,3.93,POINT (21.79 38.28)
43.365884,-8.421399,58.0,2012-06-15T00:00:00.0000000+02:00,-18.6,-3.23,POINT (-8.421399 43.365884)
52.8911,11.7294,21.0,2011-04-15T00:00:00.0000000+02:00,-22.8,-3.75,POINT (11.7294 52.8911)
-37.82,144.97,28.0,2008-09-15T00:00:00.0000000+02:00,-5.8,-1.65,POINT (144.97 -37.82)
43.365884,-8.421399,58.0,2005-02-15T00:00:00.0000000+01:00,-31.48,-6.3,POINT (-8.421399 43.365884)
-75.58333333,-20.56666667,30.0,2008-08-15T00:00:00.0000000+02:00,-188.33,-24.54,POINT (-20.56666667 -75.58333333)
42.85,-80.27,240.0,1978-09-15T00:00:00.0000000+02:00,-47.0,-7.8,POINT (-80.27 42.85)
8.35,80.38333333,81.0,1984-05-15T00:00:00.0000000+02:00,-12.9,-2.35,POINT (80.38333333 8.35)
49.0422,12.1019,365.0,2004-12-15T00:00:00.0000000+01:00,-96.35,-13.31,POINT (12.1019 49.0422)
72.58,-38.4799,3200.0,2012-11-30T11:50:00.0000000+01:00,-220.9600708,-28.29816359,POINT (-38.4799 72.58)
50.3119,11.8758,565.0,1984-01-15T00:00:00.0000000+01:00,-79.0,-10.88,POINT (11.8758 50.3119)
-7.92,-14.42,15.0,2008-06-15T00:00:00.0000000+02:00,13.51,-0.38,POINT (-14.42 -7.92)
38.98916547,-3.920273851,628.0,2009-06-15T00:00:00.0000000+02:00,-19.38,-3.02,POINT (-3.920273851 38.98916547)
-18.9,47.53,1300.0,1962-04-15T00:00:00.0000000+02:00,-10.0,-3.1,POINT (47.53 -18.9)
-3.25,-79.98333333,6.0,1993-01-15T00:00:00.0000000+01:00,2.4,-1.11,POINT (-79.98333333 -3.25)
4.05,114.81,24.0,2007-02-01T00:00:00.0000000+01:00,-10.18,-3.47,POINT (114.81 4.05)
-35.15833333,147.4572222,212.0,2010-10-15T00:00:00.0000000+02:00,-27.6,-5.34,POINT (147.4572222 -35.15833333)
46.39864119,6.233803787,436.0,2014-10-15T00:00:00.0000000+02:00,-37.1,-5.95,POINT (6.233803787 46.39864119)
-0.121944444,-67.14916667,74.0,1975-11-15T00:00:00.0000000+01:00,3.0,-0.4,POINT (-67.14916667 -0.121944444)
-27.17,-109.43,41.0,2012-04-15T00:00:00.0000000+02:00,9.6,-0.24,POINT (-109.43 -27.17)
41.65,41.63333333,6.0,1981-03-15T00:00:00.0000000+01:00,-52.0,-6.4,POINT (41.63333333 41.65)
-5.22,145.8,4.0,1974-06-15T00:00:00.0000000+02:00,-64.4,-9.52,POINT (145.8 -5.22)
-0.121944444,-67.14916667,74.0,1973-06-15T00:00:00.0000000+02:00,-45.0,-6.9,POINT (-67.14916667 -0.121944444)
47.833185,1.940433,109.0,2005-01-15T00:00:00.0000000+01:00,-39.88,-6.19,POINT (1.940433 47.833185)
28.22,-177.37,13.0,1969-06-15T00:00:00.0000000+02:00,-8.9,-2.22,POINT (-177.37 28.22)
38.00194982,-1.170837424,61.0,2016-08-15T00:00:00.0000000+02:00,6.2,0.5,POINT (-1.170837424 38.00194982)
39.48056611,-0.366386255,11.0,2007-07-15T00:00:00.0000000+02:00,1.27,-0.85,POINT (-0.366386255 39.48056611)
50.3119,11.8758,565.0,1993-10-15T00:00:00.0000000+02:00,-74.4,-10.58,POINT (11.8758 50.3119)
51.77,-104.2,561.0,1981-04-15T00:00:00.0000000+02:00,-140.0,-18.8,POINT (-104.2 51.77)
47.93333333,106.9833333,1338.0,1996-06-15T00:00:00.0000000+02:00,-16.6,-3.62,POINT (106.9833333 47.93333333)
51.18,8.4889,839.0,2006-03-15T00:00:00.0000000+01:00,-69.9,-9.98,POINT (8.4889 51.18)
46.095,14.597,282.0,1994-05-15T00:00:00.0000000+02:00,-52.9,-7.5,POINT (14.597 46.095)
40.8203002,0.493333172,50.0,2016-02-15T00:00:00.0000000+01:00,-45.2,-6.1,POINT (0.493333172 40.8203002)
43.91281944,4.888775,33.0,2019-06-15T00:00:00.0000000+02:00,-27.5,-4.4,POINT (4.888775 43.91281944)
46.60305556,13.67138889,2156.0,2018-02-20T07:00:00.0000000+01:00,-122.33,-16.301,POINT (13.67138889 46.60305556)
-34.05,115.0249,70.0,2005-10-05T09:00:00.0000000+02:00,-5.8,-3.2,POINT (115.0249 -34.05)
41.05916667,-100.7463889,919.0,1999-06-25T00:00:00.0000000+02:00,-38.0,-6.1,POINT (-100.7463889 41.05916667)
47.37233597,8.083138245,397.0,2011-02-15T00:00:00.0000000+01:00,-111.55,-14.24,POINT (8.083138245 47.37233597)
47.81666667,13.71777778,1618.0,2001-12-04T00:00:00.0000000+01:00,-75.7,-11.35,POINT (13.71777778 47.81666667)
41.38,2.12,65.0,1988-12-15T00:00:00.0000000+01:00,-24.5,-2.27,POINT (2.12 41.38)
49.5971,11.0055,270.0,2013-07-15T00:00:00.0000000+02:00,-24.37,-4.11,POINT (11.0055 49.5971)
-22.399288,-47.543743,614.49694,2017-12-15T00:00:00.0000000+01:00,-36.1,-6.08,POINT (-47.543743 -22.399288)
40.40725278,-3.686133333,638.0,2003-03-27T00:00:00.0000000+01:00,-34.2,-4.95,POINT (-3.686133333 40.40725278)
7.533333333,80.45,139.0,1993-08-15T00:00:00.0000000+02:00,-6.0,-0.8,POINT (80.45 7.533333333)
10.586583,14.32375,396.0,2020-07-15T00:00:00.0000000+02:00,-37.2,-5.61,POINT (14.32375 10.586583)
46.72738634,8.186782163,632.0,2017-08-15T00:00:00.0000000+02:00,-43.2,-7.0,POINT (8.186782163 46.72738634)
40.41666667,-7.55,1380.0,1990-10-15T00:00:00.0000000+02:00,-48.5,-8.07,POINT (-7.55 40.41666667)
68.68333333,21.53,403.0,1993-10-15T00:00:00.0000000+02:00,-132.7,-18.4,POINT (21.53 68.68333333)
53.23,6.55,1.0,2009-04-15T00:00:00.0000000+02:00,-59.79,-8.29,POINT (6.55 53.23)
46.60305556,13.67138889,2156.0,2002-04-14T00:00:00.0000000+02:00,-96.3,-13.02,POINT (13.67138889 46.60305556)
45.65,13.75,20.0,2002-08-15T00:00:00.0000000+02:00,-50.78,-7.91,POINT (13.75 45.65)
36.88,30.7,49.0,1993-12-15T00:00:00.0000000+01:00,-13.4,-4.17,POINT (30.7 36.88)
-37.43333333,-65.16666667,200.0,2000-10-15T00:00:00.0000000+02:00,-28.0,-5.2,POINT (-65.16666667 -37.43333333)
4.036666667,9.734166667,18.0,2015-09-15T00:00:00.0000000+02:00,-14.1,-2.58,POINT (9.734166667 4.036666667)
-34.03,-67.97,572.0,1984-06-15T00:00:00.0000000+02:00,-47.0,-7.2,POINT (-67.97 -34.03)
36.88,30.7,49.0,2022-03-15T00:00:00.0000000+01:00,-15.3,-3.92,POINT (30.7 36.88)
48.8281,9.2,314.0,2008-06-15T00:00:00.0000000+02:00,-31.8,-5.46,POINT (9.2 48.8281)
24.91,91.84533333,20.0,2010-05-15T00:00:00.0000000+02:00,-6.264427136,-1.998856275,POINT (91.84533333 24.91)
33.46555556,126.9333333,25.0,1996-06-21T00:00:00.0000000+02:00,-71.0,-10.8,POINT (126.9333333 33.46555556)
42.033333,43.483333,1242.0,2017-08-15T00:00:00.0000000+02:00,-33.9,-5.61,POINT (43.483333 42.033333)
-20.67652,-66.63797,3674.0,2009-03-15T00:00:00.0000000+01:00,-124.3,-16.9,POINT (-66.63797 -20.67652)
31.62,-97.22,156.0,1973-04-15T00:00:00.0000000+02:00,-10.3,-2.41,POINT (-97.22 31.62)
-51.342,-58.8425,33.0,2016-02-15T00:00:00.0000000+01:00,-84.763912,-11.90418193,POINT (-58.8425 -51.342)
12.37861111,-1.503111111,298.0,2005-08-15T00:00:00.0000000+02:00,-16.49,-3.89,POINT (-1.503111111 12.37861111)
52.8911,11.7294,21.0,1998-11-15T00:00:00.0000000+01:00,-79.0,-11.41,POINT (11.7294 52.8911)
40.8203002,0.493333172,50.0,2004-10-15T00:00:00.0000000+02:00,-73.79,-8.94,POINT (0.493333172 40.8203002)
46.49722222,28.3,156.0,2016-01-15T00:00:00.0000000+01:00,-144.0,-18.99,POINT (28.3 46.49722222)
-37.82,144.97,28.0,2007-10-15T00:00:00.0000000+02:00,4.7,-0.5,POINT (144.97 -37.82)
41.9,12.5,66.0,2000-11-24T00:00:00.0000000+01:00,-22.13,-3.78,POINT (12.5 41.9)
52.2914,10.4464,81.0,1990-03-15T00:00:00.0000000+01:00,-62.0,-8.67,POINT (10.4464 52.2914)
50.62,-96.98,223.0,1978-05-15T00:00:00.0000000+02:00,-60.0,-8.9,POINT (-96.98 50.62)
14.52,121.0,14.0,1962-12-15T00:00:00.0000000+01:00,-6.9,0.2,POINT (121 14.52)
54.6789,13.4342,42.0,2006-09-15T00:00:00.0000000+02:00,-38.6,-5.86,POINT (13.4342 54.6789)
41.38,2.12,65.0,1991-04-15T00:00:00.0000000+02:00,-18.8,-4.01,POINT (2.12 41.38)
34.95,32.83,1378.0,2020-04-15T00:00:00.0000000+02:00,-36.3,-6.63,POINT (32.83 34.95)
39.28333333,-7.416666667,597.0,1994-10-15T00:00:00.0000000+02:00,-29.6,-4.86,POINT (-7.416666667 39.28333333)
47.4,28.49166667,78.0,2018-09-15T00:00:00.0000000+02:00,-43.5,-6.21,POINT (28.49166667 47.4)
-34.05,115.0249,70.0,2007-10-27T09:00:00.0000000+02:00,-17.6,-4.37,POINT (115.0249 -34.05)
-4.37,15.25,438.0,1968-02-15T00:00:00.0000000+01:00,5.3,-1.28,POINT (15.25 -4.37)
39.48056611,-0.366386255,11.0,2021-05-15T00:00:00.0000000+02:00,-15.8,-3.29,POINT (-0.366386255 39.48056611)
53.23,6.55,1.0,1970-05-15T00:00:00.0000000+02:00,-45.4,-6.95,POINT (6.55 53.23)
50.62,-96.98,223.0,1978-02-15T00:00:00.0000000+01:00,-209.0,-26.9,POINT (-96.98 50.62)
20.77695,-156.2439,1963.0,1996-02-25T00:00:00.0000000+01:00,-28.0,-5.3,POINT (-156.2439 20.77695)
50.4972,9.9428,921.0,1996-05-15T00:00:00.0000000+02:00,-68.7,-9.14,POINT (9.9428 50.4972)
43.933,-60.007,2.0,2018-06-15T00:00:00.0000000-03:00,-39.47,-6.18,POINT (-60.007 43.933)
10.86,0.2,315.0,2018-09-06T05:47:30.0000000+02:00,-60.39,-8.925,POINT (0.2 10.86)
46.49143367,9.898180888,1724.0,1995-09-15T00:00:00.0000000+02:00,-61.5,-11.18,POINT (9.898180888 46.49143367)
-65.07944444,-63.9775,20.0,1973-06-15T00:00:00.0000000+02:00,-91.6,-12.02,POINT (-63.9775 -65.07944444)
47.47051111,21.49041944,110.0,2006-06-27T00:00:00.0000000+02:00,-27.67,-4.2,POINT (21.49041944 47.47051111)
50.4972,9.9428,921.0,2011-07-15T00:00:00.0000000+02:00,-47.91,-7.22,POINT (9.9428 50.4972)
-33.95833333,18.46111111,105.0,2001-06-15T00:00:00.0000000+02:00,-5.0,-3.06,POINT (18.46111111 -33.95833333)
47.6772,9.19,443.0,2003-01-15T00:00:00.0000000+01:00,-80.75,-10.72,POINT (9.19 47.6772)
46.98141401,6.607999655,1042.0,2006-07-15T00:00:00.0000000+02:00,-31.20515843,-5.08,POINT (6.607999655 46.98141401)
-26.61361111,118.5372222,521.0,2009-01-15T00:00:00.0000000+01:00,-60.3,-8.77,POINT (118.5372222 -26.61361111)
-13.0,-38.52,45.0,1984-02-15T00:00:00.0000000+01:00,9.0,-0.4,POINT (-38.52 -13)
6.417169444,2.329255556,14.0,2012-03-15T00:00:00.0000000+01:00,-27.62,-5.2,POINT (2.329255556 6.417169444)
45.06767778,22.79993889,368.0,2019-01-15T00:00:00.0000000+01:00,-103.1,-14.53,POINT (22.79993889 45.06767778)
25.62,88.66,35.0,2021-08-15T00:00:00.0000000+02:00,-49.9,-7.4,POINT (88.66 25.62)
47.6772,9.19,443.0,1986-07-15T00:00:00.0000000+02:00,-49.5,-6.95,POINT (9.19 47.6772)
-75.58333333,-20.56666667,30.0,1993-01-15T00:00:00.0000000+01:00,-96.8,-12.72,POINT (-20.56666667 -75.58333333)
58.1,6.57,13.0,1962-12-15T00:00:00.0000000+01:00,-57.0,-9.1,POINT (6.57 58.1)
4.05,114.81,24.0,2007-06-04T00:00:00.0000000+02:00,-60.76,-9.74,POINT (114.81 4.05)
18.9,72.82,10.0,1975-07-15T00:00:00.0000000+02:00,1.7,-1.24,POINT (72.82 18.9)
69.2666,-53.469,80.0,2016-09-15T00:00:00.0000000+02:00,-114.4,-15.42,POINT (-53.469 69.2666)
64.13,-21.93,14.0,2001-12-15T00:00:00.0000000+01:00,-51.1,-7.91,POINT (-21.93 64.13)
43.73238889,7.423583333,2.0,2012-02-15T00:00:00.0000000+01:00,-75.85,-10.91,POINT (7.423583333 43.73238889)
-34.05,115.0249,70.0,2016-03-27T09:00:00.0000000+02:00,-83.0,-11.13,POINT (115.0249 -34.05)
58.38277778,21.81416667,6.0,2020-10-15T00:00:00.0000000+02:00,-65.0,-9.55,POINT (21.81416667 58.38277778)
35.68,139.77,4.0,1965-01-15T00:00:00.0000000+01:00,-51.4,-8.9,POINT (139.77 35.68)
-65.07944444,-63.9775,20.0,1999-12-15T00:00:00.0000000+01:00,-58.1,-5.86,POINT (-63.9775 -65.07944444)
-1.040555556,-80.465,60.0,2015-05-15T00:00:00.0000000+02:00,-7.5,-1.5,POINT (-80.465 -1.040555556)
40.7930564,-4.010553289,1894.0,2019-08-15T00:00:00.0000000+02:00,-38.0,-6.56,POINT (-4.010553289 40.7930564)
