Lat,Lon,Alt,Date,H2,O18,geometry
-75.58333333,-20.56666667,30.0,1970-09-15T00:00:00.0000000+02:00,-209.3,-27.39,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1970-10-15T00:00:00.0000000+02:00,-100.7,-14.71,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1970-12-15T00:00:00.0000000+01:00,-146.5,-19.51,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1972-01-15T00:00:00.0000000+01:00,-74.4,-9.76,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1972-02-15T00:00:00.0000000+01:00,-73.7,-11.05,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1972-03-15T00:00:00.0000000+01:00,-92.2,-12.67,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1972-04-15T00:00:00.0000000+02:00,-110.8,-13.84,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1972-05-15T00:00:00.0000000+02:00,-171.2,-21.18,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1972-06-15T00:00:00.0000000+02:00,-162.5,-21.38,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1972-07-15T00:00:00.0000000+02:00,-184.1,-24.3,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1972-08-15T00:00:00.0000000+02:00,-201.6,-25.02,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1972-09-15T00:00:00.0000000+02:00,-196.6,-24.82,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1972-11-15T00:00:00.0000000+01:00,-139.3,-18.82,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1972-12-15T00:00:00.0000000+01:00,-75.7,-10.76,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1973-01-15T00:00:00.0000000+01:00,-83.0,-11.13,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1973-02-15T00:00:00.0000000+01:00,-86.2,-11.96,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1973-03-15T00:00:00.0000000+01:00,-116.8,-15.49,POINT (-20.56666667 -75.58333333)
-75.58333333,-20.56666667,30.0,1973-04-15T00:00:00.0000000+02:00,-141.7,-16.89,POINT (-20.56666667 -75.58333333)
