Lat,Lon,Alt,Year,JulianDay_Sin,O18,H2,O18 P,H2 P
52.3,104.2833333,469,2011,0.29671281927349075,-14.0,-111.2,-18.675083,-150.51161
52.3,104.2833333,469,2011,-0.2135209154397959,-9.7,-74.1,-16.99036,-135.78548
52.3,104.2833333,469,2011,-0.680773409477016,-14.2,-101.4,-14.728549,-116.01504
52.3,104.2833333,469,2011,-0.9587178169872964,-13.1,-108.0,-14.709933,-115.85232
52.3,104.2833333,469,2011,-0.9741004551724206,-17.3,-127.0,-14.747165,-116.17776
52.3,104.2833333,469,2011,-0.7236440382959123,-30.1,-224.1,-14.68201,-115.60824
52.3,104.2833333,469,2011,-0.2884824328806098,-27.3,-208.7,-16.189884,-128.78853
52.3,104.2833333,469,2012,0.2386727660059501,-29.0,-218.7,-18.879856,-152.30153
52.3,104.2833333,469,2012,0.6994583270516471,-26.4,-207.4,-18.563389,-149.5353
52.3,104.2833333,469,2012,0.2802306751992159,-10.0,-91.8,-18.879856,-152.30153
52.3,104.2833333,469,2012,-0.23030567023061196,-13.0,-100.8,-17.353367,-138.95851
52.3,104.2833333,469,2012,-0.6932812268869771,-11.0,-87.1,-14.700625,-115.77096
52.3,104.2833333,469,2012,-0.9634705485641486,-15.0,-107.9,-14.76578,-116.34048
52.3,104.2833333,469,2012,-0.970063921851507,-29.9,-225.5,-14.793704,-116.58456
52.3,104.2833333,469,2012,-0.7116566222817751,-22.3,-165.9,-14.68201,-115.60824
52.3,104.2833333,469,2013,0.2386727660059501,-29.2,-226.2,-19.056705,-153.84737
52.3,104.2833333,469,2013,0.6994583270516471,-30.7,-251.3,-18.675083,-150.51161
52.3,104.2833333,469,2013,0.9510565162951535,-21.8,-169.2,-17.42783,-139.60939
52.3,104.2833333,469,2013,0.9760105506323683,-12.6,-86.7,-17.353367,-138.95851
52.3,104.2833333,469,2013,0.741222010848596,-12.8,-103.1,-18.47031,-148.7217
52.3,104.2833333,469,2013,0.29671281927349075,-12.7,-99.7,-19.047398,-153.766
52.3,104.2833333,469,2013,-0.2135209154397959,-12.2,-103.6,-17.911839,-143.8401
52.3,104.2833333,469,2013,-0.680773409477016,-10.9,-86.0,-14.76578,-116.34048
52.3,104.2833333,469,2013,-0.9587178169872964,-15.7,-117.2,-14.821628,-116.828636
52.3,104.2833333,469,2013,-0.9741004551724206,-16.3,-120.7,-14.905398,-117.560875
52.3,104.2833333,469,2014,-0.2884824328806098,-29.6,-230.5,-17.595371,-141.07387
52.3,104.2833333,469,2015,0.2386727660059501,-27.6,-215.2,-19.335941,-156.28816
52.3,104.2833333,469,2015,0.6994583270516471,-25.9,-211.2,-18.926395,-152.70833
52.3,104.2833333,469,2015,0.9510565162951535,-21.7,-175.3,-17.613987,-141.23659
52.3,104.2833333,469,2015,0.9760105506323683,-15.3,-112.3,-17.530216,-140.50435
52.3,104.2833333,469,2015,0.741222010848596,-10.7,-84.6,-18.693699,-150.67433
52.3,104.2833333,469,2015,0.29671281927349075,-14.3,-107.2,-19.326633,-156.2068
52.3,104.2833333,469,2015,-0.2135209154397959,-9.4,-61.8,-18.42377,-148.3149
52.3,104.2833333,469,2015,-0.680773409477016,-12.1,-85.6,-14.970553,-118.130394
52.3,104.2833333,469,2015,-0.9587178169872964,-16.3,-127.3,-14.989169,-118.29311
52.3,104.2833333,469,2015,-0.9741004551724206,-20.7,-158.7,-15.138095,-119.59487
52.3,104.2833333,469,2015,-0.7236440382959123,-21.3,-169.8,-14.877475,-117.316795
52.3,104.2833333,469,2015,-0.2884824328806098,-25.5,-201.8,-17.874607,-143.51466
52.3,104.2833333,469,2016,0.2386727660059501,-33.8,-269.6,-19.438328,-157.18312
52.3,104.2833333,469,2016,0.6994583270516471,-26.1,-209.1,-19.047398,-153.766
52.3,104.2833333,469,2016,0.9562348265919056,-26.0,-202.9,-17.669834,-141.72475
52.3,104.2833333,469,2016,0.9721181966290613,-12.5,-102.1,-17.613987,-141.23659
52.3,104.2833333,469,2016,0.7295575540864875,-16.4,-124.2,-18.879856,-152.30153
52.3,104.2833333,469,2016,0.2802306751992159,-12.4,-103.6,-19.438328,-157.18312
52.3,104.2833333,469,2016,-0.23030567023061196,-10.9,-82.7,-18.498234,-148.96577
52.3,104.2833333,469,2016,-0.6932812268869771,-12.1,-89.8,-15.035708,-118.69991
52.3,104.2833333,469,2016,-0.9634705485641486,-14.6,-109.1,-15.110171,-119.35079
52.3,104.2833333,469,2016,-0.970063921851507,-27.5,-202.8,-15.175326,-119.92031
52.3,104.2833333,469,2016,-0.7116566222817751,-27.8,-210.5,-14.998477,-118.37447
52.3,104.2833333,469,2016,-0.27195815753410524,-26.4,-201.1,-18.200382,-146.36226
52.3,104.2833333,469,2012,-0.27195815753410524,-35.1,-262.7,-16.915897,-135.1346
52.3,104.2833333,469,2017,0.9510565162951535,-17.6,-126.8,-17.762913,-142.53835
52.3,104.2833333,469,2017,0.9760105506323683,-20.9,-152.0,-17.669834,-141.72475
52.3,104.2833333,469,2017,0.2386727660059501,-30.3,-230.6,-19.540714,-158.07808
