Lat,Lon,Alt,Year,JulianDay_Sin,Temp,Precip,ENSO,NAO,O18,H2,O18 P,H2 P
52.3,104.2833333,427.25,2016,0.9562348265919056,273.4593,0.0,-0.1,0.73,-26.0,-202.9,-15.149584,-119.89445
52.3,104.2833333,427.25,2016,0.9721181966290613,276.23322,0.0,-2.0,0.38,-12.5,-102.1,-14.049227,-110.31022
52.3,104.2833333,427.25,2016,0.7295575540864875,285.2303,0.0,0.7,-0.77,-16.4,-124.2,-11.536249,-88.42191
52.3,104.2833333,427.25,2016,0.2802306751992159,295.30023,0.0,1.1,-0.43,-12.4,-103.6,-9.495384,-70.64576
52.3,104.2833333,427.25,2016,-0.23030567023061196,295.5241,0.0,0.7,-1.76,-10.9,-82.7,-9.038141,-66.663124
52.3,104.2833333,427.25,2016,-0.6932812268869771,291.53262,0.0,1.2,-1.65,-12.1,-89.8,-10.391283,-78.449135
52.3,104.2833333,427.25,2016,-0.9634705485641486,281.7547,6.515779e-05,2.0,0.61,-14.6,-109.1,-13.015783,-101.308815
52.3,104.2833333,427.25,2016,-0.970063921851507,278.09888,3.4144956e-05,-0.4,0.41,-27.5,-202.8,-12.733259,-98.848
52.3,104.2833333,427.25,2016,-0.7116566222817751,266.15433,0.0,-0.2,-0.16,-27.8,-210.5,-18.73318,-151.10796
52.3,104.2833333,427.25,2016,-0.27195815753410524,254.54556,4.3128384e-06,0.5,0.48,-26.4,-201.1,-20.695978,-168.20415
52.3,104.2833333,427.25,2012,-0.27195815753410524,256.0939,0.0,-1.0,0.17,-35.1,-262.7,-20.874414,-169.75835
52.3,104.2833333,427.25,2017,0.9510565162951535,260.47137,0.0,1.5,0.74,-17.6,-126.8,-19.090052,-154.21635
52.3,104.2833333,427.25,2017,0.9760105506323683,270.12485,0.0,-0.3,1.73,-20.9,-152.0,-16.212767,-129.15489
52.3,104.2833333,427.25,2017,0.2386727660059501,256.59677,0.0,0.3,0.48,-30.3,-230.6,-20.948763,-170.40593
52.3,104.2833333,427.25,2017,0.6994583270516471,260.36813,0.0,-0.1,1.0,-25.9,-194.9,-20.339106,-165.09575
47.54260867,7.58371693,304.73438,2004,0.2386727660059501,274.69434,0.0,-2.2,-0.29,-11.9,-88.50962751,-11.105028,-84.66593
47.54260867,7.58371693,304.73438,2004,0.6994583270516471,276.20032,0.0,2.0,-0.14,-9.88,-66.74413536,-10.07902,-75.72929
47.54260867,7.58371693,304.73438,2004,0.9562348265919056,279.2048,0.0,0.7,1.02,-9.69,-71.5587575,-8.540007,-62.32432
47.54260867,7.58371693,304.73438,2004,0.9721181966290613,284.02167,0.0001690366,-1.5,1.15,-6.1,-40.66799847,-7.027016,-49.146008
47.54260867,7.58371693,304.73438,2004,0.7295575540864875,288.99155,3.2743297e-05,1.7,0.19,-7.01,-50.25006643,-7.2686486,-51.250652
47.54260867,7.58371693,304.73438,2004,0.2802306751992159,283.889,0.00010311205,-1.4,-0.89,-7.21,-53.83051048,-6.3541627,-43.28538
47.54260867,7.58371693,304.73438,2004,-0.23030567023061196,294.9553,0.00014510812,-0.8,1.13,-5.49,-34.72560691,-4.811853,-29.80186
47.54260867,7.58371693,304.73438,2004,-0.6932812268869771,292.1178,0.0,-0.5,-0.48,-4.8,-31.50057387,-5.774245,-38.234234
47.54260867,7.58371693,304.73438,2004,-0.9634705485641486,289.50723,0.0,-0.6,0.38,-4.92,-31.38678091,-6.6441216,-45.810955
47.54260867,7.58371693,304.73438,2004,-0.970063921851507,282.97815,7.0730985e-06,-0.1,-1.1,-10.75,-76.42100974,-8.328114,-60.47871
47.54260867,7.58371693,304.73438,2004,-0.7116566222817751,282.98523,0.0,-1.1,0.73,-10.49,-75.39648751,-8.205439,-59.4102
47.54260867,7.58371693,304.73438,2004,-0.27195815753410524,279.3189,3.385527e-05,-1.3,1.21,-13.22,-98.71358212,-9.774191,-73.074196
47.54260867,7.58371693,304.73438,2005,0.2386727660059501,279.46838,0.00014786229,0.6,1.52,-6.66,-42.77138547,-8.911749,-65.56223
47.54260867,7.58371693,304.73438,2005,0.6994583270516471,280.56467,3.187112e-05,-5.2,-0.06,-15.78,-115.1328526,-8.212873,-59.474957
47.54260867,7.58371693,304.73438,2005,0.9510565162951535,280.88824,3.2876374e-05,0.5,-1.83,-8.02,-59.70485452,-8.209156,-59.442577
47.54260867,7.58371693,304.73438,2005,0.9760105506323683,288.3,0.0,-1.0,-0.3,-8.51,-58.19910378,-7.6032166,-54.164776
47.54260867,7.58371693,304.73438,2005,0.741222010848596,293.8865,0.0,-1.3,-1.25,-6.95,-48.05079866,-6.6701436,-46.03761
