Lat,Lon,Alt,Year,JulianDay_Sin,Precip,O18 A,H2 A,O18 P,H2 P
52.3,104.2833333,427.25,2011.0,0.29671281927349075,0.0,-14.0,-111.2,-17.649160385131836,-136.73338317871094
52.3,104.2833333,427.25,2011.0,-0.2135209154397959,2.2211607e-05,-9.7,-74.1,-18.376150131225586,-142.87474060058594
52.3,104.2833333,427.25,2011.0,-0.680773409477016,4.754567e-05,-14.2,-101.4,-14.529868125915527,-110.38268280029297
52.3,104.2833333,427.25,2011.0,-0.9587178169872964,0.0,-13.1,-108.0,-12.830740928649902,-96.02904510498047
52.3,104.2833333,427.25,2011.0,-0.9741004551724206,0.0,-17.3,-127.0,-12.653220176696777,-94.52941131591797
52.3,104.2833333,427.25,2011.0,-0.7236440382959123,0.0,-30.1,-224.1,-14.521414756774902,-110.31127166748047
52.3,104.2833333,427.25,2011.0,-0.2884824328806098,0.0,-27.3,-208.7,-18.494497299194336,-143.87449645996094
52.3,104.2833333,427.25,2012.0,0.2386727660059501,5.3495005e-06,-29.0,-218.7,-17.513906478881836,-135.59080505371094
52.3,104.2833333,427.25,2012.0,0.6994583270516471,1.175598e-05,-26.4,-207.4,-18.376150131225586,-142.87474060058594
52.3,104.2833333,427.25,2012.0,0.2802306751992159,2.3862134e-05,-10.0,-91.8,-17.294118881225586,-133.73411560058594
52.3,104.2833333,427.25,2012.0,-0.23030567023061196,0.0,-13.0,-100.8,-18.460683822631836,-143.58885192871094
52.3,104.2833333,427.25,2012.0,-0.6932812268869771,2.9586212e-05,-11.0,-87.1,-14.453787803649902,-109.73998260498047
52.3,104.2833333,427.25,2012.0,-0.9634705485641486,1.6699816e-05,-15.0,-107.9,-12.670126914978027,-94.67223358154297
52.3,104.2833333,427.25,2012.0,-0.970063921851507,0.0,-29.9,-225.5,-12.619406700134277,-94.24376678466797
52.3,104.2833333,427.25,2012.0,-0.7116566222817751,0.0,-22.3,-165.9,-14.487601280212402,-110.02562713623047
52.3,104.2833333,427.25,2013.0,0.2386727660059501,0.0,-29.2,-226.2,-17.513906478881836,-135.59080505371094
52.3,104.2833333,427.25,2013.0,0.6994583270516471,0.0,-30.7,-251.3,-18.579030990600586,-144.58860778808594
52.3,104.2833333,427.25,2013.0,0.9510565162951535,0.0,-21.8,-169.2,-19.035512924194336,-148.44480895996094
52.3,104.2833333,427.25,2013.0,0.9760105506323683,0.0,-12.6,-86.7,-19.018606185913086,-148.30198669433594
52.3,104.2833333,427.25,2013.0,0.741222010848596,0.0,-12.8,-103.1,-18.765005111694336,-146.15965270996094
52.3,104.2833333,427.25,2013.0,0.29671281927349075,0.0,-12.7,-99.7,-17.53926658630371,-135.80503845214844
52.3,104.2833333,427.25,2013.0,-0.2135209154397959,0.0,-12.2,-103.6,-18.31697654724121,-142.37486267089844
52.3,104.2833333,427.25,2013.0,-0.680773409477016,0.0,-10.9,-86.0,-14.572134971618652,-110.73973846435547
52.3,104.2833333,427.25,2013.0,-0.9587178169872964,0.0,-15.7,-117.2,-12.661673545837402,-94.60082244873047
52.3,104.2833333,427.25,2013.0,-0.9741004551724206,0.0,-16.3,-120.7,-12.475699424743652,-93.02977752685547
52.3,104.2833333,427.25,2014.0,-0.2884824328806098,1.1362139e-05,-29.6,-230.5,-18.04646873474121,-140.08970642089844
52.3,104.2833333,427.25,2015.0,0.2386727660059501,0.0,-27.6,-215.2,-17.35329246520996,-134.23399353027344
52.3,104.2833333,427.25,2015.0,0.6994583270516471,0.0,-25.9,-211.2,-18.70583152770996,-145.65977478027344
52.3,104.2833333,427.25,2015.0,0.9510565162951535,0.0,-21.7,-175.3,-18.832632064819336,-146.73094177246094
52.3,104.2833333,427.25,2015.0,0.9760105506323683,0.0,-15.3,-112.3,-18.80727195739746,-146.51670837402344
52.3,104.2833333,427.25,2015.0,0.741222010848596,0.0,-10.7,-84.6,-18.815725326538086,-146.58811950683594
52.3,104.2833333,427.25,2015.0,0.29671281927349075,0.0,-14.3,-107.2,-17.40401268005371,-134.66246032714844
52.3,104.2833333,427.25,2015.0,-0.2135209154397959,0.00010476876,-9.4,-61.8,-16.96443748474121,-130.94908142089844
52.3,104.2833333,427.25,2015.0,-0.680773409477016,5.4737215e-05,-12.1,-85.6,-14.107199668884277,-106.81212615966797
52.3,104.2833333,427.25,2015.0,-0.9587178169872964,0.0,-16.3,-127.3,-12.475699424743652,-93.02977752685547
52.3,104.2833333,427.25,2015.0,-0.9741004551724206,0.0,-20.7,-158.7,-12.289725303649902,-91.45873260498047
52.3,104.2833333,427.25,2015.0,-0.7236440382959123,0.0,-21.3,-169.8,-14.141013145446777,-107.09777069091797
52.3,104.2833333,427.25,2015.0,-0.2884824328806098,0.0,-25.5,-201.8,-17.99574851989746,-139.66123962402344
52.3,104.2833333,427.25,2016.0,0.2386727660059501,0.0,-33.8,-269.6,-17.28566551208496,-133.66270446777344
52.3,104.2833333,427.25,2016.0,0.6994583270516471,0.0,-26.1,-209.1,-18.68892478942871,-145.51695251464844
52.3,104.2833333,427.25,2016.0,0.9562348265919056,0.0,-26.0,-202.9,-18.70583152770996,-145.65977478027344
52.3,104.2833333,427.25,2016.0,0.9721181966290613,0.0,-12.5,-102.1,-18.68892478942871,-145.51695251464844
52.3,104.2833333,427.25,2016.0,0.7295575540864875,0.0,-16.4,-124.2,-18.73964500427246,-145.94541931152344
52.3,104.2833333,427.25,2016.0,0.2802306751992159,0.0,-12.4,-103.6,-17.327932357788086,-134.01976013183594
52.3,104.2833333,427.25,2016.0,-0.23030567023061196,0.0,-10.9,-82.7,-17.92812156677246,-139.08995056152344
52.3,104.2833333,427.25,2016.0,-0.6932812268869771,0.0,-12.1,-89.8,-14.200186729431152,-107.59764862060547
52.3,104.2833333,427.25,2016.0,-0.9634705485641486,6.515779e-05,-14.6,-109.1,-12.213644981384277,-90.81603240966797
52.3,104.2833333,427.25,2016.0,-0.970063921851507,3.4144956e-05,-27.5,-202.8,-12.205191612243652,-90.74462127685547
52.3,104.2833333,427.25,2016.0,-0.7116566222817751,0.0,-27.8,-210.5,-14.107199668884277,-106.81212615966797
52.3,104.2833333,427.25,2016.0,-0.27195815753410524,4.3128384e-06,-26.4,-201.1,-17.86049461364746,-138.51866149902344
52.3,104.2833333,427.25,2012.0,-0.27195815753410524,0.0,-35.1,-262.7,-18.426870346069336,-143.30320739746094
52.3,104.2833333,427.25,2017.0,0.9510565162951535,0.0,-17.6,-126.8,-18.579030990600586,-144.58860778808594
52.3,104.2833333,427.25,2017.0,0.9760105506323683,0.0,-20.9,-152.0,-18.55367088317871,-144.37437438964844
52.3,104.2833333,427.25,2017.0,0.2386727660059501,0.0,-30.3,-230.6,-17.21803855895996,-133.09141540527344
52.3,104.2833333,427.25,2017.0,0.6994583270516471,0.0,-25.9,-194.9,-18.629751205444336,-145.01707458496094
47.54260867,7.58371693,304.73438,2004.0,0.2386727660059501,0.0,-11.9,-88.50962751,-9.132391929626465,-64.78667449951172
47.54260867,7.58371693,304.73438,2004.0,0.6994583270516471,0.0,-9.88,-66.74413536,-9.29300594329834,-66.14348602294922
47.54260867,7.58371693,304.73438,2004.0,0.9562348265919056,0.0,-9.69,-71.5587575,-9.542380332946777,-68.25011444091797
47.54260867,7.58371693,304.73438,2004.0,0.9721181966290613,0.0001690366,-6.1,-40.66799847,-8.388495445251465,-58.50249481201172
47.54260867,7.58371693,304.73438,2004.0,0.7295575540864875,3.2743297e-05,-7.01,-50.25006643,-9.085898399353027,-64.39391326904297
47.54260867,7.58371693,304.73438,2004.0,0.2802306751992159,0.00010311205,-7.21,-53.83051048,-8.511069297790527,-59.53795623779297
