Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Precip,ENSO,NAO,O18,H2,O18 P,H2 P
52.3,104.2833333,427.25,2016,-0.7116566222817751,0,0,0,1,0,0.0,-0.2,-0.16,-27.8,-210.5,-14.288599,-114.96341
52.3,104.2833333,427.25,2016,-0.27195815753410524,0,0,0,1,0,4.3128384e-06,0.5,0.48,-26.4,-201.1,-21.369715,-179.19144
52.3,104.2833333,427.25,2012,-0.27195815753410524,0,0,0,1,0,0.0,-1.0,0.17,-35.1,-262.7,-18.718744,-155.14627
52.3,104.2833333,427.25,2017,0.9510565162951535,0,0,0,1,0,0.0,1.5,0.74,-17.6,-126.8,-18.354013,-151.83804
52.3,104.2833333,427.25,2017,0.9760105506323683,0,0,0,1,0,0.0,-0.3,1.73,-20.9,-152.0,-16.156733,-131.90799
52.3,104.2833333,427.25,2017,0.2386727660059501,0,0,0,1,0,0.0,0.3,0.48,-30.3,-230.6,-19.07458,-158.37381
52.3,104.2833333,427.25,2017,0.6994583270516471,0,0,0,1,0,0.0,-0.1,1.0,-25.9,-194.9,-18.220575,-150.62772
47.54260867,7.58371693,304.73438,2004,0.2386727660059501,0,0,1,0,0,0.0,-2.2,-0.29,-11.9,-88.50962751,-11.980984,-91.528595
47.54260867,7.58371693,304.73438,2004,0.6994583270516471,0,0,1,0,0,0.0,2.0,-0.14,-9.88,-66.74413536,-9.965204,-75.74881
47.54260867,7.58371693,304.73438,2004,0.9562348265919056,0,0,1,0,0,0.0,0.7,1.02,-9.69,-71.5587575,-8.773157,-64.936554
47.54260867,7.58371693,304.73438,2004,0.9721181966290613,0,0,1,0,0,0.0001690366,-1.5,1.15,-6.1,-40.66799847,-7.5255113,-53.619995
47.54260867,7.58371693,304.73438,2004,0.7295575540864875,0,0,1,0,0,3.2743297e-05,1.7,0.19,-7.01,-50.25006643,-9.649401,-72.88437
47.54260867,7.58371693,304.73438,2004,0.2802306751992159,0,0,1,0,0,0.00010311205,-1.4,-0.89,-7.21,-53.83051048,-6.8436475,-43.575806
47.54260867,7.58371693,304.73438,2004,-0.23030567023061196,0,0,1,0,0,0.00014510812,-0.8,1.13,-5.49,-34.72560691,-5.7765355,-35.92492
47.54260867,7.58371693,304.73438,2004,-0.6932812268869771,0,0,1,0,0,0.0,-0.5,-0.48,-4.8,-31.50057387,-6.3806586,-40.0131
