Lat,Lon,Alt,Year,JulianDay_Sin,O18 A,H2 A,O18 P,H2 P
69.1,-105.1166667,27.0,1989.0,0.9510565162951535,-33.61,-251.1,-26.373388290405273,-216.28302001953125
69.1,-105.1166667,27.0,1989.0,0.9760105506323683,-32.22,-236.2,-26.412155151367188,-216.61822509765625
69.1,-105.1166667,27.0,1989.0,0.741222010848596,-25.12,-188.6,-26.038774490356445,-213.36209106445312
69.1,-105.1166667,27.0,1989.0,0.29671281927349075,-19.12,-144.5,-24.914125442504883,-203.6747589111328
69.1,-105.1166667,27.0,1989.0,-0.2135209154397959,-16.47,-126.9,-23.561731338500977,-192.07186889648438
69.1,-105.1166667,27.0,1989.0,-0.680773409477016,-16.53,-127.9,-22.297090530395508,-181.22743225097656
69.1,-105.1166667,27.0,1989.0,-0.9587178169872964,-18.92,-155.4,-20.10430335998535,-162.08834838867188
69.1,-105.1166667,27.0,1989.0,-0.9741004551724206,-24.96,-188.7,-19.951345443725586,-160.6778564453125
69.1,-105.1166667,27.0,1989.0,-0.7236440382959123,-33.2,-254.6,-22.084789276123047,-179.4452667236328
69.1,-105.1166667,27.0,1989.0,-0.2884824328806098,-34.4,-263.8,-23.393115997314453,-190.6126708984375
69.1,-105.1166667,27.0,1990.0,0.2386727660059501,-35.07,-268.0,-24.82381248474121,-202.89434814453125
69.1,-105.1166667,27.0,1990.0,0.6994583270516471,-32.49,-250.8,-26.021081924438477,-213.20826721191406
69.1,-105.1166667,27.0,1990.0,0.9510565162951535,-26.28,-200.1,-26.430147171020508,-216.78158569335938
69.1,-105.1166667,27.0,1990.0,0.9760105506323683,-27.89,-217.4,-26.45445442199707,-216.9940643310547
69.1,-105.1166667,27.0,1990.0,0.741222010848596,-33.39,-266.2,-26.10407257080078,-213.92398071289062
69.1,-105.1166667,27.0,1990.0,0.29671281927349075,-23.17,-176.8,-24.98801612854004,-204.32101440429688
69.1,-105.1166667,27.0,1990.0,-0.2135209154397959,-15.72,-126.3,-23.61598014831543,-192.54544067382812
69.1,-105.1166667,27.0,1990.0,-0.680773409477016,-20.87,-158.2,-22.339824676513672,-181.6064910888672
69.1,-105.1166667,27.0,1990.0,-0.9587178169872964,-19.14,-147.7,-20.147958755493164,-162.51312255859375
69.1,-105.1166667,27.0,1990.0,-0.9741004551724206,-25.71,-194.6,-19.988788604736328,-161.06712341308594
69.1,-105.1166667,27.0,1990.0,-0.7236440382959123,-27.01,-200.7,-22.132884979248047,-179.84014892578125
69.1,-105.1166667,27.0,1990.0,-0.2884824328806098,-31.2,-240.8,-23.436342239379883,-191.0182342529297
69.1,-105.1166667,27.0,1991.0,0.2386727660059501,-35.15,-274.4,-24.89468002319336,-203.5127716064453
69.1,-105.1166667,27.0,1991.0,0.6994583270516471,-29.42,-226.1,-26.084033966064453,-213.74200439453125
69.1,-105.1166667,27.0,1991.0,0.9510565162951535,-30.45,-232.8,-26.47435188293457,-217.1879425048828
