Lat,Lon,Date,Alt,Precip (mm),Temp (°C),O18 (‰),H2 (‰),KPN_A,KPN_B,KPN_C,KPN_D,KPN_E
33.65694444,73.26611111,2015-03-14 23:00:00+00:00,575.0,235.8,16.247949218750023,-7.53,-42.4,0,0,1,0,0
39.95,32.88,2005-06-14 22:00:00+00:00,902.0,37.1,19.5,-5.05,-29.49,0,1,0,0,0
-22.71,-46.46583333,1996-03-03 23:00:00+00:00,545.0,4.8,21.535577392578148,-3.0,-8.8,0,0,1,0,0
52.1,5.18,2009-02-28 23:00:00+00:00,2.0,20.6,3.3,-4.3,-29.32,0,0,1,0,0
47.81666667,13.71777778,2020-04-30 05:00:00+00:00,1618.0,8.9,10.997674560546898,-17.301,-127.61,0,0,0,1,0
-45.35,-72.07,1993-05-14 22:00:00+00:00,310.0,125.0,4.0,-13.06,-97.0,0,0,1,0,0
14.52,121.0,1965-10-14 22:00:00+00:00,14.0,60.0,27.2,-6.0,-32.0,1,0,0,0,0
30.72916667,78.44666667,2005-11-14 23:00:00+00:00,1140.0,0.0,12.139794921875025,-12.5,-90.0,0,0,1,0,0
0.453055556,33.195,2015-11-14 23:00:00+00:00,1181.0,268.9,22.4,-3.6,-14.5,1,0,0,0,0
13.07176111,-59.48972222,1965-02-14 23:00:00+00:00,50.0,60.0,24.8,0.3,15.0,1,0,0,0,0
36.15,-5.35,2016-01-15 00:00:00+00:00,5.0,115.0,14.055871582031273,-2.714,-9.4,0,0,1,0,0
41.78,-87.75,1974-05-14 22:00:00+00:00,189.0,152.0,13.8,-9.72,-67.7,0,0,0,1,0
22.79777778,88.37166667,2006-10-14 22:00:00+00:00,6.0,244.3,26.3,-7.6,-58.0,1,0,0,0,0
7.954166667,38.29722222,1995-07-14 22:00:00+00:00,2040.0,31.0,15.698388671875025,-2.7,-3.1,0,0,1,0,0
-75.58333333,-20.56666667,1998-01-14 23:00:00+00:00,30.0,8.0,-4.8,-15.73,-118.9,0,0,0,0,1
31.95765,35.84828333,2001-02-14 23:00:00+00:00,900.0,58.8,9.908746337890648,-5.05,-15.6,0,0,1,0,0
52.141,-106.6244,1998-12-14 23:00:00+00:00,502.0,11.0,-11.1,-26.48,-204.51,0,0,0,1,0
-14.67,17.7,1981-04-14 22:00:00+00:00,1348.0,0.0,18.764794921875023,-3.1,-25.5,0,0,1,0,0
56.93604,24.09549,2020-10-14 22:00:00+00:00,2.93,76.1,10.5,-10.7,-73.8,0,0,0,1,0
-6.18,106.83,1975-03-14 23:00:00+00:00,8.0,184.0,26.7,-6.23,-39.2,1,0,0,0,0
-33.45,-70.7,1973-06-14 22:00:00+00:00,520.0,32.0,8.1,-9.32,-60.3,0,0,1,0,0
49.881,-119.5494,2010-07-05 22:00:00+00:00,500.0,54.8,20.2,-7.8,-66.0,0,1,0,0,0
-27.43,153.08,2008-01-14 23:00:00+00:00,4.0,137.0,24.9,-5.15,-30.1,0,0,1,0,0
-34.05,115.0249,2018-04-19 07:00:00+00:00,70.0,4.0,18.8754821777344,-2.32,-1.7,0,0,1,0,0
48.24861111,16.35638889,1983-06-14 22:00:00+00:00,198.0,108.0,18.2,-7.75,-58.1,0,0,0,1,0
51.6,-1.1,2011-04-14 22:00:00+00:00,48.0,2.0,12.1,0.42,9.8,0,0,1,0,0
46.60305556,13.67138889,2002-08-05 22:00:00+00:00,2156.0,11.1,17.747003173828148,-11.04,-78.1,0,0,0,1,0
47.81666667,13.71777778,2020-02-14 06:00:00+00:00,1618.0,6.2,1.6103454589843975,-11.708,-81.14,0,0,0,1,0
39.28333333,-7.416666667,2002-02-14 23:00:00+00:00,597.0,28.0,11.1,-3.62,-21.0,0,0,1,0,0
9.966666667,-84.83333333,1993-07-14 22:00:00+00:00,3.0,97.0,27.5,-7.89,-53.0,1,0,0,0,0
47.47051111,21.49041944,2006-01-16 23:00:00+00:00,110.0,12.5,-5.5,-15.1,-110.4,0,0,0,1,0
-27.17,-109.43,2011-05-14 22:00:00+00:00,41.0,81.8,19.8,-1.51,1.5,1,0,0,0,0
7.47,151.85,1976-06-14 22:00:00+00:00,2.0,311.0,27.2,-7.7,-49.2,1,0,0,0,0
38.05011111,23.8675,2002-02-22 23:00:00+00:00,498.0,6.6,7.8,-3.93,-15.3,0,0,1,0,0
6.166666667,102.2833333,1994-03-14 23:00:00+00:00,7.0,560.2,26.247216796875023,-5.46,-35.2,1,0,0,0,0
4.05,114.81,2010-10-23 22:00:00+00:00,24.0,16.6,24.1,-4.86,-27.97,1,0,0,0,0
52.141,-106.6244,2001-07-14 22:00:00+00:00,502.0,52.2,19.7,-11.8,-94.0,0,0,0,1,0
76.76666667,-18.66666667,1999-10-14 22:00:00+00:00,12.0,7.0,-14.5,-24.39,-182.9,0,0,0,0,1
50.4972,9.9428,2013-06-14 22:00:00+00:00,921.0,84.4,12.1,-9.06,-63.76,0,0,0,1,0
-22.66416667,-48.06,1998-10-30 23:00:00+00:00,488.0,5.3,22.757928466796898,-1.64,-1.9,1,0,0,0,0
13.07176111,-59.48972222,1976-10-14 22:00:00+00:00,50.0,193.0,28.1,-3.59,-16.2,1,0,0,0,0
39.46666667,-6.333333333,2007-06-14 22:00:00+00:00,405.0,54.9,21.0,-4.55,-30.71,0,0,1,0,0
13.1,123.9,1993-03-14 23:00:00+00:00,150.0,165.0,26.568872070312523,-2.15,-3.3,1,0,0,0,0
51.93,-10.25,1990-10-14 22:00:00+00:00,9.0,213.0,12.2,-6.66,-44.4,0,0,1,0,0
41.02444444,40.52,2017-11-14 23:00:00+00:00,136.0,0.0,10.123132324218773,-11.32,-66.7,0,0,1,0,0
-20.67777778,139.4875,2010-10-14 22:00:00+00:00,344.0,28.2,25.9,-2.6,-7.8,0,1,0,0,0
9.357072,-75.289167,2005-12-14 23:00:00+00:00,198.0,125.7,26.8,-7.47,-46.92,1,0,0,0,0
-53.0,-70.833333,1994-10-14 22:00:00+00:00,37.0,19.0,5.3,-10.85,-81.0,0,1,0,0,0
34.57,69.21333333,1989-01-14 23:00:00+00:00,1860.0,31.0,-2.8,-9.88,-56.7,0,1,0,0,0
39.95,32.88,2000-10-14 22:00:00+00:00,902.0,21.0,12.2,-7.43,-49.05,0,1,0,0,0
50.92,5.78,1987-11-14 23:00:00+00:00,111.0,97.0,5.6,-9.38,-66.5,0,0,1,0,0
39.46666667,-6.333333333,2000-09-14 22:00:00+00:00,405.0,11.5,22.4,-3.08,-15.1,0,0,1,0,0
10.31,-85.8,1990-09-14 22:00:00+00:00,25.0,326.0,25.841241455078148,-7.52,-48.6,1,0,0,0,0
-0.411,32.526,2004-12-14 23:00:00+00:00,1240.0,12.201794609427452,21.600854492187523,3.46,25.7,1,0,0,0,0
18.19,79.44,1977-07-14 22:00:00+00:00,259.0,286.0,26.016748046875023,-2.16,-13.7,1,0,0,0,0
22.31666667,114.1666667,2022-08-14 22:00:00+00:00,66.0,574.1,28.2,-9.76,-66.5,0,0,1,0,0
14.64,121.04,2021-06-14 22:00:00+00:00,42.0,226.7,29.2,-9.1,-62.9,1,0,0,0,0
-30.08,-51.18,1968-03-14 23:00:00+00:00,7.0,176.0,22.0,-8.63,-46.8,0,0,1,0,0
-1.68218,29.22716,2017-02-15 00:00:00+00:00,1535.0,114.2,19.012536621093773,-0.555,13.5,1,0,0,0,0
-0.37,-78.55,1993-11-14 23:00:00+00:00,3058.0,102.0,11.7,-13.32,-94.7,0,0,1,0,0
36.15,-5.35,2020-11-14 23:00:00+00:00,5.0,74.8,17.5,-4.66,-27.2,0,0,1,0,0
28.46344137,-16.2553441,2002-04-14 22:00:00+00:00,35.0,29.7,19.8,-3.03,-18.6,0,1,0,0,0
19.72,-155.07,1968-08-14 22:00:00+00:00,9.0,244.0,24.7,-2.33,-4.5,1,0,0,0,0
51.3,3.75,2004-04-04 22:00:00+00:00,2.0,28.0,10.6,-6.14,-43.7,0,0,1,0,0
-34.05,115.0249,2013-04-26 07:00:00+00:00,70.0,3.0,15.743798828125025,-3.47,-15.0,0,0,1,0,0
52.2914,10.4464,2010-02-14 23:00:00+00:00,81.0,22.9,-0.3,-12.32,-94.7,0,0,1,0,0
-46.42,168.32,1988-08-14 22:00:00+00:00,2.0,88.0,6.8,-7.29,-47.3,0,0,1,0,0
