Lat,Lon,Alt,Date,H2,O18,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E
-20.299175,57.47873889,402.0,2021-01-14 23:00:00+00:00,6.9,-0.66,1,0,0,0,0
39.48056611,-0.366386255,11.0,2000-06-14 22:00:00+00:00,-19.0,-3.07,0,1,0,0,0
66.49686111,25.75518056,107.0,2011-01-14 23:00:00+00:00,-156.2,-20.63,0,0,0,1,0
-0.331666667,31.76111111,1306.0,2018-03-14 23:00:00+00:00,-11.9,-3.32,1,0,0,0,0
52.2914,10.4464,81.0,1996-02-14 23:00:00+00:00,-59.4,-6.51,0,0,1,0,0
46.96666667,28.9,125.0,2018-10-14 22:00:00+00:00,-96.7,-12.61,0,0,0,1,0
46.095,14.597,282.0,2008-07-14 22:00:00+00:00,-29.5,-4.78,0,0,1,0,0
-2.53,140.72,3.0,1973-03-14 23:00:00+00:00,-49.2,-7.21,1,0,0,0,0
44.42,8.85,2.0,1964-01-14 23:00:00+00:00,-22.4,-4.8,0,0,1,0,0
49.7478,6.6581,265.0,1985-01-14 23:00:00+00:00,-65.5,-8.78,0,0,1,0,0
32.36666667,-6.4,468.0,2001-03-27 22:00:00+00:00,-4.58,-2.1,0,0,1,0,0
47.8008,11.0108,977.0,1976-09-14 22:00:00+00:00,-87.2,-12.54,0,0,0,1,0
48.24861111,16.35638889,198.0,1976-01-14 23:00:00+00:00,-52.4,-7.52,0,0,0,1,0
39.95,32.88,902.0,2009-12-14 23:00:00+00:00,-44.63,-6.62,0,1,0,0,0
68.5,112.4333333,220.0,1996-07-14 22:00:00+00:00,-134.8,-16.6,0,0,0,1,0
76.23333333,-119.2833333,15.0,1992-09-14 22:00:00+00:00,-220.8,-28.96,0,0,0,0,1
36.18333333,37.21666667,410.0,1990-04-14 22:00:00+00:00,-14.0,-2.0,0,1,0,0,0
2.883333333,101.7833306,26.0,2018-02-14 23:00:00+00:00,-29.8,-5.05,1,0,0,0,0
40.2778,-111.7148,1401.0,2016-09-14 22:00:00+00:00,-107.3,-15.66,0,1,0,0,0
81.6,-16.67,35.0,1962-01-14 23:00:00+00:00,-191.9,-25.6,0,0,0,0,1
-6.18,106.83,8.0,1983-08-14 22:00:00+00:00,-3.7,-2.47,1,0,0,0,0
28.50444444,-16.30333333,580.0,2010-05-09 22:00:00+00:00,6.0,-1.11,0,0,1,0,0
47.4,28.49166667,78.0,2010-12-14 23:00:00+00:00,-122.667,-16.6966,0,0,0,1,0
-7.92,-14.42,15.0,2018-06-14 22:00:00+00:00,13.1,0.15,0,1,0,0,0
64.13,-21.93,14.0,2013-06-14 22:00:00+00:00,-50.2,-6.75,0,0,1,0,0
9.357072,-75.289167,198.0,2017-08-14 22:00:00+00:00,-38.2,-6.27,1,0,0,0,0
13.03916667,-86.31138889,1200.0,2004-07-14 22:00:00+00:00,-17.2,-2.9,1,0,0,0,0
47.47051111,21.49041944,110.0,2002-02-09 23:00:00+00:00,-57.0,-6.33,0,0,0,1,0
-37.82,144.97,28.0,2009-08-14 22:00:00+00:00,-19.4,-3.75,0,0,1,0,0
-17.83,31.02,1471.0,1971-09-14 22:00:00+00:00,22.0,1.19,0,0,1,0,0
40.95,15.58333333,646.0,2003-08-14 22:00:00+00:00,-34.0,-5.6,0,0,1,0,0
-40.68,144.69,90.0,1981-09-14 22:00:00+00:00,-30.4,-5.28,0,0,1,0,0
47.7,27.88333333,231.0,2016-07-14 22:00:00+00:00,-36.2,-5.64,0,0,0,1,0
13.50277778,-88.51805556,1020.0,1998-10-14 22:00:00+00:00,-64.0,-9.4,1,0,0,0,0
41.38333333,12.91666667,5.0,2001-11-18 23:00:00+00:00,-26.78,-5.59,0,0,1,0,0
47.6772,9.19,443.0,2012-12-14 23:00:00+00:00,-94.27,-12.4,0,0,1,0,0
39.95,32.88,902.0,1988-07-14 22:00:00+00:00,-34.1,-5.57,0,1,0,0,0
38.72,-27.33,500.0,1999-01-14 23:00:00+00:00,-13.4,-3.79,0,0,1,0,0
51.88,-176.65,4.0,1966-09-14 22:00:00+00:00,-69.5,-9.48,0,0,0,0,1
-23.8,133.88,546.0,1985-08-14 22:00:00+00:00,11.8,1.44,0,1,0,0,0
6.2,100.4,5.0,2014-07-14 22:00:00+00:00,-29.6,-5.15,1,0,0,0,0
46.095,14.597,282.0,1983-11-14 23:00:00+00:00,-40.2,-6.19,0,0,0,1,0
13.73,100.5,2.0,2021-11-14 23:00:00+00:00,-18.3,-1.16,1,0,0,0,0
39.95,32.88,855.0,2003-01-05 23:00:00+00:00,-72.4,-9.95,0,1,0,0,0
-36.79744444,-73.03333333,11.0,1990-06-14 22:00:00+00:00,-16.0,-2.8,0,0,1,0,0
25.57,91.88,1598.0,1976-04-14 22:00:00+00:00,-4.8,-2.14,0,0,1,0,0
-20.26805556,57.39833333,111.0,1992-03-14 23:00:00+00:00,-33.8,-5.65,1,0,0,0,0
-0.166666667,-78.48333333,2789.0,2006-06-14 22:00:00+00:00,-135.6,-18.24,0,0,1,0,0
41.66056063,-1.004162565,249.0,2014-06-14 22:00:00+00:00,-29.3,-4.82,0,1,0,0,0
13.07176111,-59.48972222,50.0,1988-04-14 22:00:00+00:00,14.9,0.15,1,0,0,0,0
-5.22,145.8,4.0,1976-10-14 22:00:00+00:00,-25.6,-5.09,1,0,0,0,0
19.53,-96.91,1390.0,2017-07-14 22:00:00+00:00,-39.5,-6.43,0,0,1,0,0
43.97455,10.27266,660.0,2019-02-14 23:00:00+00:00,-37.78,-5.27,0,0,1,0,0
-12.43,130.87,26.0,1965-10-14 22:00:00+00:00,5.3,-0.5,1,0,0,0,0
37.77,-25.65,175.0,2018-12-14 23:00:00+00:00,-28.4,-5.04,0,0,1,0,0
26.87472222,80.93888889,128.0,2004-08-14 22:00:00+00:00,-56.5,-7.5,0,0,1,0,0
47.59583333,7.594444444,249.0,1986-09-14 22:00:00+00:00,-41.1,-5.67,0,0,1,0,0
40.41195035,-3.67806112,667.0,1998-05-14 22:00:00+00:00,-28.9,-5.18,0,1,0,0,0
32.97,35.5,964.0,1976-10-14 22:00:00+00:00,-28.4,-5.82,0,0,1,0,0
-5.22,145.8,4.0,1981-11-14 23:00:00+00:00,-57.4,-8.87,1,0,0,0,0
43.365884,-8.421399,58.0,2010-02-14 23:00:00+00:00,-35.4,-5.83,0,0,1,0,0
10.00036389,-84.10913333,1173.0,2018-11-01 23:00:00+00:00,-20.37389333,-4.177015667,1,0,0,0,0
47.6772,9.19,443.0,2010-11-14 23:00:00+00:00,-118.46,-15.51,0,0,1,0,0
48.8281,9.2,314.0,2002-09-14 22:00:00+00:00,-81.5,-11.35,0,0,1,0,0
-33.95833333,18.46111111,105.0,1999-04-14 22:00:00+00:00,-24.0,-5.44,0,0,1,0,0
64.13,-21.93,14.0,1999-07-14 22:00:00+00:00,-68.8,-9.095,0,0,1,0,0
51.88,-176.65,4.0,1962-05-14 22:00:00+00:00,-76.2,-9.8,0,0,0,0,1
-0.37,-78.55,3058.0,1979-12-14 23:00:00+00:00,-64.4,-9.39,0,0,1,0,0
37.77,-25.65,175.0,2004-08-14 22:00:00+00:00,0.1,-0.67,0,0,1,0,0
7.533333333,80.45,139.0,1993-09-14 22:00:00+00:00,-20.0,-2.8,1,0,0,0,0
14.93894444,-88.02145,652.0,2009-11-14 23:00:00+00:00,2.8,-2.55,1,0,0,0,0
58.1,6.57,13.0,1963-02-14 23:00:00+00:00,-64.5,-9.1,0,0,1,0,0
45.32,-75.67,114.0,1985-04-14 22:00:00+00:00,-91.4,-13.15,0,0,0,1,0
10.5,-85.53,22.0,1990-12-14 23:00:00+00:00,-20.0,-3.06,1,0,0,0,0
46.57248471,8.332719621,1950.0,2002-07-14 22:00:00+00:00,-59.0,-9.63,0,0,0,1,0
47.81666667,13.71777778,1618.0,2002-07-15 22:00:00+00:00,-47.5,-7.66,0,0,0,1,0
-0.743055556,-90.30222222,2.0,2014-05-01 04:00:00+00:00,-23.65222053,-4.10655882,1,0,0,0,0
45.68,126.62,172.0,1996-03-14 23:00:00+00:00,-126.5,-17.81,0,0,0,1,0
51.88,-176.65,4.0,1963-02-14 23:00:00+00:00,-54.5,-7.1,0,0,0,0,1
0.604166667,-77.81944444,2860.0,2020-09-14 22:00:00+00:00,-44.1,-6.78,0,0,0,0,1
-0.92,-75.4,180.0,2020-08-14 22:00:00+00:00,-11.9,-2.97,1,0,0,0,0
-30.08,-51.18,7.0,1981-09-14 22:00:00+00:00,-8.9,-3.27,0,0,1,0,0
53.23,6.55,1.0,2004-02-14 23:00:00+00:00,-55.98,-8.51,0,0,1,0,0
-22.71,-46.46583333,545.0,1997-01-12 23:00:00+00:00,-57.6,-8.6,0,0,1,0,0
46.39864119,6.233803787,436.0,2005-05-14 22:00:00+00:00,-52.99664009,-7.57,0,0,1,0,0
-2.53,140.72,3.0,1964-05-14 22:00:00+00:00,-39.7,-6.2,1,0,0,0,0
45.06767778,22.79993889,368.0,2018-02-14 23:00:00+00:00,-91.0,-13.17,0,0,0,1,0
4.466666667,101.3833333,1430.0,2018-03-14 23:00:00+00:00,-20.3,-4.59,1,0,0,0,0
13.1,123.9,150.0,1991-12-14 23:00:00+00:00,-7.7,-2.82,1,0,0,0,0
-15.85,-47.93,1061.0,1972-10-14 22:00:00+00:00,-11.8,-3.2,1,0,0,0,0
45.32,-75.67,114.0,1979-12-14 23:00:00+00:00,-101.3,-14.32,0,0,0,1,0
-17.83,31.02,1471.0,1963-02-14 23:00:00+00:00,-84.2,-11.0,0,0,1,0,0
51.93,-10.25,9.0,2016-12-14 23:00:00+00:00,-26.3,-4.61,0,0,1,0,0
51.57,4.93,11.0,1984-10-14 22:00:00+00:00,-44.2,-6.6,0,0,1,0,0
-22.71,-46.46583333,545.0,1998-02-21 23:00:00+00:00,-38.76,-5.34,0,0,1,0,0
4.377083333,18.56247222,363.0,2011-05-14 22:00:00+00:00,12.69327946,-0.355495964,1,0,0,0,0
-65.07944444,-63.9775,20.0,1972-11-14 23:00:00+00:00,-86.5,-10.37,0,0,0,0,1
51.1622,14.9506,238.0,1998-04-14 22:00:00+00:00,-89.7,-12.21,0,0,0,1,0
-0.166666667,-78.48333333,2789.0,2015-07-14 22:00:00+00:00,-50.9,-7.67,0,0,1,0,0
36.15,-5.35,5.0,1981-09-14 22:00:00+00:00,-1.0,-1.43,0,0,1,0,0
36.88,30.7,49.0,2000-01-14 23:00:00+00:00,-21.7,-4.92,0,0,1,0,0
18.21,-67.14,10.0,2016-05-14 22:00:00+00:00,-5.3,-1.76,1,0,0,0,0
-7.92,-14.42,15.0,1990-11-14 23:00:00+00:00,11.2,0.62,0,1,0,0,0
44.42,8.85,2.0,1989-09-14 22:00:00+00:00,-50.7,-7.55,0,0,1,0,0
51.35,12.43,125.0,1997-01-14 23:00:00+00:00,-70.3,-9.83,0,0,1,0,0
41.64083945,-4.754446679,735.0,2001-07-14 22:00:00+00:00,-63.3,-8.36,0,1,0,0,0
37.13333333,79.93333333,1375.0,1989-07-14 22:00:00+00:00,-12.8,-3.58,0,1,0,0,0
72.58,-38.4799,3200.0,2012-06-30 11:12:00+00:00,-215.6299787,-29.59790308,0,0,0,0,1
46.49722222,28.3,156.0,2015-03-14 23:00:00+00:00,-75.5,-10.87,0,0,0,1,0
39.95,32.88,902.0,2001-10-14 22:00:00+00:00,-43.1,-5.73,0,1,0,0,0
44.13333333,6.333333333,851.0,2013-04-14 22:00:00+00:00,-48.5,-6.85,0,0,1,0,0
43.91281944,4.888775,33.0,2014-05-14 22:00:00+00:00,-20.7,-3.25,0,0,1,0,0
47.7,27.88333333,231.0,2018-07-14 22:00:00+00:00,-59.1,-8.43,0,0,0,1,0
22.31666667,114.1666667,66.0,2012-05-14 22:00:00+00:00,-29.8,-5.3,0,0,1,0,0
10.00036389,-84.10913333,1173.0,2014-05-18 22:00:00+00:00,-11.98912023,-2.7185286,1,0,0,0,0
40.8203002,0.493333172,50.0,2021-05-14 22:00:00+00:00,-9.8,-1.73,0,1,0,0,0
-3.12,-60.02,72.0,1969-06-14 22:00:00+00:00,-19.9,-2.96,1,0,0,0,0
36.88,30.7,49.0,1985-04-14 22:00:00+00:00,-61.2,-8.87,0,0,1,0,0
10.30513889,-84.81,1400.0,2004-07-13 22:00:00+00:00,-42.0,-5.4,1,0,0,0,0
-2.53,140.72,3.0,1987-02-14 23:00:00+00:00,-25.2,-3.5,1,0,0,0,0
52.2914,10.4464,81.0,1990-01-14 23:00:00+00:00,-66.1,-8.52,0,0,1,0,0
49.93333333,36.28333333,148.0,2018-06-14 22:00:00+00:00,-38.4,-4.77,0,0,0,1,0
18.21,-67.14,10.0,2016-10-14 22:00:00+00:00,-15.5,-3.49,1,0,0,0,0
44.42,8.85,2.0,1986-03-14 23:00:00+00:00,-39.0,-6.56,0,0,1,0,0
-15.6,-56.1,165.0,1984-03-14 23:00:00+00:00,-66.0,-9.6,1,0,0,0,0
-0.37,-78.55,3058.0,2008-08-14 22:00:00+00:00,-42.43,-7.38,0,0,1,0,0
36.34064444,43.12988333,242.42,2023-11-14 21:00:00+00:00,-41.47,-8.18,0,0,1,0,0
48.8281,9.2,314.0,2001-06-14 22:00:00+00:00,-18.65,-3.22,0,0,1,0,0
47.81666667,13.71777778,1618.0,2003-05-27 22:00:00+00:00,-34.4,-5.71,0,0,0,1,0
-0.694444444,-90.325,194.0,2000-05-14 22:00:00+00:00,-8.85,-2.58,1,0,0,0,0
49.0392,8.365,112.0,1982-04-14 22:00:00+00:00,-32.1,-5.58,0,0,1,0,0
49.1823,-119.559,333.0,2009-08-31 22:00:00+00:00,-100.15,-11.71,0,1,0,0,0
9.357072,-75.289167,198.0,2019-11-14 23:00:00+00:00,-15.6,-3.2,1,0,0,0,0
-46.88,37.87,26.0,2011-04-14 22:00:00+00:00,-25.29707658,-4.389305299,0,0,0,0,1
46.06666667,14.51666667,299.0,2000-10-14 22:00:00+00:00,-29.25,-4.36,0,0,1,0,0
40.2778,-111.7148,1401.0,2016-10-14 22:00:00+00:00,-49.6,-7.13,0,1,0,0,0
4.05,114.81,24.0,2011-03-20 23:00:00+00:00,-112.714,-15.679,1,0,0,0,0
