#Data produced with Piso.AI v1.2020 and downloaded on 2026-06-01.
#Please cite Nelson Basler Kahmen; PNAS 2021 Vol. 118 No. 26 e2024107118 when using these data. 
#Prediction errors: d18O +/- 1.7  d2H +/- 13
"","Site","Date","Latitude","Longitude","Elevation","d18O.Piso.AI","d2H.Piso.AI"
"81","Piso.AI.Site",1956-09-15,47.5,7.6,281,-6.4,-43
"82","Piso.AI.Site",1956-10-15,47.5,7.6,281,-9.8,-69
"83","Piso.AI.Site",1956-11-15,47.5,7.6,281,-11.8,-92
"84","Piso.AI.Site",1956-12-15,47.5,7.6,281,-10.2,-77
"85","Piso.AI.Site",1957-01-15,47.5,7.6,281,-10.2,-75
"86","Piso.AI.Site",1957-02-15,47.5,7.6,281,-9.8,-74
"87","Piso.AI.Site",1957-03-15,47.5,7.6,281,-8.1,-57
"88","Piso.AI.Site",1957-04-15,47.5,7.6,281,-8.5,-61
"89","Piso.AI.Site",1957-05-15,47.5,7.6,281,-7.7,-58
"90","Piso.AI.Site",1957-06-15,47.5,7.6,281,-6.7,-47
"91","Piso.AI.Site",1957-07-15,47.5,7.6,281,-6.5,-45
"92","Piso.AI.Site",1957-08-15,47.5,7.6,281,-6.3,-40
"93","Piso.AI.Site",1957-09-15,47.5,7.6,281,-7.4,-48
"94","Piso.AI.Site",1957-10-15,47.5,7.6,281,-8.6,-66
"95","Piso.AI.Site",1957-11-15,47.5,7.6,281,-11.6,-78
"96","Piso.AI.Site",1957-12-15,47.5,7.6,281,-12,-84
"97","Piso.AI.Site",1958-01-15,47.5,7.6,281,-11.1,-80
"98","Piso.AI.Site",1958-02-15,47.5,7.6,281,-9.7,-72
"99","Piso.AI.Site",1958-03-15,47.5,7.6,281,-10.7,-83
"100","Piso.AI.Site",1958-04-15,47.5,7.6,281,-9.9,-72
"101","Piso.AI.Site",1958-05-15,47.5,7.6,281,-6.6,-45
"102","Piso.AI.Site",1958-06-15,47.5,7.6,281,-7.6,-52
"103","Piso.AI.Site",1958-07-15,47.5,7.6,281,-6.1,-39
"104","Piso.AI.Site",1958-08-15,47.5,7.6,281,-6.4,-42
"105","Piso.AI.Site",1958-09-15,47.5,7.6,281,-6.2,-39
"106","Piso.AI.Site",1958-10-15,47.5,7.6,281,-8.4,-59
"107","Piso.AI.Site",1958-11-15,47.5,7.6,281,-12.1,-91
"108","Piso.AI.Site",1958-12-15,47.5,7.6,281,-10.8,-86
"109","Piso.AI.Site",1959-01-15,47.5,7.6,281,-10.7,-86
"110","Piso.AI.Site",1959-02-15,47.5,7.6,281,-9.7,-68
"111","Piso.AI.Site",1959-03-15,47.5,7.6,281,-9.9,-72
"112","Piso.AI.Site",1959-04-15,47.5,7.6,281,-8.8,-63
"113","Piso.AI.Site",1959-05-15,47.5,7.6,281,-7.4,-50
"114","Piso.AI.Site",1959-06-15,47.5,7.6,281,-7,-50
"115","Piso.AI.Site",1959-07-15,47.5,7.6,281,-5.5,-32
"116","Piso.AI.Site",1959-08-15,47.5,7.6,281,-6.5,-45
"117","Piso.AI.Site",1959-09-15,47.5,7.6,281,-5.8,-41
"118","Piso.AI.Site",1959-10-15,47.5,7.6,281,-9.4,-71
"119","Piso.AI.Site",1959-11-15,47.5,7.6,281,-12.6,-94
"120","Piso.AI.Site",1959-12-15,47.5,7.6,281,-12,-92
"121","Piso.AI.Site",1960-01-15,47.5,7.6,281,-11.2,-83
"122","Piso.AI.Site",1960-02-15,47.5,7.6,281,-10.8,-84
"123","Piso.AI.Site",1960-03-15,47.5,7.6,281,-10.3,-85
"124","Piso.AI.Site",1960-04-15,47.5,7.6,281,-7.9,-56
"125","Piso.AI.Site",1960-05-15,47.5,7.6,281,-7.1,-50
"126","Piso.AI.Site",1960-06-15,47.5,7.6,281,-6.6,-46
"127","Piso.AI.Site",1960-07-15,47.5,7.6,281,-6.2,-41
"128","Piso.AI.Site",1960-08-15,47.5,7.6,281,-6.5,-44
"129","Piso.AI.Site",1960-09-15,47.5,7.6,281,-8.6,-58
"130","Piso.AI.Site",1960-10-15,47.5,7.6,281,-10.5,-76
"131","Piso.AI.Site",1960-11-15,47.5,7.6,281,-11,-87
"132","Piso.AI.Site",1960-12-15,47.5,7.6,281,-12.4,-95
"133","Piso.AI.Site",1961-01-15,47.5,7.6,281,-12.1,-91
"134","Piso.AI.Site",1961-02-15,47.5,7.6,281,-8.2,-60
"135","Piso.AI.Site",1961-03-15,47.5,7.6,281,-7,-45
"136","Piso.AI.Site",1961-04-15,47.5,7.6,281,-9.2,-63
"137","Piso.AI.Site",1961-05-15,47.5,7.6,281,-6.6,-47
"138","Piso.AI.Site",1961-06-15,47.5,7.6,281,-6.9,-48
"139","Piso.AI.Site",1961-07-15,47.5,7.6,281,-6,-41
"140","Piso.AI.Site",1961-08-15,47.5,7.6,281,-5.3,-36
"141","Piso.AI.Site",1961-09-15,47.5,7.6,281,-5.9,-38
"142","Piso.AI.Site",1961-10-15,47.5,7.6,281,-9.4,-67
"143","Piso.AI.Site",1961-11-15,47.5,7.6,281,-11.9,-94
"144","Piso.AI.Site",1961-12-15,47.5,7.6,281,-10.7,-74
"145","Piso.AI.Site",1962-01-15,47.5,7.6,281,-9.4,-74
"146","Piso.AI.Site",1962-02-15,47.5,7.6,281,-10,-76
"147","Piso.AI.Site",1962-03-15,47.5,7.6,281,-10.6,-78
"148","Piso.AI.Site",1962-04-15,47.5,7.6,281,-7.9,-56
"149","Piso.AI.Site",1962-05-15,47.5,7.6,281,-7.2,-55
"150","Piso.AI.Site",1962-06-15,47.5,7.6,281,-5.7,-44
"151","Piso.AI.Site",1962-07-15,47.5,7.6,281,-5,-34
"152","Piso.AI.Site",1962-08-15,47.5,7.6,281,-5.1,-35
"153","Piso.AI.Site",1962-09-15,47.5,7.6,281,-6.5,-45
"154","Piso.AI.Site",1962-10-15,47.5,7.6,281,-7.8,-55
"155","Piso.AI.Site",1962-11-15,47.5,7.6,281,-12.3,-94
"156","Piso.AI.Site",1962-12-15,47.5,7.6,281,-11.6,-85
"157","Piso.AI.Site",1963-01-15,47.5,7.6,281,-13.5,-96
"158","Piso.AI.Site",1963-02-15,47.5,7.6,281,-15.3,-108
"159","Piso.AI.Site",1963-03-15,47.5,7.6,281,-9.6,-73
"160","Piso.AI.Site",1963-04-15,47.5,7.6,281,-9.8,-69
"161","Piso.AI.Site",1963-05-15,47.5,7.6,281,-7,-51
"162","Piso.AI.Site",1963-06-15,47.5,7.6,281,-7.5,-52
"163","Piso.AI.Site",1963-07-15,47.5,7.6,281,-5.8,-37
"164","Piso.AI.Site",1963-08-15,47.5,7.6,281,-7,-47
"165","Piso.AI.Site",1963-09-15,47.5,7.6,281,-6.4,-42
"166","Piso.AI.Site",1963-10-15,47.5,7.6,281,-8.1,-57
"167","Piso.AI.Site",1963-11-15,47.5,7.6,281,-10.7,-74
"168","Piso.AI.Site",1963-12-15,47.5,7.6,281,-11.9,-93
"169","Piso.AI.Site",1964-01-15,47.5,7.6,281,-9.7,-72
"170","Piso.AI.Site",1964-02-15,47.5,7.6,281,-9.5,-70
"171","Piso.AI.Site",1964-03-15,47.5,7.6,281,-10.7,-78
"172","Piso.AI.Site",1964-04-15,47.5,7.6,281,-8.9,-69
"173","Piso.AI.Site",1964-05-15,47.5,7.6,281,-6.5,-43
"174","Piso.AI.Site",1964-06-15,47.5,7.6,281,-6.6,-43
"175","Piso.AI.Site",1964-07-15,47.5,7.6,281,-4.2,-32
"176","Piso.AI.Site",1964-08-15,47.5,7.6,281,-5.3,-37
"177","Piso.AI.Site",1964-09-15,47.5,7.6,281,-5.8,-39
"178","Piso.AI.Site",1964-10-15,47.5,7.6,281,-10.2,-74
"179","Piso.AI.Site",1964-11-15,47.5,7.6,281,-10,-77
"180","Piso.AI.Site",1964-12-15,47.5,7.6,281,-12.6,-93
"181","Piso.AI.Site",1965-01-15,47.5,7.6,281,-11.8,-90
"182","Piso.AI.Site",1965-02-15,47.5,7.6,281,-10,-81
"183","Piso.AI.Site",1965-03-15,47.5,7.6,281,-9.3,-73
"184","Piso.AI.Site",1965-04-15,47.5,7.6,281,-9.7,-69
"185","Piso.AI.Site",1965-05-15,47.5,7.6,281,-7.2,-51
"186","Piso.AI.Site",1965-06-15,47.5,7.6,281,-7.1,-48
"187","Piso.AI.Site",1965-07-15,47.5,7.6,281,-5.9,-41
"188","Piso.AI.Site",1965-08-15,47.5,7.6,281,-6.9,-49
"189","Piso.AI.Site",1965-09-15,47.5,7.6,281,-8.8,-64
"190","Piso.AI.Site",1965-10-15,47.5,7.6,281,-7.9,-56
"191","Piso.AI.Site",1965-11-15,47.5,7.6,281,-11.3,-83
"192","Piso.AI.Site",1965-12-15,47.5,7.6,281,-9.6,-73
"193","Piso.AI.Site",1966-01-15,47.5,7.6,281,-11.3,-85
"194","Piso.AI.Site",1966-02-15,47.5,7.6,281,-9.7,-75
"195","Piso.AI.Site",1966-03-15,47.5,7.6,281,-8.4,-61
"196","Piso.AI.Site",1966-04-15,47.5,7.6,281,-9.6,-74
"197","Piso.AI.Site",1966-05-15,47.5,7.6,281,-7.9,-58
"198","Piso.AI.Site",1966-06-15,47.5,7.6,281,-6.8,-43
"199","Piso.AI.Site",1966-07-15,47.5,7.6,281,-7,-51
"200","Piso.AI.Site",1966-08-15,47.5,7.6,281,-7,-48
"201","Piso.AI.Site",1966-09-15,47.5,7.6,281,-5.7,-41
"202","Piso.AI.Site",1966-10-15,47.5,7.6,281,-9.9,-71
"203","Piso.AI.Site",1966-11-15,47.5,7.6,281,-13.1,-99
"204","Piso.AI.Site",1966-12-15,47.5,7.6,281,-10.9,-81
"205","Piso.AI.Site",1967-01-15,47.5,7.6,281,-9.6,-73
"206","Piso.AI.Site",1967-02-15,47.5,7.6,281,-8.7,-73
"207","Piso.AI.Site",1967-03-15,47.5,7.6,281,-7.2,-48
"208","Piso.AI.Site",1967-04-15,47.5,7.6,281,-8.1,-56
"209","Piso.AI.Site",1967-05-15,47.5,7.6,281,-7.9,-60
"210","Piso.AI.Site",1967-06-15,47.5,7.6,281,-7,-48
"211","Piso.AI.Site",1967-07-15,47.5,7.6,281,-5.6,-39
"212","Piso.AI.Site",1967-08-15,47.5,7.6,281,-6.3,-40
"213","Piso.AI.Site",1967-09-15,47.5,7.6,281,-7.9,-57
"214","Piso.AI.Site",1967-10-15,47.5,7.6,281,-5.9,-42
"215","Piso.AI.Site",1967-11-15,47.5,7.6,281,-10.8,-86
"216","Piso.AI.Site",1967-12-15,47.5,7.6,281,-10.7,-77
"217","Piso.AI.Site",1968-01-15,47.5,7.6,281,-10.2,-79
"218","Piso.AI.Site",1968-02-15,47.5,7.6,281,-11.9,-93
"219","Piso.AI.Site",1968-03-15,47.5,7.6,281,-8.5,-62
"220","Piso.AI.Site",1968-04-15,47.5,7.6,281,-8,-61
"221","Piso.AI.Site",1968-05-15,47.5,7.6,281,-7.4,-53
"222","Piso.AI.Site",1968-06-15,47.5,7.6,281,-7.8,-56
"223","Piso.AI.Site",1968-07-15,47.5,7.6,281,-5.7,-33
"224","Piso.AI.Site",1968-08-15,47.5,7.6,281,-8.1,-51
"225","Piso.AI.Site",1968-09-15,47.5,7.6,281,-8.6,-58
"226","Piso.AI.Site",1968-10-15,47.5,7.6,281,-7,-51
"227","Piso.AI.Site",1968-11-15,47.5,7.6,281,-12.6,-94
"228","Piso.AI.Site",1968-12-15,47.5,7.6,281,-11.9,-92
"229","Piso.AI.Site",1969-01-15,47.5,7.6,281,-10.7,-82
"230","Piso.AI.Site",1969-02-15,47.5,7.6,281,-12.4,-99
"231","Piso.AI.Site",1969-03-15,47.5,7.6,281,-11.9,-93
"232","Piso.AI.Site",1969-04-15,47.5,7.6,281,-8.4,-61
"233","Piso.AI.Site",1969-05-15,47.5,7.6,281,-7.3,-50
"234","Piso.AI.Site",1969-06-15,47.5,7.6,281,-8.8,-62
"235","Piso.AI.Site",1969-07-15,47.5,7.6,281,-7,-46
"236","Piso.AI.Site",1969-08-15,47.5,7.6,281,-7.2,-50
"237","Piso.AI.Site",1969-09-15,47.5,7.6,281,-7.2,-50
"238","Piso.AI.Site",1969-10-15,47.5,7.6,281,-6.6,-44
"239","Piso.AI.Site",1969-11-15,47.5,7.6,281,-11.5,-86
"240","Piso.AI.Site",1969-12-15,47.5,7.6,281,-13.9,-102
"241","Piso.AI.Site",1970-01-15,47.5,7.6,281,-12.5,-92
"242","Piso.AI.Site",1970-02-15,47.5,7.6,281,-9.7,-70
"243","Piso.AI.Site",1970-03-15,47.5,7.6,281,-10.7,-75
"244","Piso.AI.Site",1970-04-15,47.5,7.6,281,-8.6,-58
"245","Piso.AI.Site",1970-05-15,47.5,7.6,281,-7.9,-57
"246","Piso.AI.Site",1970-06-15,47.5,7.6,281,-6.7,-46
"247","Piso.AI.Site",1970-07-15,47.5,7.6,281,-5.5,-32
"248","Piso.AI.Site",1970-08-15,47.5,7.6,281,-5.7,-33
"249","Piso.AI.Site",1970-09-15,47.5,7.6,281,-5.9,-40
"250","Piso.AI.Site",1970-10-15,47.5,7.6,281,-8,-54
"251","Piso.AI.Site",1970-11-15,47.5,7.6,281,-9.9,-79
"252","Piso.AI.Site",1970-12-15,47.5,7.6,281,-10,-74
"253","Piso.AI.Site",1971-01-15,47.5,7.6,281,-13,-98
"254","Piso.AI.Site",1971-02-15,47.5,7.6,281,-10.5,-77
"255","Piso.AI.Site",1971-03-15,47.5,7.6,281,-11.2,-80
"256","Piso.AI.Site",1971-04-15,47.5,7.6,281,-8.2,-57
"257","Piso.AI.Site",1971-05-15,47.5,7.6,281,-8,-54
"258","Piso.AI.Site",1971-06-15,47.5,7.6,281,-8,-56
"259","Piso.AI.Site",1971-07-15,47.5,7.6,281,-4.6,-28
"260","Piso.AI.Site",1971-08-15,47.5,7.6,281,-5.4,-30
"261","Piso.AI.Site",1971-09-15,47.5,7.6,281,-6.5,-43
"262","Piso.AI.Site",1971-10-15,47.5,7.6,281,-8.2,-57
"263","Piso.AI.Site",1971-11-15,47.5,7.6,281,-12.9,-99
"264","Piso.AI.Site",1971-12-15,47.5,7.6,281,-10.9,-86
"265","Piso.AI.Site",1972-01-15,47.5,7.6,281,-12.7,-94
"266","Piso.AI.Site",1972-02-15,47.5,7.6,281,-12.1,-94
"267","Piso.AI.Site",1972-03-15,47.5,7.6,281,-10.1,-75
"268","Piso.AI.Site",1972-04-15,47.5,7.6,281,-9.3,-63
"269","Piso.AI.Site",1972-05-15,47.5,7.6,281,-7.9,-60
"270","Piso.AI.Site",1972-06-15,47.5,7.6,281,-7.6,-54
"271","Piso.AI.Site",1972-07-15,47.5,7.6,281,-6.8,-43
"272","Piso.AI.Site",1972-08-15,47.5,7.6,281,-6.4,-41
"273","Piso.AI.Site",1972-09-15,47.5,7.6,281,-8,-58
"274","Piso.AI.Site",1972-10-15,47.5,7.6,281,-9.1,-70
"275","Piso.AI.Site",1972-11-15,47.5,7.6,281,-9.3,-75
"276","Piso.AI.Site",1972-12-15,47.5,7.6,281,-11.1,-82
"277","Piso.AI.Site",1973-01-15,47.5,7.6,281,-12.5,-95
"278","Piso.AI.Site",1973-02-15,47.5,7.6,281,-10.6,-81
"279","Piso.AI.Site",1973-03-15,47.5,7.6,281,-9.2,-71
"280","Piso.AI.Site",1973-04-15,47.5,7.6,281,-9.6,-67
"281","Piso.AI.Site",1973-05-15,47.5,7.6,281,-6.7,-45
"282","Piso.AI.Site",1973-06-15,47.5,7.6,281,-7.8,-55
"283","Piso.AI.Site",1973-07-15,47.5,7.6,281,-7,-48
"284","Piso.AI.Site",1973-08-15,47.5,7.6,281,-6.1,-40
"285","Piso.AI.Site",1973-09-15,47.5,7.6,281,-6.3,-39
"286","Piso.AI.Site",1973-10-15,47.5,7.6,281,-9,-67
"287","Piso.AI.Site",1973-11-15,47.5,7.6,281,-9.3,-75
"288","Piso.AI.Site",1973-12-15,47.5,7.6,281,-10.2,-69
"289","Piso.AI.Site",1974-01-15,47.5,7.6,281,-9.5,-75
"290","Piso.AI.Site",1974-02-15,47.5,7.6,281,-10.7,-85
"291","Piso.AI.Site",1974-03-15,47.5,7.6,281,-10.5,-82
"292","Piso.AI.Site",1974-04-15,47.5,7.6,281,-8.6,-65
"293","Piso.AI.Site",1974-05-15,47.5,7.6,281,-7.9,-55
"294","Piso.AI.Site",1974-06-15,47.5,7.6,281,-6.7,-47
"295","Piso.AI.Site",1974-07-15,47.5,7.6,281,-5.4,-35
"296","Piso.AI.Site",1974-08-15,47.5,7.6,281,-5.7,-37
"297","Piso.AI.Site",1974-09-15,47.5,7.6,281,-7.3,-51
"298","Piso.AI.Site",1974-10-15,47.5,7.6,281,-10.3,-81
"299","Piso.AI.Site",1974-11-15,47.5,7.6,281,-10.3,-75
"300","Piso.AI.Site",1974-12-15,47.5,7.6,281,-8,-60
"301","Piso.AI.Site",1975-01-15,47.5,7.6,281,-9.2,-74
"302","Piso.AI.Site",1975-02-15,47.5,7.6,281,-9.4,-67
"303","Piso.AI.Site",1975-03-15,47.5,7.6,281,-11.3,-89
"304","Piso.AI.Site",1975-04-15,47.5,7.6,281,-9.8,-71
"305","Piso.AI.Site",1975-05-15,47.5,7.6,281,-8.1,-56
"306","Piso.AI.Site",1975-06-15,47.5,7.6,281,-7.4,-48
"307","Piso.AI.Site",1975-07-15,47.5,7.6,281,-5.7,-39
"308","Piso.AI.Site",1975-08-15,47.5,7.6,281,-8.4,-55
"309","Piso.AI.Site",1975-09-15,47.5,7.6,281,-6.9,-51
"310","Piso.AI.Site",1975-10-15,47.5,7.6,281,-10.1,-76
"311","Piso.AI.Site",1975-11-15,47.5,7.6,281,-12.8,-93
"312","Piso.AI.Site",1975-12-15,47.5,7.6,281,-11.3,-92
"313","Piso.AI.Site",1976-01-15,47.5,7.6,281,-9,-66
"314","Piso.AI.Site",1976-02-15,47.5,7.6,281,-11.3,-88
"315","Piso.AI.Site",1976-03-15,47.5,7.6,281,-10,-79
"316","Piso.AI.Site",1976-04-15,47.5,7.6,281,-9.1,-74
"317","Piso.AI.Site",1976-05-15,47.5,7.6,281,-6.8,-52
"318","Piso.AI.Site",1976-06-15,47.5,7.6,281,-4.9,-28
"319","Piso.AI.Site",1976-07-15,47.5,7.6,281,-7.3,-45
"320","Piso.AI.Site",1976-08-15,47.5,7.6,281,-6.8,-47
"321","Piso.AI.Site",1976-09-15,47.5,7.6,281,-8.1,-56
"322","Piso.AI.Site",1976-10-15,47.5,7.6,281,-10.8,-77
"323","Piso.AI.Site",1976-11-15,47.5,7.6,281,-11.6,-88
"324","Piso.AI.Site",1976-12-15,47.5,7.6,281,-13,-95
"325","Piso.AI.Site",1977-01-15,47.5,7.6,281,-12.8,-101
"326","Piso.AI.Site",1977-02-15,47.5,7.6,281,-10.7,-84
"327","Piso.AI.Site",1977-03-15,47.5,7.6,281,-9.3,-65
"328","Piso.AI.Site",1977-04-15,47.5,7.6,281,-8.5,-62
"329","Piso.AI.Site",1977-05-15,47.5,7.6,281,-7.6,-54
"330","Piso.AI.Site",1977-06-15,47.5,7.6,281,-7.4,-52
"331","Piso.AI.Site",1977-07-15,47.5,7.6,281,-6.8,-46
"332","Piso.AI.Site",1977-08-15,47.5,7.6,281,-7.2,-50
"333","Piso.AI.Site",1977-09-15,47.5,7.6,281,-6.3,-43
"334","Piso.AI.Site",1977-10-15,47.5,7.6,281,-7,-48
