Lat,Lon,Alt,Year,JulianDay_Sin,Temp,Precip,ENSO,NAO,O18,H2,O18 P,H2 P
52.3,104.2833333,427.25,2011,0.29671281927349075,283.98486,0.0,0.4,-1.28,-14.0,-111.2,-12.2143955,-92.09511
52.3,104.2833333,427.25,2011,-0.2135209154397959,296.2911,2.2211607e-05,1.6,-1.51,-9.7,-74.1,-9.813017,-71.68669
52.3,104.2833333,427.25,2011,-0.680773409477016,289.3462,4.754567e-05,0.7,-1.35,-14.2,-101.4,-11.914743,-89.54848
52.3,104.2833333,427.25,2011,-0.9587178169872964,285.0388,0.0,1.7,0.54,-13.1,-108.0,-12.580637,-95.20766
52.3,104.2833333,427.25,2011,-0.9741004551724206,270.80997,0.0,1.2,0.39,-17.3,-127.0,-16.118196,-125.27205
52.3,104.2833333,427.25,2011,-0.7236440382959123,267.4311,0.0,1.8,1.36,-30.1,-224.1,-18.66524,-146.91841
52.3,104.2833333,427.25,2011,-0.2884824328806098,245.5639,0.0,4.1,2.52,-27.3,-208.7,-23.401407,-187.16933
52.3,104.2833333,427.25,2012,0.2386727660059501,261.34137,5.3495005e-06,1.8,1.17,-29.0,-218.7,-19.622461,-155.05348
52.3,104.2833333,427.25,2012,0.6994583270516471,252.67146,1.175598e-05,0.8,0.42,-26.4,-207.4,-20.50477,-162.5519
52.3,104.2833333,427.25,2012,0.2802306751992159,285.04517,2.3862134e-05,-0.7,-2.53,-10.0,-91.8,-11.140642,-82.96968
52.3,104.2833333,427.25,2012,-0.23030567023061196,288.55252,0.0,-0.1,-1.32,-13.0,-100.8,-11.640062,-87.214066
52.3,104.2833333,427.25,2012,-0.6932812268869771,293.38803,2.9586212e-05,-0.3,-0.98,-11.0,-87.1,-10.2292,-75.22368
52.3,104.2833333,427.25,2012,-0.9634705485641486,282.70758,1.6699816e-05,0.4,-0.59,-15.0,-107.9,-13.546183,-103.41347
52.3,104.2833333,427.25,2012,-0.970063921851507,273.24136,0.0,0.5,-2.06,-29.9,-225.5,-16.209757,-126.050186
52.3,104.2833333,427.25,2012,-0.7116566222817751,259.9701,0.0,0.4,-0.58,-22.3,-165.9,-20.871012,-165.66444
52.3,104.2833333,427.25,2013,0.2386727660059501,255.33873,0.0,-0.1,0.35,-29.2,-226.2,-21.220606,-168.63551
52.3,104.2833333,427.25,2013,0.6994583270516471,262.44476,0.0,-0.4,-0.45,-30.7,-251.3,-19.905466,-157.45863
