Lat,Lon,Alt,Date,H2,O18,geometry,t2m,tp
-75.58333333,-20.56666667,30.0,1969-07-14 22:00:00+00:00,-230.5,-30.84,POINT (-20.56666667 -75.58333333),237.96875,0.0
-75.58333333,-20.56666667,30.0,1969-08-14 22:00:00+00:00,-221.1,-28.83,POINT (-20.56666667 -75.58333333),240.203125,1.4483928680419922e-05
-75.58333333,-20.56666667,30.0,1969-09-14 22:00:00+00:00,-185.8,-23.97,POINT (-20.56666667 -75.58333333),241.125,0.0
-75.58333333,-20.56666667,30.0,1969-10-14 22:00:00+00:00,-153.1,-18.46,POINT (-20.56666667 -75.58333333),263.4270935058594,7.541974628111348e-05
-75.58333333,-20.56666667,30.0,1969-11-14 23:00:00+00:00,-180.2,-23.73,POINT (-20.56666667 -75.58333333),265.875,0.00020074844360351562
-75.58333333,-20.56666667,30.0,1969-12-14 23:00:00+00:00,-64.4,-9.25,POINT (-20.56666667 -75.58333333),267.27081298828125,4.021326458314434e-05
-75.58333333,-20.56666667,30.0,1970-01-14 23:00:00+00:00,-83.8,-10.27,POINT (-20.56666667 -75.58333333),267.0520935058594,1.3967354789201636e-05
-75.58333333,-20.56666667,30.0,1970-02-14 23:00:00+00:00,-112.1,-15.83,POINT (-20.56666667 -75.58333333),258.0625,1.4841555639577564e-05
-75.58333333,-20.56666667,30.0,1970-03-14 23:00:00+00:00,-145.5,-19.7,POINT (-20.56666667 -75.58333333),251.84375,5.165736070011917e-07
-75.58333333,-20.56666667,30.0,1970-04-14 22:00:00+00:00,-148.1,-20.31,POINT (-20.56666667 -75.58333333),257.9583435058594,5.980332844046643e-06
-75.58333333,-20.56666667,30.0,1970-05-14 22:00:00+00:00,-208.8,-28.6,POINT (-20.56666667 -75.58333333),245.6666717529297,4.172325134277344e-07
-75.58333333,-20.56666667,30.0,1970-06-14 22:00:00+00:00,-206.6,-27.74,POINT (-20.56666667 -75.58333333),242.9270782470703,7.947286206899662e-08
-75.58333333,-20.56666667,30.0,1970-09-14 22:00:00+00:00,-209.3,-27.39,POINT (-20.56666667 -75.58333333),257.84893798828125,0.00012131532275816426
-75.58333333,-20.56666667,30.0,1970-10-14 22:00:00+00:00,-100.7,-14.71,POINT (-20.56666667 -75.58333333),247.10415649414062,3.0994415283203125e-06
-75.58333333,-20.56666667,30.0,1970-12-14 23:00:00+00:00,-146.5,-19.51,POINT (-20.56666667 -75.58333333),266.125,0.0
-75.58333333,-20.56666667,30.0,1972-01-14 23:00:00+00:00,-74.4,-9.76,POINT (-20.56666667 -75.58333333),264.84375,1.2914340459246887e-06
-75.58333333,-20.56666667,30.0,1972-02-14 23:00:00+00:00,-73.7,-11.05,POINT (-20.56666667 -75.58333333),257.6354064941406,1.8537044525146484e-05
-75.58333333,-20.56666667,30.0,1972-03-14 23:00:00+00:00,-92.2,-12.67,POINT (-20.56666667 -75.58333333),253.1510467529297,2.5033950805664062e-06
-75.58333333,-20.56666667,30.0,1972-04-14 22:00:00+00:00,-110.8,-13.84,POINT (-20.56666667 -75.58333333),246.125,1.7881393432617188e-07
-75.58333333,-20.56666667,30.0,1972-05-14 22:00:00+00:00,-171.2,-21.18,POINT (-20.56666667 -75.58333333),252.74478149414062,5.165735501577728e-07
-75.58333333,-20.56666667,30.0,1972-06-14 22:00:00+00:00,-162.5,-21.38,POINT (-20.56666667 -75.58333333),255.4270782470703,3.427267074584961e-05
-75.58333333,-20.56666667,30.0,1972-07-14 22:00:00+00:00,-184.1,-24.3,POINT (-20.56666667 -75.58333333),236.80209350585938,0.0
-75.58333333,-20.56666667,30.0,1972-08-14 22:00:00+00:00,-201.6,-25.02,POINT (-20.56666667 -75.58333333),239.61978149414062,0.0
