Date	Amount(mm)	d18O	d2H
2011-01-10	12.5	-16.3	-119.8
2011-01-11	1.5	-15.5	-113.1
2011-01-13	3.1	-28.1	-218.2
2011-01-17	8.1	-16.7	-123.2
2011-01-24	2.6	-18.7	-139.6
2011-01-25	1.5	-15.9	-122
2011-02-02	4.6	-17.6	-133.9
2011-02-03	3.6	-14.4	-105
2011-02-04	4	-20.3	-154.7
2011-02-07	3.6	-19.7	-144
2011-02-18	3	-28.4	-217.6
2011-02-21	1.3	-19.1	-145
2011-02-25	2	-17.8	-128.2
2011-03-10	1.8	-17.3	-129.6
2011-03-11	5.9	-20.7	-158
2011-03-14	1.6	-20.1	-157
2011-03-28	3.1	-20.1	-147.4
2011-04-04	6.4	-11.6	-80.7
2011-04-11	3.3	-5.7	-37.1
2011-05-09	2.5	-14.3	-116
2011-05-11	4.8	-5.5	-49.5
2011-05-16	8.7	-12.6	-88.4
2011-05-18	1.7	-10.1	-82.3
2011-05-19	3.5	-11.5	-85
2011-05-20	5.7	-10.9	-83.9
2011-05-23	3.8	-7.1	-51.2
2011-05-25	3.5	-8.4	-63.8
2011-05-27	1.7	-11.5	-90.6
2011-05-30	6.8	-10.8	-74.1
2011-06-01	7.9	-7.1	-47.5
2011-06-20	23	-15	-109.3
2011-06-22	6.9	-17.5	-137.8
2011-06-27	49.7	-11.6	-84.7
2011-07-04	0.3	-2.4	-31.5
2011-07-13	20.2	-11.3	-82.1
2011-07-18	4.5	-7.8	-67.1
2011-07-19	3.3	-5.6	-36.1
2011-07-25	13.9	-6.4	-39.6
2011-07-26	9.2	-8.7	-55.2
2011-07-27	0.2	-6.4	-48.2
2011-08-08	29.6	-11.8	-83.6
2011-08-09	1.5	-10.3	-71.8
2011-08-17	11.3	-10.7	-72.5
2011-08-20	6.2	-13.2	-101.7
2011-08-23	20.8	-8.9	-60.1
2011-08-26	2.1	-11.6	-80.1
2011-09-03	1.3	-11.7	-80.3
2011-09-05	1.3	-9.7	-66.7
2011-09-07	23.1	-9.4	-63.4
2011-09-08	22.5	-9.4	-65.7
2011-09-09	7.2	-10.9	-76
2011-09-13	5	-8	-54.4
2011-09-15	32.4	-10	-77
2011-09-20	7.8	-10.3	-67.1
2011-09-23	12.5	-15	-112.2
2011-09-28	10.9	-10.6	-79.9
2011-09-29	4.5	-10.3	-86.4
2011-10-07	15.3	-11.2	-82.8
2011-10-10	6.4	-16.6	-125.8
2011-10-19	20.9	-13.9	-105.6
2011-10-31	7.5	-11.5	-80
2011-11-07	5.1	-9.5	-63.2
2011-11-21	4.3	-16.9	-123.1
2011-11-24	1.7	-7.7	-48
2011-11-28	1.9	-11.8	-85.4
2011-11-30	10.5	-11.3	-80.6
2011-12-05	28	-15.1	-109
2011-12-12	22.7	-18.6	-137.1
2011-12-13	10	-16.7	-123.2
2011-12-15	10	-11.8	-82.9
2011-12-16	2.2	-13.9	-100.3
2011-12-19	12	-19.2	-146.6
2011-12-21	1.5	-17.8	-130.6
2011-12-26	7.4	-12.3	-92.3
2011-12-30	9.5	-14.8	-109.7
2012-01-03	21.3	-16.7	-130
2012-01-05	14.8	-14.7	-115
2012-01-09	5.1	-24.4	-185.6
2012-01-11	2.1	-18.6	-133.6
2012-01-16	2.7	-14.6	-107.7
2012-01-19	4.5	-17.8	-131.2
2012-01-20	2.8	-17.9	-131.4
2012-01-24	3.3	-17.2	-120.2
2012-02-01	1.5	-14	-86.9
2012-02-06	1.5	-23.1	-158.3
2012-02-07	6.9	-18	-134.3
2012-02-13	2.2	-15.3	-109.7
2012-02-14	2.3	-15.4	-113.6
2012-02-15	9.9	-22.8	-174.7
2012-02-17	4.3	-14.8	-109.2
2012-02-20	12.2	-12.2	-89
2012-02-23	9.7	-21.3	-162
2012-02-27	5.1	-13.6	-99.2
2012-02-28	7.1	-16.8	-129
2012-03-19	4.4	-11.7	-86.7
2012-03-21	3.9	-13.5	-98.3
2012-03-26	10.6	-15.7	-122.4
2012-04-11	8.5	-12.9	-95
2012-04-12	5.9	-9.7	-66.2
2012-04-18	9.6	-22.4	-167.7
2012-04-23	12.7	-16.2	-117.4
2012-04-24	7.5	-13.9	-103
2012-04-27	7.5	-14.9	-110.6
2012-05-07	22	-14.5	-105
2012-05-14	7.1	-12.1	-90.9
2012-05-18	1.7	-9	-61.6
2012-05-21	4.4	-8.7	-65
2012-06-04	20.5	-12.3	-86.4
2012-06-07	14	-17	-127.3
2012-06-11	15.9	-10.2	-72.6
2012-06-12	1.1	-8.6	-63.7
2012-06-18	3.6	-8	-62.3
2012-06-20	16.1	-12.9	-97.8
2012-06-27	8.3	-10.5	-78
2012-06-29	0.3	-7.2	-57.5
2012-07-02	21.7	-7.7	-53
2012-07-03	0.9	-6.9	-73.3
2012-07-09	8.6	-5.4	-39.4
2012-07-11	1.8	-9.6	-68.5
2012-07-13	7.5	-12.5	-92.2
2012-07-16	16	-11.2	-82.9
2012-07-20	2.9	-8.7	-69.5
2012-07-23	2.6	-11.2	-90
2012-08-01	2.1	-8.5	-60.5
2012-08-02	17.6	-11.9	-83.5
2012-08-03	6.3	-11.6	-76.2
2012-08-06	3.8	-6.2	-48.8
2012-08-10	11.8	-12.1	-82.8
2012-08-20	1.5	-4.8	-40.7
2012-08-24	1.2	-8.8	-61.2
2012-08-27	31.1	-13.1	-93.4
2012-08-28	29.1	-14.1	-100.2
2012-08-31	4.3	-7.9	-49.8
2012-09-02	8.7	-10.7	-73
2012-09-03	1.7	-10.8	-70
2012-09-06	7	-7.9	-63.2
2012-09-10	0.2	-10.2	-88.1
2012-09-12	5	-6.9	-45.7
2012-09-14	2	-11.1	-80.7
2012-09-17	4.1	-8.7	-64.5
2012-09-18	9.9	-10.3	-73.1
2012-09-20	0.4	-9	-61.2
2012-09-21	1.4	-11.9	-88.4
2012-09-27	20.8	-16	-117.4
2012-10-01	5	-10.8	-74.8
2012-10-02	4.4	-8.5	-58.3
2012-10-04	9.9	-7.4	-47.5
2012-10-08	38.4	-18.5	-139
2012-10-09	1.2	-17.6	-130.9
2012-10-12	0.7	-15.8	-118
2012-10-15	9.2	-16.4	-120
2012-10-16	7.3	-21.1	-157.3
2012-10-17	1.7	-16.6	-120
2012-10-18	5.3	-13.7	-93.3
2012-10-19	5	-13.8	-99.1
2012-10-26	0.9	-15.1	-110.1
2012-10-29	2.6	-18.3	-128
2012-10-30	8.5	-21.4	-158.2
2012-10-31	11.6	-14.8	-102.8
2012-11-05	8.2	-13.5	-92.9
2012-11-07	1.7	-17.1	-119.3
2012-11-12	19.3	-13.5	-103.2
2012-11-14	0.7	-10	-86.7
2012-11-19	2.5	-10.7	-75.4
2012-11-22	1.3	-8.2	-61.2
2012-11-26	5.2	-11.7	-93.7
2012-11-29	0.1	-12.3	-82.3
2012-12-03	7.8	-22.2	-154.2
2012-12-05	1.1	-25.5	-181.5
2012-12-06	0.6	-21.1	-149.3
2012-12-07	0.5	-21.1	-150.8
2012-12-10	10.8	-22.5	-171.4
2012-12-12	3.6	-28.3	-209.8
2012-12-13	1.5	-19.7	-138.9
2012-12-14	8.1	-23	-168.4
2012-12-17	9	-24.5	-178.9
2012-12-18	0.6	-24.6	-183.9
2012-12-19	0.6	-20.1	-138.3
2012-12-20	1.5	-19.2	-134.6
2012-12-23	3.8	-18.5	-126.3
2012-12-27	9.8	-17.6	-127.7
2012-12-31	17.6	-12.3	-90.3
2013-01-02	3.6	-12.65703112	-101.3957009
2013-01-07	5	-14.51989662	-108.0140548
2013-01-08	4.7	-14.71955224	-114.8309706
2013-01-10	0.7	-14.12605439	-103.8259277
2013-01-11	0.4	-14.26175998	-104.158611
2013-01-21	1.8	-15.94492828	-112.7628735
2013-01-23	0.3	-11.71660045	-67.26346397
2013-01-28	2.5	-14.77994521	-110.4688826
2013-01-29	2.5	-16.85524177	-124.4683141
2013-01-30	1.5	-9.864130233	-70.97055351
2013-01-31	8.7	-17.50530504	-139.1024457
2013-02-01	2.1	-18.01107288	-138.9939899
2013-02-04	1.3	-14.7339681	-107.7413983
2013-02-05	9	-12.51203356	-92.49092617
2013-02-06	1.7	-13.65920105	-100.7832272
2013-02-11	1.7	-16.69674414	-122.0792402
2013-02-13	0.5	-16.1218522	-115.8737075
2013-02-14	1.7	-14.36478005	-105.104
2013-02-15	0.7	-11.94763091	-87.85848801
2013-02-18	2.1	-17.4716836	-134.2278317
2013-02-20	0.5	-17.44175738	-123.8208151
2013-03-01	3.8	-13.86836113	-107.0369769
2013-03-04	13.5	-19.26992171	-147.2347441
2013-03-05	0.4	-17.01153217	-122.6203491
2013-04-19	3.4	-12.226054	-93.01872841
2013-04-22	0.5	-8.927696883	-62.58306164
2013-04-24	0.8	-7.590897097	-54.22590975
2013-04-25	0.8	-12.6508197	-94.70919108
2013-04-29	8.6	-12.87228438	-96.89492458
2013-05-02	3.7	-10.64327876	-84.61821735
2013-05-03	0.5	-11.46732396	-88.72826926
2013-05-10	14.6	-10.28896975	-77.2083637
2013-05-12	5.3	-9.28153821	-68.53373147
2013-05-15	6.6	-12.23889821	-94.33959774
2013-06-03	2.2	-7.172621362	-48.90326528
2013-06-11	6.1	-8.932147836	-69.46536885
2013-06-13	12.7	-10.09123473	-68.17888553
2013-06-14	10.8	-12.22945838	-89.48578702
2013-06-16	5.8	-10.38972213	-85.81057724
2013-06-17	2.7	-8.167371902	-69.70637724
2013-06-18	3.3	-10.81754088	-81.70591927
2013-06-20	4.2	-8.675907078	-67.40510216
2013-06-23	6.1	-6.141862924	-42.44225781
2013-06-27	5.8	-7.055670465	-51.63730444
2013-06-27	16.8	-6.772319398	-49.73593756
2013-07-02	34.3	-14.74097203	-110.8809331
2013-07-03	21.6	-16.4559938	-127.5363846
2013-07-08	5.1	-4.494572196	-46.06959788
2013-07-10	2	-8.020717105	-66.34072841
2013-07-11	1.2	-9.918876348	-83.47417523
2013-07-15	4.2	-8.620350163	-72.02602382
2013-07-16	8	-15.39276207	-118.2567726
2013-07-17	1	-9.756603556	-88.92555514
2013-07-22	4	-7.389969713	-72.67588616
2013-07-29	5	-8.555222591	-63.57566266
2013-07-30	0.4	-6.681129269	-46.69506261
2013-07-31	27.1	-7.129473934	-44.82627968
2013-08-07	1	-6.589039696	-42.40196914
2013-08-09	4.6	-1.629788596	-32.05985714
2013-08-12	6.2	-9.143055354	-71.88713454
2013-08-13	5.2	-12.00451641	-86.87478293
2013-08-15	1.1	-10.87927425	-85.31441356
2013-08-19	17	-8.89287827	-68.30008301
2013-09-02	44.3	-10.19337701	-70.820802
2013-09-17	3	-9.834173088	-65.52205544
2013-09-19	17.4	-10.61045716	-75.03889857
2013-09-20	11.2	-12.12682297	-84.14057366
2013-09-22	14.6	-12.07048238	-86.50018434
2013-09-23	4.1	-15.8620978	-118.826848
2013-09-24	1.2	-11.77279463	-82.54048294
2013-09-26	0.6	-14.32227733	-100.8200102
2013-09-27	12.5	-19.18013237	-145.628837
2013-09-30	0.6	-14.43702171	-108.4713194
2013-10-07	0.5	-9.451298917	-70.86895631
2013-10-09	6.2	-9.77813934	-73.12622999
2013-10-10	0.4	-12.00079283	-84.52310797
2013-10-23	13.7	-14.03591093	-106.6848565
2013-10-24	12	-8.913301308	-67.29449144
2013-10-25	5.8	-11.02463801	-85.03153765
2013-10-28	12	-8.805543652	-64.93864893
2013-11-04	11.4	-13.32787144	-99.49148503
2013-11-06	2.7	-23.97973801	-186.5065033
2013-11-08	1.1	-13.38479941	-93.12924078
2013-11-11	6.6	-13.91723669	-100.4191621
2013-11-12	0.9	-16.33830023	-118.5358498
2013-11-14	0.4	-12.24270552	-76.13297811
2013-11-15	2.5	-15.3117709	-113.5615284
2013-11-18	2	-15.2161609	-122.4967048
2013-11-19	2	-17.09058365	-131.1317383
2013-11-25	1.9	-10.64907256	-62.29415093
2013-11-27	2.9	-13.93640196	-104.9025767
2013-12-02	6.9	-15.87274296	-120.0846789
2013-12-02	3	-12.6569844	-93.5973728
2013-12-05	1.1	-21.04374884	-154.113359
2013-12-10	2.8	-22.90483878	-178.3909953
2013-12-11	1.9	-14.71787851	-114.8520722
2013-12-13	9.1	-12.98189486	-104.1841504
2013-12-16	7.8	-13.66984062	-102.6622346
2013-12-17	1.3	-11.87943843	-88.37867148
2013-12-20	7	-14.78519518	-114.0709003
2013-12-23	8.8	-14.85816386	-119.0195083
2013-12-27	12.9	-17.80722514	-141.373002
2013-12-30	5	-13.0014784	-108.9009997
2014-01-02	5.6	-12.7181686	-95.34422857
2014-01-03	4.4	-9.639661908	-70.03251956
2014-01-07	12.9	-11.0507541	-81.25292806
2014-01-08	1.6	-8.930356801	-65.29132941
2014-01-10	1.2	-15.42708571	-117.2585267
2014-01-13	2.3	-22.03758044	-166.0242503
2014-01-17	0.6	-19.70000589	-129.317031
2014-01-20	1.1	-17.5338618	-114.462075
2014-01-27	0.1	-15.63467541	-95.23629075
2014-01-28	0.6	-16.88333473	-103.3791321
2014-01-31	0.9	-13.05940579	-77.30078491
2014-02-03	9.8	-16.4587808	-121.1689884
2014-02-04	0.1	-12.31794668	-82.36616925
2014-02-06	3.5	-10.03498238	-67.45095467
2014-02-07	0.5	-13.09595804	-89.6400263
2014-02-10	13.4	-13.77240066	-105.6541287
2014-02-12	5.2	-9.607081269	-68.59637905
2014-02-13	2.6	-18.55912509	-141.9801191
2014-02-17	17.1	-11.89681863	-87.13268914
2014-02-18	0.4	-11.16448115	-85.44497004
2014-02-20	0.8	-14.16705257	-105.7928377
2014-02-21	0.7	-19.13243969	-143.6661476
2014-02-24	8.6	-17.83075243	-140.4664222
2014-02-27	1.5	-10.26459251	-72.03104423
2014-03-03	5.3	-12.15285111	-86.46618174
2014-03-05	1.3	-9.72808903	-72.83427542
2014-03-07	0.3	-12.74917259	-97.35339867
2014-03-10	5.4	-8.505339917	-65.72182852
2014-03-13	1	-8.20261359	-68.45786843
2014-03-17	0.4	-13.8628493	-94.33926694
2014-03-18	1.1	-12.02221351	-70.59524205
2014-03-20	0.4	-25.12004177	-192.0578023
2014-03-21	10.2	-17.51946841	-136.1824821
2014-03-24	0.8	-11.85314127	-87.8305568
2014-04-11	1.8	-17.58541527	-134.7434607
2014-04-14	1.8	-15.83403542	-125.7972936
2014-04-15	0.2	-11.74826812	-104.5501302
2014-04-22	1	-3.455066576	-45.42045504
2014-05-02	1.2	-13.66726621	-106.1322617
2014-05-12	9.5	-14.88475585	-118.0408121
2014-05-14	0.3	-8.252549233	-85.58443108
2014-05-22	2.4	-2.358925144	-27.52626675
2014-05-23	0.5	-3.442497737	-31.27405816
2014-05-26	27.3	-5.79290501	-38.62137296
2014-05-27	4.3	-8.71967308	-58.86565434
2014-05-30	1	-12.92605128	-97.76940926
2014-06-02	9.5	-10.51560884	-84.10815866
2014-06-09	5.1	-6.242483107	-48.02503896
2014-06-11	1.1	-6.176814534	-44.61845388
2014-06-12	5.1	-5.661516167	-35.7648762
2014-06-13	0.6	-6.335228582	-53.83443117
2014-06-17	1.5	-13.30869226	-104.5225738
2014-06-18	0.9	-11.85650458	-100.1071717
2014-06-19	2	-9.757372892	-79.8768751
2014-06-23	25.5	-12.62415994	-94.7719746
2014-06-24	0.2	-8.808215262	-80.17219098
2014-07-03	9.1	-14.05545956	-106.5216717
2014-07-09	0.6	-9.957974163	-81.19352106
2014-07-15	5	-5.748902907	-39.2489798
2014-07-17	26.6	-11.91846169	-87.11921453
2014-07-20	20.2	-9.045899536	-67.92011744
2014-07-29	0.1	-5.187598944	-42.94728597
2014-08-04	20	-9.686612178	-75.78871353
2014-08-08	0.7	-5.539651477	-43.86009229
2014-08-11	12.2	-9.77221024	-77.7039896
2014-08-12	7.6	-9.482889457	-65.00558854
2014-08-18	1.1	-9.467867675	-62.30663134
2014-08-19	48	-14.21600619	-100.62783
2014-08-20	6.5	-13.48553925	-96.04160587
2014-08-21	8.9	-14.4137528	-104.4627787
2014-08-22	1.7	-14.29789258	-105.4970507
2014-08-25	26	-13.2236031	-93.56784575
2014-08-26	0.8	-10.48653218	-70.61053796
2014-08-28	1.6	-11.32417463	-82.35332083
2014-09-12	0.6	-7.079473309	-59.30515617
2014-09-22	1	-10.08270328	-73.86051361
2014-09-29	7.9	-9.3452469	-72.1705737
2014-10-02	0.7	-8.284948312	-64.3681994
2014-10-06	1.2	-7.359885499	-48.37321958
2014-10-08	2.7	-15.12824291	-106.4337085
2014-10-09	21	-15.17208082	-107.3856552
2014-10-10	16.1	-14.61565614	-105.1342414
2014-10-14	1.3	-13.57969505	-97.43852197
2014-10-20	10.4	-16.00021094	-114.7444605
2014-10-24	14.2	-15.74797705	-106.7009324
2014-10-27	15.7	-10.45759596	-74.46159576
2014-11-03	16.8	-11.37080822	-78.27985551
2014-11-05	1	-21.50615513	-165.5988411
2014-11-10	0.3	-12.73039711	-88.15368863
2014-11-11	3.3	-15.37164718	-114.993159
2014-11-24	8.7	-15.81553872	-114.9315184
2014-11-25	7.5	-12.6367438	-88.29234345
2014-12-05	0.5	-10.83796033	-73.06470163
2014-12-08	2.7	-13.69693545	-92.71881811
2014-12-10	7	-15.63902669	-115.0340988
2014-12-11	10.8	-10.99822884	-76.86057306
2014-12-12	2.1	-8.162415728	-47.31677267
2014-12-15	11.1	-13.3035663	-91.43097352
2014-12-16	3.2	-14.98703935	-110.5909316
2014-12-19	4.6	-13.80084756	-95.12274971
2014-12-22	1.4	-15.6435118	-106.6886442
2014-12-29	2.8	-17.4166086	-115.4835386
2014-12-30	3	-22.62468926	-175.8792247
2014-12-31	3	-11.94345702	-91.64243473
2015-01-02	3.2	-18.80318151	-143.5982014
2015-01-07	16.1	-18.2296513	-136.8457465
2015-01-08	3.8	-19.87688506	-149.821118
2015-01-09	3.9	-17.85780913	-133.5853427
2015-01-12	3.5	-20.69700681	-147.5255342
2015-01-13	2.6	-27.1211569	-205.9424311
2015-01-14	2.6	-14.41754283	-98.4465916
2015-01-16	5.6	-16.73467802	-123.4954374
2015-01-19	1.4	-12.93238089	-91.62521342
2015-01-23	1.5	-19.49844727	-137.8662414
2015-01-26	6.8	-15.08895637	-112.0280893
2015-01-27	1.9	-17.27609018	-134.9345078
2015-01-28	2.4	-16.67782871	-130.9578317
2015-01-29	6.2	-17.25596437	-131.9193293
2015-01-30	15.5	-13.80989922	-101.283522
2015-02-02	15.8	-17.6356242	-131.3595695
2015-02-03	1.1	-20.72172347	-152.5909214
2015-02-04	2.2	-21.26576497	-159.6497263
2015-02-05	1.4	-16.82141634	-122.8906282
2015-02-09	2.3	-15.79771729	-115.8336677
2015-02-16	0.7	-21.25715851	-160.0276203
2015-02-19	1.4	-16.41456148	-125.555633
2015-02-24	6.3	-14.28071871	-107.1377837
2015-02-27	0.9	-10.69485894	-73.2517367
2015-03-02	7.6	-10.37826334	-78.49931071
2015-03-03	0.8	-8.436401153	-60.00525909
2015-03-09	0.4	-9.43110489	-74.85078043
2015-03-09	0.8	-14.90722227	-116.0291116
2015-03-10	1.4	-12.33658497	-93.04086266
2015-03-23	5.4	-18.0993549	-145.9350826
2015-03-24	1.9	-17.22759932	-135.4133205
2015-03-30	16.4	-17.50673237	-134.2415818
2015-03-31	10.3	-23.86409378	-188.7399865
2015-04-01	2.8	-26.34060862	-206.1839281
2015-04-07	1	-13.4818297	-106.7818559
2015-04-13	13.6	-11.76036318	-86.10657477
2015-04-14	7.7	-13.147737	-97.22567324
2015-04-15	0.6	-9.708047708	-64.03772466
2015-04-16	3.5	-17.54948568	-132.6615243
2015-04-17	0.1	-10.79241886	-83.67894749
2015-04-23	5.3	-15.99517041	-122.1754525
2015-04-27	5.8	-11.53588638	-84.05607541
2015-05-04	2.7	-6.856566886	-47.85360711
2015-05-05	0.4	-8.43954351	-63.57854176
2015-05-07	7.2	-10.6273968	-77.53266104
2015-05-11	0.5	-8.093829743	-73.41877684
2015-05-12	1	-5.691953979	-41.1590279
2015-05-13	0.6	-8.117904908	-67.97135568
2015-05-15	11.9	-15.10068319	-116.1823544
2015-05-18	0.8	-10.19286138	-73.02886082
2015-05-19	4.1	-17.9324066	-135.6555894
2015-05-21	2.6	-13.74529509	-105.4020157
2015-05-23	15.4	-19.64379733	-154.3587273
2015-05-25	1.3	-9.553936991	-81.73619434
2015-05-26	4.2	-8.648741771	-62.87422572
2015-05-27	16	-12.32383596	-89.40883556
2015-05-28	0.2	-12.79828899	-110.9672269
2015-05-29	2.1	-8.857755533	-63.23750744
2015-06-01	7	-11.29263369	-84.02381513
2015-06-02	5	-9.486262818	-64.2755517
2015-06-03	4.1	-9.127173054	-63.03292949
2015-06-08	14.5	-7.309630956	-55.55896461
2015-06-13	2.4	-9.681550625	-83.51529499
2015-06-15	1.2	-9.435938267	-75.4196389
2015-06-29	18.6	-11.87111421	-100.1240102
2015-06-30	8	-8.639985959	-69.99976744
2015-07-06	0.9	-3.28605563	-34.4185266
2015-07-07	12.9	-8.143257365	-55.42548668
2015-07-09	5.4	-9.747857468	-72.14811128
2015-07-10	9.2	-13.57325586	-101.7636651
2015-07-13	4.2	-8.786576115	-66.15293367
2015-07-15	7.1	-12.33821162	-86.27519771
2015-07-17	0.7	-7.229306625	-62.40783943
2015-07-20	4.8	-8.427139239	-64.17473483
2015-07-23	7.6	-10.76594568	-83.34539788
2015-07-27	29.8	-9.441151299	-67.36212188
2015-07-28	1.9	-9.730373678	-69.60218018
2015-07-30	28.9	-11.39710018	-84.89065657
2015-07-31	14.2	-11.31001749	-82.20019209
2015-08-03	3.3	-8.590842821	-68.22788968
2015-08-07	1.5	-6.250748468	-51.50416669
2015-08-12	0.9	-3.917628685	-32.33067609
2015-08-27	1.4	-7.645512873	-51.39747975
2015-08-28	13.1	-9.532606641	-66.95624175
2015-10-05	2.8	-12.91131425	-108.1301926
2015-10-21	1	-9.965457967	-69.58203351
2015-10-23	5.3	-10.94934591	-78.80324348
2015-10-26	1.7	-10.54106876	-74.01455539
2015-11-06	1.1	-9.930319616	-72.42105125
2015-11-09	10.3	-16.68611147	-125.1981675
2015-11-11	3.8	-16.1678659	-117.8700031
2015-11-13	0.5	-16.38510622	-114.4390931
2015-11-16	8.7	-12.5367412	-87.30033011
2015-11-17	6	-13.2624249	-94.45306246
2015-11-19	7	-14.16257132	-100.7373529
2015-11-20	0.4	-14.3630822	-100.9920538
2015-11-23	4.8	-25.18949733	-190.3741437
2015-11-25	2.3	-16.41182948	-121.0437187
2015-12-01	16.7	-14.18034639	-103.024804
2015-12-03	4.2	-18.92094405	-144.5276127
2015-12-04	3.4	-21.61256954	-163.591194
2015-12-07	4.7	-18.4897372	-138.5549708
2015-12-10	2.3	-12.03966102	-87.94706314
2015-12-11	8.4	-18.24452463	-136.5253334
2015-12-14	0.8	-14.83085643	-101.8737932
2015-12-17	0.6	-12.50944173	-85.66859851
2015-12-18	10.1	-17.67074982	-134.8359705
2015-12-21	5.8	-13.37326295	-103.7950715
2015-12-26	9.7	-12.59754327	-100.9631673
2016-01-04	4	-16.951367	-106.9619451
2016-01-11	1.2	-21.81280579	-146.0857641
2016-01-12	2.7	-20.09348154	-144.8705476
2016-01-13	0.3	-18.361679	-118.9944639
2016-01-18	3.7	-20.1937944	-139.5390393
2016-01-19	0.6	-22.43679178	-151.0044947
2016-01-25	0.3	-18.49225301	-125.8385295
2016-01-26	2.2	-10.96849683	-79.67748295
2016-01-28	1	-14.55945286	-105.6727311
2016-02-01	12.1	-15.97918161	-119.0104167
2016-02-02	1.7	-18.52438874	-141.9851311
2016-02-05	0.9	-18.91453696	-141.5069267
2016-02-08	13.7	-13.45545849	-105.58228
2016-02-09	2.8	-11.54038407	-86.25738004
2016-02-11	7.6	-17.25631854	-137.5873678
2016-02-12	4.7	-22.3554477	-173.8537234
2016-02-15	12.4	-19.96513796	-151.7910396
2016-02-19	1.2	-11.02403181	-76.47226053
2016-02-22	12.5	-13.02634582	-94.36286606
2016-02-23	1.1	-27.55404492	-211.0060723
2016-02-25	0.7	-17.51935523	-126.3843627
2016-03-01	0.7	-17.39564045	-131.3023021
2016-03-04	0.2	-13.29011213	-93.56282169
2016-03-07	3	-14.44923203	-104.7013657
2016-03-08	4.1	-18.3948688	-140.1589569
2016-03-09	1.1	-13.68057619	-104.5230486
2016-03-16	0.3	-7.415608246	-58.67706623
2016-03-21	1.2	-16.48271456	-113.3722752
2016-03-23	2.5	-15.0671504	-108.1652255
2016-03-29	1.4	-18.4330456	-145.9417452
2016-03-30	0.9	-9.752574377	-70.43389301
2016-04-05	0.8	-9.651992673	-70.00099881
2016-04-06	7.1	-16.08106715	-118.9825643
2016-04-07	15.2	-12.13975023	-87.02082361
2016-04-15	0.4	-9.310867195	-64.78891226
2016-04-18	5.7	-11.39917099	-80.71680397
2016-04-20	1.9	-18.50689581	-142.4365319
2016-04-21	0.5	-12.08104572	-98.48249222
2016-04-25	7.8	-17.00730797	-127.1901296
2016-04-26	8.8	-17.88845546	-133.7070966
2016-04-27	12.7	-14.1473602	-102.0844398
2016-04-29	11.1	-10.85100454	-73.8232616
2016-05-10	2.8	-10.15333037	-71.0991707
2016-05-13	1.6	-10.54542317	-82.57988429
2016-05-18	0.3	-8.167359164	-59.79116644
2016-05-19	5.1	-10.76912852	-76.9352333
2016-05-23	1.4	-4.988040028	-39.98682918
2016-05-25	4.9	-7.031986731	-53.35396773
2016-06-10	19.3	-12.94603585	-91.59377304
2016-06-20	23.7	-9.13587199	-64.91447657
2016-06-21	0.8	-7.171768435	-55.90564557
2016-06-21	1.5	-6.102875258	-51.54895659
2016-06-22	0.4	-6.924478847	-55.46934236
2016-06-26	30.5	-9.528213123	-73.30995075
2016-06-27	7.2	-7.613266016	-50.44496279
2016-06-28	0.7	-6.623538104	-45.21521462
2016-07-04	27.8	-6.493676023	-46.0649961
2016-07-11	10.9	-7.933936693	-62.35590311
2016-07-13	6	-11.40017518	-79.08796778
2016-07-14	12.9	-12.70164113	-88.62390294
2016-07-15	12.7	-8.943249475	-69.681478
2016-07-18	12.7	-9.244225116	-75.35201628
2016-07-27	12.7	-10.06686137	-73.52197859
2016-07-29	2.6	-8.872873433	-64.71477466
2016-08-01	8	-11.00470113	-80.17734489
2016-08-08	13.6	-9.90341057	-75.90193826
2016-08-09	25.7	-11.59635732	-82.8625299
2016-08-10	3.5	-14.04589178	-108.0398836
2016-08-11	14.1	-13.23011202	-93.21419534
2016-08-15	14.2	-17.05561466	-130.8330141
2016-08-22	10.7	-10.37897133	-71.89628034
2016-08-23	5.4	-12.96516428	-95.03671216
2016-08-25	3.6	-11.06418282	-80.93455027
2016-08-29	12.6	-9.78505077	-73.10693288
2016-09-02	6	-13.48377427	-107.521081
2016-09-05	0.4	-7.128301317	-57.51928704
2016-09-07	1.5	-7.008789509	-56.12938606
2016-09-12	2.4	-6.204142152	-41.66955366
2016-09-23	1.3	-8.589231151	-57.72083762
2016-09-24	0.3	-12.931431	-89.23248342
2016-09-26	0.3	-10.39317842	-73.96595374
2016-09-29	11.3	-8.158681505	-51.4003024
2016-09-30	14.1	-13.09305787	-95.78851432
2016-10-17	0.7	-12.70340107	-83.05855968
2016-10-31	0.6	-12.5112401	-77.12802118
2016-11-02	0.2	-14.8671193	-106.4939214
2016-11-16	8.2	-18.10865368	-135.2353395
2016-11-17	10.7	-15.77569383	-118.3385475
2016-11-18	4.2	-10.76858285	-73.35610536
2016-11-21	9.5	-12.64598338	-89.75125834
2016-11-22	2.8	-13.62829751	-97.77457741
2016-11-23	3.1	-12.69569388	-91.57630947
2016-11-24	3.8	-14.96924813	-110.3709185
2016-11-26	0.15	-14.11544213	-102.6946937
2016-11-28	13.7	-17.13189596	-127.8183495
2016-11-29	0.2	-12.63132849	-90.45234932
2016-12-01	2.2	-16.26282818	-121.3753097
2016-12-05	3.2	-11.97381803	-81.20332733
2016-12-09	0.2	-20.19549871	-152.6739766
2016-12-13	1.2	-12.24764201	-82.15389528
