Date,Amount(mm),d18O,d2H,Location,Type,Lat,Lon
2003-06-06,14.6,-7.5,-57.5,Krycklan,Precipitation,64.233333,19.766667
2003-06-09,6.1,-9.2,-66.9,Krycklan,Precipitation,64.233333,19.766667
2003-06-16,6.8,-11.0,-76.1,Krycklan,Precipitation,64.233333,19.766667
2003-06-20,1.4,-8.6,-57.8,Krycklan,Precipitation,64.233333,19.766667
2003-06-30,1.5,-6.7,-53.4,Krycklan,Precipitation,64.233333,19.766667
2003-07-07,34.7,-11.6,-82.7,Krycklan,Precipitation,64.233333,19.766667
2003-07-21,48.1,-11.2,-81.3,Krycklan,Precipitation,64.233333,19.766667
2003-07-24,27.4,-12.2,-86.2,Krycklan,Precipitation,64.233333,19.766667
2003-07-28,10.6,-7.8,-54.2,Krycklan,Precipitation,64.233333,19.766667
2003-08-04,19.8,-8.5,-59.0,Krycklan,Precipitation,64.233333,19.766667
2003-08-08,1.6,-9.7,-79.6,Krycklan,Precipitation,64.233333,19.766667
2003-08-13,8.3,-7.5,-55.7,Krycklan,Precipitation,64.233333,19.766667
2003-08-14,60.9,-11.1,-75.8,Krycklan,Precipitation,64.233333,19.766667
2003-08-15,15.4,-11.7,-78.8,Krycklan,Precipitation,64.233333,19.766667
2003-08-16,1.0,-10.7,-75.3,Krycklan,Precipitation,64.233333,19.766667
2003-08-20,2.0,-8.8,-61.6,Krycklan,Precipitation,64.233333,19.766667
2003-08-21,6.9,-9.6,-62.5,Krycklan,Precipitation,64.233333,19.766667
2003-08-22,2.9,-15.3,-115.6,Krycklan,Precipitation,64.233333,19.766667
2003-08-27,5.6,-14.1,-101.6,Krycklan,Precipitation,64.233333,19.766667
2003-08-28,3.6,-13.9,-104.4,Krycklan,Precipitation,64.233333,19.766667
2003-08-29,2.5,-13.7,-101.8,Krycklan,Precipitation,64.233333,19.766667
2003-09-01,11.3,-14.4,-104.7,Krycklan,Precipitation,64.233333,19.766667
2003-09-22,1.2,-9.0,-65.8,Krycklan,Precipitation,64.233333,19.766667
2003-09-23,3.0,-8.5,-56.2,Krycklan,Precipitation,64.233333,19.766667
2003-09-24,21.9,-8.0,-51.8,Krycklan,Precipitation,64.233333,19.766667
2003-09-28,13.1,-11.3,-77.4,Krycklan,Precipitation,64.233333,19.766667
2003-09-29,2.2,-12.6,-85.1,Krycklan,Precipitation,64.233333,19.766667
2003-09-30,1.8,-13.8,-94.3,Krycklan,Precipitation,64.233333,19.766667
2003-10-01,4.9,-12.8,-82.9,Krycklan,Precipitation,64.233333,19.766667
2003-10-02,0.2,-11.7,-77.4,Krycklan,Precipitation,64.233333,19.766667
2003-10-04,5.5,-9.2,-60.9,Krycklan,Precipitation,64.233333,19.766667
2003-10-06,8.8,-11.4,-83.1,Krycklan,Precipitation,64.233333,19.766667
2003-10-13,1.6,-10.6,-74.7,Krycklan,Precipitation,64.233333,19.766667
2003-10-27,1.3,-23.8,-175.8,Krycklan,Precipitation,64.233333,19.766667
2003-10-28,4.1,-12.3,-87.3,Krycklan,Precipitation,64.233333,19.766667
2003-11-01,7.0,-14.7,-104.7,Krycklan,Precipitation,64.233333,19.766667
2003-11-03,8.7,-17.4,-127.6,Krycklan,Precipitation,64.233333,19.766667
2003-11-04,4.3,-11.2,-79.7,Krycklan,Precipitation,64.233333,19.766667
2003-11-26,2.1,-11.6,-74.2,Krycklan,Precipitation,64.233333,19.766667
2003-11-28,5.2,-13.8,-104.1,Krycklan,Precipitation,64.233333,19.766667
2003-12-01,1.8,-9.9,-69.6,Krycklan,Precipitation,64.233333,19.766667
2003-12-15,9.7,-19.3,-147.2,Krycklan,Precipitation,64.233333,19.766667
2003-12-17,1.6,-21.4,-165.5,Krycklan,Precipitation,64.233333,19.766667
2003-12-18,1.7,-17.0,-125.4,Krycklan,Precipitation,64.233333,19.766667
2004-01-07,3.2,-16.2,-118.7,Krycklan,Precipitation,64.233333,19.766667
2004-01-08,4.1,-18.3,-137.1,Krycklan,Precipitation,64.233333,19.766667
2004-01-13,4.0,-17.9,-127.9,Krycklan,Precipitation,64.233333,19.766667
2004-01-28,5.6,-19.8,-146.7,Krycklan,Precipitation,64.233333,19.766667
2004-01-29,2.3,-20.4,-145.8,Krycklan,Precipitation,64.233333,19.766667
2004-01-31,8.4,-21.7,-170.3,Krycklan,Precipitation,64.233333,19.766667
2004-02-04,10.3,-20.1,-155.7,Krycklan,Precipitation,64.233333,19.766667
2004-02-05,2.9,-15.9,-122.2,Krycklan,Precipitation,64.233333,19.766667
2004-02-06,1.7,-18.9,-142.7,Krycklan,Precipitation,64.233333,19.766667
2004-02-16,1.3,-12.5,-92.9,Krycklan,Precipitation,64.233333,19.766667
2004-02-25,13.5,-14.8,-102.7,Krycklan,Precipitation,64.233333,19.766667
2004-02-26,2.0,-11.4,-75.7,Krycklan,Precipitation,64.233333,19.766667
2004-03-02,3.2,-12.9,-91.2,Krycklan,Precipitation,64.233333,19.766667
2004-03-22,23.8,-16.4,-122.6,Krycklan,Precipitation,64.233333,19.766667
2004-03-25,4.6,-18.6,-142.5,Krycklan,Precipitation,64.233333,19.766667
2004-05-10,2.7,-4.7,-43.2,Krycklan,Precipitation,64.233333,19.766667
2004-05-11,1.9,-10.4,-72.0,Krycklan,Precipitation,64.233333,19.766667
2004-05-13,1.6,-15.7,-109.2,Krycklan,Precipitation,64.233333,19.766667
