Date	Location 	Type	d18O	d2H
21/01/2020	Pallas	Snowfall	-17.25	-135.29
24/01/2020	Pallas	Snowfall	-19.32	-147.64
27/01/2020	Pallas	Snowfall	-13.57	-82.63
28/01/2020	Pallas	Snowfall	-19.94	-139.41
29/01/2020	Pallas	Snowfall	-19.02	-139.52
30/01/2020	Pallas	Snowfall	-18.14	-131.86
31/01/2020	Pallas	Snowfall	-18.53	-135.5
31/01/2020	Pallas	Snowfall	-19.54	-144.93
03/02/2020	Pallas	Snowfall	-21.02	-159.52
07/02/2020	Pallas	Snowfall	-16.87	-129.32
10/02/2020	Pallas	Snowfall	-19.39	-154.92
11/02/2020	Pallas	Snowfall	-14.74	-117.37
13/02/2020	Pallas	Snowfall	-14.08	-104.51
17/02/2020	Pallas	Snowfall	-17.74	-136.36
19/02/2020	Pallas	Snowfall	-17.52	-133.64
21/02/2020	Pallas	Snowfall	-14.19	-105.64
24/02/2020	Pallas	Snowfall	-15.36	-121.08
09/03/2020	Pallas	Snowfall	-14.78	-112.55
11/03/2020	Pallas	Snowfall	-10.65	-78.17
12/03/2020	Pallas	Snowfall	-12.12	-91.97
13/03/2020	Pallas	Snowfall	-15.55	-119.25
16/03/2020	Pallas	Snowfall	-20.67	-157.43
18/03/2020	Pallas	Snowfall	-15.86	-123.32
30/03/2020	Pallas	Snowfall	-8.7	-76.17
01/04/2020	Pallas	Snowfall	-23.87	-189.46
28/04/2020	Pallas	Snowfall	-7.72	-59.94
04/05/2020	Pallas	Rainfall	-8.59	-66.01
06/06/2020	Pallas	RainFall	-9.91	-73.75
07/06/2020	Pallas	RainFall	-15.12	-112.02
16/06/2020	Pallas	RainFall	-4.53	-50.31
30/06/2020	Pallas	Rainfall	-14.54	-103.89
02/07/2020	Pallas	Rainfall	-14.85	-111.49
03/07/2020	Pallas	Rainfall	-12.23	-107.96
06/07/2020	Pallas	Rainfall	-17.27	-126.43
07/07/2020	Pallas	Rainfall	-10.16	-80.53
08/07/2020	Pallas	Rainfall	-15.02	-111.09
09/07/2020	Pallas	Rainfall	-15.46	-118.47
10/07/2020	Pallas	Rainfall	-12.99	-99.82
13/07/2020	Pallas	Rainfall	-12.73	-98.56
15/07/2020	Pallas	Rainfall	-9.93	-77.32
17/07/2020	Pallas	Rainfall	-11.34	-93.58
20/07/2020	Pallas	RainFall	-6.05	-40.04
21/07/2020	Pallas	Rainfall	-7	-51.5
22/07/2020	Pallas	Rainfall	-9.91	-69.81
23/07/2020	Pallas	Rainfall	-8.69	-57.37
24/07/2020	Pallas	Rainfall	-9.76	-68.78
27/07/2020	Pallas	Rainfall	-13.01	-93.88
06/08/2020	Pallas	Rainfall	-11.21	-89.64
10/08/2020	Pallas	Rainfall	-9.46	-67.3
11/08/2020	Pallas	Rainfall	-7.25	-60.73
17/08/2020	Pallas	Rainfall	-8.79	-66.21
18/08/2020	Pallas	Rainfall	-8.77	-70.92
20/08/2020	Pallas	Rainfall	-10.73	-81.34
21/08/2020	Pallas	Rainfall	-8.23	-56.92
24/08/2020	Pallas	Rainfall	-8.85	-68.14
25/08/2020	Pallas	Rainfall	-13.86	-106.33
26/08/2020	Pallas	Rainfall	-12.56	-91.82
27/08/2020	Pallas	Rainfall	-13.12	-95.98
28/08/2020	Pallas	Rainfall	-8.06	-61.54
31/08/2020	Pallas	Rainfall	-10.89	-71.99
08/09/2020	Pallas	Rainfall	-11.07	-79.64
09/09/2020	Pallas	Rainfall	-11.14	-85.37
10/09/2020	Pallas	Rainfall	-9.86	-77.53
15/09/2020	Pallas	Rainfall	-13.26	-96.8
22/09/2020	Pallas	Rainfall	-16.49	-123.83
25/09/2020	Pallas	Rainfall	-7.62	-49.73
29/09/2020	Pallas	Rainfall	-10.47	-69.63
01/10/2020	Pallas	Rainfall	-8.4	-56.26
06/10/2020	Pallas	Rainfall	-11.54	-76.4
09/10/2020	Pallas	Rainfall	-10.76	-71.4
12/10/2020	Pallas	Rainfall	-13.85	-100.49
13/10/2020	Pallas	Rainfall	-20.81	-157.82
14/10/2020	Pallas	Rainfall	-14.22	-99.53
15/10/2020	Pallas	Rainfall	-10.83	-75.58
21/10/2020	Pallas	Snowfall	-14.01	-97.41
22/10/2020	Pallas	Snowfall	-22.87	-166.94
