Lat,Lon,Alt,Year,JulianDay_Sin,Temp,Precip,O18,H2,O18 P,H2 P
52.3,104.2833333,427.25,2011,0.29671281927349075,283.98486,0.0,-14.0,-111.2,-12.965623,-94.73635
52.3,104.2833333,427.25,2011,-0.2135209154397959,296.2911,2.2211607e-05,-9.7,-74.1,-12.940522,-94.53542
52.3,104.2833333,427.25,2011,-0.680773409477016,289.3462,4.754567e-05,-14.2,-101.4,-12.940522,-94.53542
52.3,104.2833333,427.25,2011,-0.9587178169872964,285.0388,0.0,-13.1,-108.0,-13.003274,-95.03774
52.3,104.2833333,427.25,2011,-0.9741004551724206,270.80997,0.0,-17.3,-127.0,-19.843218,-149.79056
52.3,104.2833333,427.25,2011,-0.7236440382959123,267.4311,0.0,-30.1,-224.1,-21.512415,-163.15225
52.3,104.2833333,427.25,2011,-0.2884824328806098,245.5639,0.0,-27.3,-208.7,-21.637918,-164.15689
52.3,104.2833333,427.25,2012,0.2386727660059501,261.34137,5.3495005e-06,-29.0,-218.7,-21.637918,-164.15689
52.3,104.2833333,427.25,2012,0.6994583270516471,252.67146,1.175598e-05,-26.4,-207.4,-21.637918,-164.15689
52.3,104.2833333,427.25,2012,0.2802306751992159,285.04517,2.3862134e-05,-10.0,-91.8,-12.953073,-94.63589
52.3,104.2833333,427.25,2012,-0.23030567023061196,288.55252,0.0,-13.0,-100.8,-12.940522,-94.53542
52.3,104.2833333,427.25,2012,-0.6932812268869771,293.38803,2.9586212e-05,-11.0,-87.1,-12.940522,-94.53542
52.3,104.2833333,427.25,2012,-0.9634705485641486,282.70758,1.6699816e-05,-15.0,-107.9,-13.028375,-95.23867
52.3,104.2833333,427.25,2012,-0.970063921851507,273.24136,0.0,-29.9,-225.5,-16.73073,-124.87551
52.3,104.2833333,427.25,2012,-0.7116566222817751,259.9701,0.0,-22.3,-165.9,-21.637918,-164.15689
52.3,104.2833333,427.25,2013,0.2386727660059501,255.33873,0.0,-29.2,-226.2,-21.637918,-164.15689
52.3,104.2833333,427.25,2013,0.6994583270516471,262.44476,0.0,-30.7,-251.3,-21.637918,-164.15689
52.3,104.2833333,427.25,2013,0.9510565162951535,272.0206,0.0,-21.8,-169.2,-17.621805,-132.00845
52.3,104.2833333,427.25,2013,0.9760105506323683,273.59277,0.0,-12.6,-86.7,-16.680529,-124.473656
52.3,104.2833333,427.25,2013,0.741222010848596,290.72104,0.0,-12.8,-103.1,-12.940522,-94.53542
52.3,104.2833333,427.25,2013,0.29671281927349075,288.98105,0.0,-12.7,-99.7,-12.940522,-94.53542
52.3,104.2833333,427.25,2013,-0.2135209154397959,288.6188,0.0,-12.2,-103.6,-12.940522,-94.53542
52.3,104.2833333,427.25,2013,-0.680773409477016,291.16858,0.0,-10.9,-86.0,-12.940522,-94.53542
52.3,104.2833333,427.25,2013,-0.9587178169872964,282.2556,0.0,-15.7,-117.2,-13.028375,-95.23867
52.3,104.2833333,427.25,2013,-0.9741004551724206,270.29587,0.0,-16.3,-120.7,-20.734293,-156.9235
52.3,104.2833333,427.25,2014,-0.2884824328806098,266.30817,1.1362139e-05,-29.6,-230.5,-21.550066,-163.45364
52.3,104.2833333,427.25,2015,0.2386727660059501,254.0976,0.0,-27.6,-215.2,-21.637918,-164.15689
52.3,104.2833333,427.25,2015,0.6994583270516471,255.59766,0.0,-25.9,-211.2,-21.637918,-164.15689
52.3,104.2833333,427.25,2015,0.9510565162951535,264.8988,0.0,-21.7,-175.3,-21.587717,-163.75504
52.3,104.2833333,427.25,2015,0.9760105506323683,274.89346,0.0,-15.3,-112.3,-14.923478,-110.408714
52.3,104.2833333,427.25,2015,0.741222010848596,284.80615,0.0,-10.7,-84.6,-12.953073,-94.63589
52.3,104.2833333,427.25,2015,0.29671281927349075,289.6717,0.0,-14.3,-107.2,-12.940522,-94.53542
52.3,104.2833333,427.25,2015,-0.2135209154397959,292.13568,0.00010476876,-9.4,-61.8,-12.940522,-94.53542
52.3,104.2833333,427.25,2015,-0.680773409477016,286.79733,5.4737215e-05,-12.1,-85.6,-12.940522,-94.53542
52.3,104.2833333,427.25,2015,-0.9587178169872964,279.96805,0.0,-16.3,-127.3,-13.091126,-95.74099
52.3,104.2833333,427.25,2015,-0.9741004551724206,278.67822,0.0,-20.7,-158.7,-13.191529,-96.5447
52.3,104.2833333,427.25,2015,-0.7236440382959123,271.8202,0.0,-21.3,-169.8,-17.923014,-134.41959
52.3,104.2833333,427.25,2015,-0.2884824328806098,261.45505,0.0,-25.5,-201.8,-21.637918,-164.15689
52.3,104.2833333,427.25,2016,0.2386727660059501,237.81444,0.0,-33.8,-269.6,-21.637918,-164.15689
52.3,104.2833333,427.25,2016,0.6994583270516471,256.34158,0.0,-26.1,-209.1,-21.637918,-164.15689
52.3,104.2833333,427.25,2016,0.9562348265919056,273.4593,0.0,-26.0,-202.9,-16.73073,-124.87551
52.3,104.2833333,427.25,2016,0.9721181966290613,276.23322,0.0,-12.5,-102.1,-13.58059,-99.65908
52.3,104.2833333,427.25,2016,0.7295575540864875,285.2303,0.0,-16.4,-124.2,-12.953073,-94.63589
52.3,104.2833333,427.25,2016,0.2802306751992159,295.30023,0.0,-12.4,-103.6,-12.940522,-94.53542
52.3,104.2833333,427.25,2016,-0.23030567023061196,295.5241,0.0,-10.9,-82.7,-12.940522,-94.53542
52.3,104.2833333,427.25,2016,-0.6932812268869771,291.53262,0.0,-12.1,-89.8,-12.940522,-94.53542
52.3,104.2833333,427.25,2016,-0.9634705485641486,281.7547,6.515779e-05,-14.6,-109.1,-13.040925,-95.339134
52.3,104.2833333,427.25,2016,-0.970063921851507,278.09888,3.4144956e-05,-27.5,-202.8,-13.22918,-96.84609
52.3,104.2833333,427.25,2016,-0.7116566222817751,266.15433,0.0,-27.8,-210.5,-21.575167,-163.65457
52.3,104.2833333,427.25,2016,-0.27195815753410524,254.54556,4.3128384e-06,-26.4,-201.1,-21.637918,-164.15689
52.3,104.2833333,427.25,2012,-0.27195815753410524,256.0939,0.0,-35.1,-262.7,-21.637918,-164.15689
52.3,104.2833333,427.25,2017,0.9510565162951535,260.47137,0.0,-17.6,-126.8,-21.637918,-164.15689
52.3,104.2833333,427.25,2017,0.9760105506323683,270.12485,0.0,-20.9,-152.0,-21.048052,-159.43509
52.3,104.2833333,427.25,2017,0.2386727660059501,256.59677,0.0,-30.3,-230.6,-21.637918,-164.15689
52.3,104.2833333,427.25,2017,0.6994583270516471,260.36813,0.0,-25.9,-194.9,-21.637918,-164.15689
47.54260867,7.58371693,304.73438,2004,0.2386727660059501,274.69434,0.0,-11.9,-88.50962751,-11.399313,-82.388695
47.54260867,7.58371693,304.73438,2004,0.6994583270516471,276.20032,0.0,-9.88,-66.74413536,-11.327313,-81.83187
47.54260867,7.58371693,304.73438,2004,0.9562348265919056,279.2048,0.0,-9.69,-71.5587575,-10.242279,-73.44027
47.54260867,7.58371693,304.73438,2004,0.9721181966290613,284.02167,0.0001690366,-6.1,-40.66799847,-7.752402,-54.185818
47.54260867,7.58371693,304.73438,2004,0.7295575540864875,288.99155,3.2743297e-05,-7.01,-50.25006643,-6.694093,-46.001278
47.54260867,7.58371693,304.73438,2004,0.2802306751992159,283.889,0.00010311205,-7.21,-53.83051048,-7.800319,-54.5563
47.54260867,7.58371693,304.73438,2004,-0.23030567023061196,294.9553,0.00014510812,-5.49,-34.72560691,-6.475822,-44.31338
47.54260867,7.58371693,304.73438,2004,-0.6932812268869771,292.1178,0.0,-4.8,-31.50057387,-6.456655,-44.165188
47.54260867,7.58371693,304.73438,2004,-0.9634705485641486,289.50723,0.0,-4.92,-31.38678091,-7.243489,-50.249905
47.54260867,7.58371693,304.73438,2004,-0.970063921851507,282.97815,7.0730985e-06,-10.75,-76.42100974,-7.4521766,-51.863705
47.54260867,7.58371693,304.73438,2004,-0.7116566222817751,282.98523,0.0,-10.49,-75.39648751,-8.107979,-56.936184
47.54260867,7.58371693,304.73438,2004,-0.27195815753410524,279.3189,3.385527e-05,-13.22,-98.71358212,-10.146444,-72.6993
47.54260867,7.58371693,304.73438,2005,0.2386727660059501,279.46838,0.00014786229,-6.66,-42.77138547,-10.016573,-71.6946
47.54260867,7.58371693,304.73438,2005,0.6994583270516471,280.56467,3.187112e-05,-15.78,-115.1328526,-8.936949,-63.345547
47.54260867,7.58371693,304.73438,2005,0.9510565162951535,280.88824,3.2876374e-05,-8.02,-59.70485452,-8.769238,-62.048855
47.54260867,7.58371693,304.73438,2005,0.9760105506323683,288.3,0.0,-8.51,-58.19910378,-6.7664638,-46.561398
47.54260867,7.58371693,304.73438,2005,0.741222010848596,293.8865,0.0,-6.95,-48.05079866,-6.3917193,-43.662838
