Lat,Lon,Alt,Year,JulianDay_Sin,Temp,Precip,O18 A,H2 A,O18 P,H2 P
11.12,124.62,231.36719,1998.0,0.29671281927349075,301.1888427734375,7.127512799343094e-05,-7.15,-47.6,-5.348555564880371,-32.450218200683594
37.1644591,-5.611393166,86.394531,2013.0,0.9510565162951535,289.4898681640625,0.0,-3.87,-22.8,-4.954889297485352,-29.234426498413086
29.35541116,34.96028149,7.939209,1969.0,0.2386727660059501,290.5974426269531,0.0,-1.05,1.2,-3.1073899269104004,-14.14253044128418
42.033333,43.483333,1077.1875,2017.0,-0.2135209154397959,297.6083679199219,4.415451621753164e-05,-3.27,-22.2,-4.969902515411377,-30.911144256591797
64.69939722,-148.2525028,121.98047,2004.0,0.36171373072976765,293.9618225097656,0.0,-16.63,-130.9,-16.054597854614258,-119.90596771240234
-16.49888889,-68.12305556,3582.75,2000.0,0.6994583270516471,279.49041748046875,6.722265243297443e-05,-15.47,-110.65,-14.070855140686035,-103.70113372802734
48.22,11.59,494.59375,1995.0,-0.2135209154397959,290.3919372558594,0.0,-4.96,-28.3,-7.609684944152832,-50.920982360839844
-34.05,115.0249,77.78125,2007.0,-0.47115950767386394,288.12481689453125,4.889923002338037e-05,-2.04,-1.0,-3.470024824142456,-15.642075538635254
52.1,5.18,1.7967529,1981.0,-0.2884824328806098,275.7855834960937,0.0,-11.09,-69.2,-8.043978691101074,-54.468650817871094
46.22030867,7.33848445,481.70312,2001.0,0.29671281927349075,288.6055603027344,0.0,-5.2,-40.9,-6.4665117263793945,-41.582603454589844
51.83,6.25,9.5,1993.0,0.9510565162951535,279.7039489746094,6.891664270369802e-06,-6.74,-49.7,-7.620892524719238,-51.012535095214844
18.47,-70.02,1.0,1996.0,0.2802306751992159,299.085205078125,0.0,-2.44,-11.35,-2.1897780895233154,-5.476678848266602
-0.37,-78.55,3064.0,2018.0,0.2386727660059501,288.22540283203125,4.760956289828755e-05,-12.43,-90.2,-10.484429359436035,-74.40425872802734
48.24861111,16.35638889,200.63281,1979.0,0.2386727660059501,269.9031066894531,0.0,-19.18,-140.6,-13.174248695373535,-96.37691497802734
51.1622,14.9506,238.80469,2012.0,-0.23030567023061196,291.5385437011719,1.950140540429857e-05,-5.75,-37.8,-6.402068138122559,-41.056175231933594
22.31666667,114.1666667,34.056641,2004.0,-0.6932812268869771,301.2602844238281,0.0001875762100098,-7.26,-48.5,-7.500411033630371,-50.028343200683594
32.63333333,-16.9,0.0,2004.0,-0.970063921851507,290.4496154785156,0.0,-1.98,-10.6,-3.356173038482666,-15.322468757629395
48.8281,9.2,313.79688,1983.0,-0.2884824328806098,274.1112976074219,4.063042069901712e-05,-7.92,-64.0,-10.148201942443848,-71.65767669677734
33.96666667,-4.983333333,500.04688,2017.0,0.2386727660059501,280.8715209960937,0.0002190735831391,-5.95,-26.4,-5.539084434509277,-34.006614685058594
4.036666667,9.734166667,39.230469,2010.0,-0.680773409477016,299.4111328125,0.0,-1.265224179,-1.106035282,-2.523247480392456,-8.361043930053711
43.73238889,7.423583333,8.8959961,2014.0,0.9510565162951535,282.3019714355469,0.0,-7.43,-52.5,-5.9733781814575195,-37.554283142089844
39.46666667,-6.333333333,410.0,2021.0,0.9760105506323683,290.2076416015625,0.0,-4.4,-26.4,-6.012604713439941,-37.874717712402344
76.76666667,-18.66666667,0.0,2010.0,0.9510565162951535,250.54205322265625,0.0,-23.37,-177.3,-19.5401554107666,-148.3788604736328
-33.11011944,-64.24918333,408.09375,2020.0,-0.970063921851507,292.9140014648437,0.0,-2.38,-2.1,-2.0294506549835205,-3.709981918334961
46.95222563,7.439320571,542.53125,1986.0,-0.2884824328806098,270.1028137207031,4.848729804507457e-05,-11.0,-77.2,-13.941967964172363,-102.64827728271484
51.93,-10.25,33.068359,1980.0,-0.970063921851507,286.6293640136719,0.000149682367919,-5.57,-36.2,-5.193050384521484,-31.179922103881836
36.83,10.23,0.0,1977.0,0.741222010848596,296.5929260253906,0.0,0.3,-4.5,-2.8361144065856934,-10.992767333984375
45.46666667,13.61666667,0.5645752,2003.0,0.03442161162274574,278.73394775390625,0.0,-3.57,-23.78,-9.677483558654785,-67.81246185302734
-22.399288,-47.543743,626.78125,2017.0,0.9760105506323683,296.8645935058594,0.0,-7.11,-45.5,-6.572983741760254,-42.452354431152344
45.37,-63.27,12.535156,1982.0,0.6994583270516471,272.5054016113281,4.434667062014341e-05,-12.3,-86.0,-12.294453620910645,-89.19002532958984
22.32555556,-81.18527778,4.9055176,1984.0,-0.23030567023061196,300.0343017578125,9.13260446395725e-05,-1.12,0.6,-2.328900098800659,-7.018709182739258
22.31666667,114.1666667,34.056641,2013.0,-0.9587178169872964,300.97802734375,7.102370000211522e-05,-7.49,-47.2,-7.029692649841309,-46.183128356933594
46.65772518,8.292706832,1061.3125,2006.0,-0.9587178169872964,284.7343139648437,0.0002205022174166,-12.25,-90.04,-9.571011543273926,-66.94271087646484
-15.6,-56.1,177.79688,1968.0,-0.9634705485641486,302.50323486328125,2.175461304432247e-05,-0.55,11.0,-1.511124849319458,2.017190933227539
50.06166667,19.84861111,356.8125,1991.0,0.741222010848596,289.7830810546875,0.0001755660341586,-9.07,-58.4,-8.46706485748291,-57.924766540527344
6.906666667,79.87,14.911133,1985.0,0.29671281927349075,300.8658752441406,2.813183527905494e-05,-1.12,-12.3,-3.7351620197296143,-19.161148071289062
-5.22,145.8,2.7424316,1974.0,0.9510565162951535,295.0628356933594,7.698417903156951e-05,-9.79,-66.6,-9.212368965148926,-64.01302337646484
15.65944444,0.5,248.89844,2000.0,-0.23030567023061196,303.6113586425781,0.0,-3.16,-17.0,-3.3918497562408447,-16.209163665771484
28.276976,84.30961,2101.5,2017.0,-0.8165380514459157,296.3512268066406,0.0004860494227614,-12.78528588,-89.9301422,-10.181824684143066,-71.93233489990234
9.357072,-75.289167,200.4375,2015.0,0.29671281927349075,302.38702392578125,0.0,-5.09,-35.8,-6.886795997619629,-45.015830993652344
14.97219444,-87.97477778,926.03125,2009.0,-0.2884824328806098,295.956787109375,1.2004803465970326e-05,-4.94,-24.2,-6.808342933654785,-44.374961853027344
-18.9,47.53,1259.9375,1974.0,0.9510565162951535,290.38580322265625,3.520583049976267e-05,-9.75,-64.8,-6.718682289123535,-43.642539978027344
-33.95833333,18.46111111,109.49609,2001.0,0.6807734094770161,292.05078125,0.0,-1.22,1.0,-2.7667768001556396,-10.474813461303711
33.21722222,-87.54305556,64.535156,2007.0,-0.3697245428906732,288.2062072753906,0.0,-2.5,-11.5,-3.910881996154785,-20.48733139038086
23.95277778,90.27916667,23.626953,2021.0,0.9760105506323683,304.3158264160156,0.0,1.23,18.7,-2.378312110900879,-0.13631534576416016
-46.42,168.32,-0.90939331,2014.0,-0.2884824328806098,286.3773498535156,0.0,-5.82,-40.7,-6.337624549865723,-40.529747009277344
49.19472222,-123.0172222,1.3475342,2018.0,-0.2884824328806098,281.0718688964844,0.0002342849911656,-11.59,-81.8,-12.479378700256348,-90.70064544677734
-15.6,-56.1,177.79688,1965.0,0.9760105506323683,302.1986694335937,0.0,-10.8,-71.9,-5.897727012634277,-36.936302185058594
28.58,77.2,222.79688,1982.0,-0.2884824328806098,289.7113952636719,0.0004706389736384,2.65,20.1,-1.8205420970916748,-1.4016742706298828
-16.49888889,-68.12305556,3582.75,1999.0,0.9760105506323683,280.9307556152344,3.0398457965929992e-05,-14.06,-99.35,-14.889008522033691,-110.38448333740234
1.685556,33.616389,1096.9375,2019.0,-0.7236440382959123,297.0490417480469,0.0,-7.89,-54.2,-1.9850108623504639,-3.2189502716064453
68.78666667,-81.25,7.5170898,1989.0,0.9760105506323683,253.0947265625,0.0,-30.74,-227.8,-30.052865982055664,-234.2553253173828
58.38277778,21.81416667,5.9343262,2016.0,-0.9634705485641486,289.0082092285156,0.0,-6.35,-45.7,-8.797688484191895,-60.625572204589844
51.93,-10.25,33.068359,1963.0,0.2386727660059501,282.9962158203125,7.680254930164665e-05,-7.6,-47.7,-5.707198143005371,-35.379905700683594
44.42,8.85,5.4519043,1985.0,0.9760105506323683,287.9234619140625,1.6009556929930113e-05,-2.38,-8.6,-5.254692077636719,-31.683462142944336
45.80666667,15.97,120.36328,1984.0,-0.6932812268869771,296.5015869140625,0.0,-5.84,-37.5,-6.374049186706543,-40.827293395996094
36.78,3.052222222,139.10156,2002.0,-0.2884824328806098,286.0510559082031,2.1980049496050924e-05,-7.19,-47.6,-5.7043962478637695,-35.357017517089844
43.49111613,-3.800555816,50.095703,2016.0,-0.7116566222817751,279.2656555175781,3.733546327566728e-05,-8.13,-46.2,-5.144017219543457,-30.77937889099121
-21.2,-159.8,7.8220215,1981.0,-0.680773409477016,294.0285949707031,1.2776366929756476e-05,-1.9,-3.1,-3.3023219108581543,-15.62954044342041
47.4828,11.0622,716.1875,2006.0,0.9760105506323683,271.7397766113281,4.671974238590337e-05,-10.01,-79.3,-11.3193941116333,-81.22493743896484
-17.83,31.02,1473.25,1975.0,0.2386727660059501,292.3970031738281,0.0001082303933799,-4.61,-21.5,-5.833283424377441,-36.409873962402344
-16.00555556,-69.7,3830.0,2000.0,0.2386727660059501,280.8116149902344,0.0,-15.66,-112.2,-16.79429817199707,-125.94844818115234
50.4972,9.9428,920.40625,1995.0,-0.680773409477016,294.5868530273437,0.0,-7.16,-46.5,-8.122431755065918,-55.109519958496094
46.72738634,8.186782163,600.90625,2023.0,-0.680773409477016,283.7385559082031,0.0,-7.55,-53.64,-7.845044136047363,-52.843589782714844
40.80638889,-104.7547222,1641.75,1996.0,0.9992500112396835,273.2543029785156,5.563271770370193e-05,-9.3,-66.0,-15.426972389221191,-114.77901458740234
42.85,-80.27,228.9375,1982.0,0.6994583270516471,270.58575439453125,0.0,-14.7,-104.0,-13.157437324523926,-96.23958587646484
50.7311,13.7514,876.875,2012.0,-0.27195815753410524,279.1268005371094,2.2445115973823704e-05,-14.06,-101.6,-11.06722354888916,-79.16500091552734
-27.43,153.08,5.7802734,2004.0,0.7295575540864875,291.74053955078125,3.387355536688119e-05,-6.52,-43.5,-3.5026655197143555,-15.939178466796875
52.8911,11.7294,21.530273,2010.0,0.2386727660059501,268.6802062988281,0.0,-12.15,-86.8,-11.560357093811035,-83.19332122802734
