Lat,Lon,Alt,Year,JulianDay_Sin,O18 A,H2 A,O18 P,H2 P
53.8713,8.7058,5.0,2001.0,0.6994583270516471,-8.15,-57.0,-7.789124488830566,-54.5908317565918
48.18427778,16.389575,196.0,2002.0,0.6287628145958344,-6.36,-44.8,-9.00246524810791,-65.05500030517578
51.116535,17.029468,118.0,2005.0,0.9844738167520922,-9.86775,-69.64094925,-8.866856575012207,-63.88547897338867
-40.35,-9.88,54.0,1995.0,0.29671281927349075,-4.17,-16.4,-3.728001832962036,-19.566631317138672
-65.07944444,-63.9775,20.0,1987.0,0.2386727660059501,-14.94,-123.3,-10.790358543395996,-80.4742660522461
9.466666667,100.05,7.0,1979.0,0.29671281927349075,-5.94,-34.4,-4.2508087158203125,-24.075458526611328
19.31396667,-99.3094,2880.0,2016.0,0.9368813462954315,-4.25,-20.51,-2.9883992671966553,-13.188102722167969
-41.15,-71.33,790.0,2002.0,0.6994583270516471,-7.6,-51.0,-11.111536979675293,-83.24419403076172
46.49722222,28.3,156.0,2013.0,-0.2135209154397959,-9.1,-59.9,-8.85615062713623,-63.793148040771484
50.4972,9.9428,921.0,2008.0,-0.6932812268869771,-8.69,-56.85,-9.337918281555176,-67.94803619384766
19.2,-96.13,16.0,1980.0,-0.9634705485641486,-6.78,-42.3,-3.3961174488067627,-16.70437240600586
36.9275,14.72555556,535.0,1999.0,-0.7236440382959123,-5.7,-20.0,-4.759341239929199,-28.461177825927734
31.2,35.75,970.0,1967.0,-0.2884824328806098,-4.23,-12.6,-3.709266424179077,-19.405052185058594
6.166666667,102.2833333,7.0,1982.0,0.741222010848596,-7.24,-40.1,-4.477417945861816,-26.029796600341797
15.33401667,38.92861667,2345.0,2016.0,-0.6932812268869771,0.59,20.8,-2.3112480640411377,-7.348170757293701
39.55339029,2.625298143,3.0,2015.0,0.9510565162951535,-3.92,-22.6,-5.11977481842041,-31.569652557373047
38.05011111,23.866675,498.0,2015.0,-0.9741004551724206,-10.02,-69.3,-4.643360137939453,-27.460926055908203
41.7787,2.5047,604.0,2011.0,-0.9741004551724206,-6.805840889,-41.56076531,-5.933426856994629,-38.5868034362793
50.12,-104.42,580.0,2006.0,0.741222010848596,-9.27,-69.5,-16.485923767089844,-129.59432983398438
-65.07944444,-63.9775,20.0,2001.0,0.2386727660059501,-5.6,-60.7,-9.741175651550293,-71.42583465576172
53.23,6.55,1.0,1979.0,-0.7236440382959123,-7.69,-46.4,-7.121787071228027,-48.83553695678711
33.43005278,43.29637778,60.0,2023.0,-0.661634618242279,-8.51,-47.32,-2.8552746772766113,-11.470500946044922
45.8,28.2,113.0,2007.0,-0.7236440382959123,-11.77,-80.95,-7.914027214050293,-55.668025970458984
41.733333,43.516667,1665.0,2008.0,0.9721181966290613,-9.97,-78.2,-12.646056175231934,-96.4782943725586
18.47,-70.02,60.0,2000.0,0.2802306751992159,-2.46,-8.7,-1.868027925491333,-1.6791491508483887
-2.53,140.72,3.0,1987.0,0.2386727660059501,-6.45,-42.1,-4.655850410461426,-27.568645477294922
41.38333333,12.91666667,5.0,2001.0,0.29671281927349075,-2.61,-80.19,-5.085872650146484,-31.277271270751953
-53.0,-70.833333,37.0,2007.0,-0.2135209154397959,-8.76,-63.5,-8.524266242980957,-60.93088912963867
54.5275,9.5486,43.0,2001.0,0.9760105506323683,-9.95,-72.55,-8.199519157409668,-58.130184173583984
4.05,114.81,24.0,2009.0,-0.9510565162951536,-5.33,-33.74,-7.43582820892334,-51.54391098022461
-4.37,15.25,438.0,1965.0,0.741222010848596,-0.3,13.7,-3.112409830093384,-14.25760269165039
10.00036389,-84.10913333,1173.0,2015.0,-0.9778483415056568,-12.62779556,-92.35212954,-8.517128944396973,-60.86933517456055
-31.75,-60.73,16.0,1999.0,0.741222010848596,-3.0,-8.0,-5.753210067749023,-37.03256607055664
