Region,geometry
High Lat,"MULTIPOLYGON( ((-180 45, 180 45, 180 90, -180 90, -180 45)),  ((-180 -45, 180 -45, 180 -90, -180 -90, -180 -45)))"
Low Lat,"MULTIPOLYGON( ((-180 0, 180 0, 180 45, -180 45, -180 0)), ((-180 0, 180 0, 180 -45, -180 -45, -180 0)) )"
