Region,geometry
PolarWesterlies,"MULTIPOLYGON(((-180 30, 180 30, 180 90, -180 90, -180 30)),((-180 -30, 180 -30, 180 -90, -180 -90, -180 -30)))"
TradeWinds,"POLYGON((-180 30, -180 -30, 180 -30, 180 30, -180 30))"
