Lat,Lon,Alt,Precip,Temp,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Year,JulianDay_Sin,O18 A,H2 A,O18 P,H2 P
49.82,-74.97,381.1,0.0,-13.970465087890602,0.0,0.0,0.0,1.0,0.0,2004.0,0.9721181966290613,-11.99,-84.8,-17.129159927368164,-134.01881408691406
35.67805556,-106.3547222,2380.0,16.76,23.455987548828148,0.0,1.0,0.0,0.0,0.0,1990.0,-0.8958392907349089,-4.14,-35.6,-7.54166841506958,-52.75218963623047
38.66038889,-27.22009444,74.0,18.3,14.9,0.0,0.0,1.0,0.0,0.0,1999.0,0.9973249731081555,-3.965,-22.0,-3.44643497467041,-15.589616775512695
45.32,-75.67,114.0,79.0,15.7,0.0,0.0,0.0,1.0,0.0,2008.0,-0.9634705485641486,-7.48,-49.53515721,-8.129611015319824,-58.34101867675781
45.37,-63.27,40.0,98.0,17.7,0.0,0.0,0.0,1.0,0.0,1977.0,-0.680773409477016,-6.1,-40.0,-8.424060821533203,-60.8574104309082
76.76666667,-18.66666667,12.0,39.2,-9.672979736328102,0.0,0.0,0.0,0.0,1.0,2015.0,-0.7116566222817751,-22.278,-169.1,-18.085081100463867,-140.63682556152344
64.13,-21.93,14.0,65.3,9.9,0.0,0.0,1.0,0.0,0.0,2013.0,0.29671281927349075,-6.75,-50.2,-7.3015851974487305,-51.57767868041992
60.02,-111.97,203.0,30.0,14.0,0.0,0.0,0.0,1.0,0.0,1964.0,0.2802306751992159,-12.4,-109.6,-14.761804580688477,-114.13536071777344
68.78666667,-81.25,8.0,5.0,-32.1,0.0,0.0,0.0,0.0,1.0,1993.0,0.2386727660059501,-39.11,-301.4,-33.2686882019043,-266.0085144042969
58.75,-94.06,5.0,52.0,5.7,0.0,0.0,0.0,1.0,0.0,1990.0,-0.9587178169872964,-18.87,-144.0,-14.281269073486328,-109.39290618896484
35.27,-75.55,3.0,123.0,12.3,0.0,0.0,1.0,0.0,0.0,1972.0,-0.27195815753410524,-4.3,-23.7,-4.49167537689209,-31.06325912475586
37.77,-25.65,175.0,17.0,18.6,0.0,0.0,1.0,0.0,0.0,1988.0,0.2802306751992159,-1.18,-6.3,-3.074504852294922,-14.117549896240234
72.58,-38.4799,3200.0,0.0,-28.33855285644529,0.0,0.0,0.0,0.0,1.0,2011.0,-0.1882267098432439,-45.37545931,-359.6349068,-36.97727584838867,-296.9844665527344
63.37,-135.52,504.0,19.0,6.1,0.0,0.0,0.0,1.0,0.0,1988.0,-0.9634705485641486,-18.3,-144.0,-19.449600219726562,-151.8650360107422
32.2361,-110.9439,753.0,193.0,27.87962963,0.0,1.0,0.0,0.0,0.0,1983.0,-0.9587178169872964,-8.972642487,-63.09015544,-5.7762451171875,-39.36886215209961
46.29,-64.15,39.6,0.0,8.044061279296898,0.0,0.0,0.0,1.0,0.0,2007.0,0.9760105506323683,-13.91,-100.8,-8.516239166259766,-61.06621551513672
40.008,-105.2682583,1660.0,51.6,22.9,0.0,1.0,0.0,0.0,0.0,2015.0,-0.2135209154397959,-7.83,-55.5,-6.78767204284668,-49.87964630126953
76.76666667,-18.66666667,12.0,3.0,-12.5,0.0,0.0,0.0,0.0,1.0,1996.0,0.9721181966290613,-14.51,-113.3,-17.936824798583984,-142.39723205566406
38.66038889,-27.22009444,74.0,2.4,16.5,0.0,0.0,1.0,0.0,0.0,1999.0,0.6152845999633276,-2.21,-9.1,-2.8616812229156494,-12.576618194580078
80.0,-85.56,10.0,2.0,-13.7,0.0,0.0,0.0,0.0,1.0,1989.0,0.741222010848596,-37.59,-277.4,-27.917404174804688,-221.60372924804688
60.72,-135.07,702.0,30.0,-1.3,0.0,1.0,0.0,0.0,0.0,1961.0,-0.9741004551724206,-25.0,-176.1,-20.400434494018555,-159.42617797851562
49.82,-74.97,381.1,0.0,-27.480841064453102,0.0,0.0,0.0,1.0,0.0,1999.0,0.6994583270516471,-16.52,-119.7,-18.614608764648438,-145.9960174560547
49.19472222,-123.0172222,4.3,8.1,18.9,0.0,0.0,1.0,0.0,0.0,2016.0,-0.6932812268869771,-4.75,-39.8,-8.057443618774414,-57.740840911865234
35.27,-75.55,3.0,140.0,23.2,0.0,0.0,1.0,0.0,0.0,1964.0,-0.9634705485641486,-3.9,-23.6,-4.375426292419434,-25.78985595703125
45.37,-63.27,40.0,68.0,-4.2,0.0,0.0,0.0,1.0,0.0,1978.0,0.9510565162951535,-12.8,-90.0,-10.31663703918457,-77.5290756225586
41.05916667,-100.7463889,919.0,1.8907453457359225,23.697442626953148,0.0,0.0,0.0,1.0,0.0,1998.0,-0.3617137307297674,-3.8,-24.0,-6.633596897125244,-45.22401428222656
43.70555556,-72.28833333,173.0,45.0,-16.045812988281227,0.0,0.0,0.0,1.0,0.0,1998.0,0.9510565162951535,-9.9,-76.0,-14.675653457641602,-114.00389862060547
41.05916667,-100.7463889,919.0,9.0,13.9,0.0,0.0,0.0,1.0,0.0,1994.0,0.9368813462954315,-8.8,-56.0,-7.9984025955200195,-57.667179107666016
47.98,-55.82,22.9,0.0,-8.335424804687477,0.0,0.0,0.0,1.0,0.0,1999.0,0.9510565162951535,-7.83,-49.6,-11.978019714355469,-89.72734832763672
53.57,-113.52,671.0,10.0,-8.5,0.0,0.0,0.0,1.0,0.0,1965.0,0.9510565162951535,-27.0,-213.7,-23.620492935180664,-186.77490234375
49.67,-93.72,420.0,2.4214246426709,22.995446777343773,0.0,0.0,0.0,1.0,0.0,2009.0,-0.2135209154397959,-14.45,-106.2,-9.49545669555664,-70.0594711303711
41.15305556,-96.49277778,352.0,4.0,20.5,0.0,0.0,0.0,1.0,0.0,1992.0,0.3131070409358269,-1.7,-8.0,-5.198970317840576,-32.33660888671875
76.76666667,-18.66666667,12.0,19.0,4.8,0.0,0.0,0.0,0.0,1.0,1999.0,-0.2135209154397959,-9.175,-69.45,-13.892616271972656,-106.362548828125
80.0,-85.56,10.0,1.0,-40.8,0.0,0.0,0.0,0.0,1.0,1990.0,0.6994583270516471,-40.81,-311.0,-35.165000915527344,-281.65545654296875
37.77,-25.65,175.0,96.5,15.231591796875025,0.0,0.0,1.0,0.0,0.0,2021.0,0.9721181966290613,-3.95,-21.7,-4.317049503326416,-21.734830856323242
37.77,-25.65,175.0,32.0,22.1,0.0,0.0,1.0,0.0,0.0,2008.0,-0.23030567023061196,-1.35,-2.21,-2.582500696182251,-10.064125061035156
32.2361,-110.9439,753.0,17.018,10.36738351,0.0,1.0,0.0,0.0,0.0,2002.0,-0.2884824328806098,-8.310447761,-52.20895522,-6.378361225128174,-46.40696334838867
35.27,-75.55,3.0,15.0,20.2,0.0,0.0,1.0,0.0,0.0,1962.0,0.741222010848596,-2.0,-11.2,-2.9596452713012695,-13.305244445800781
40.2778,-111.7148,1401.0,5.2,26.1,0.0,1.0,0.0,0.0,0.0,2019.0,-0.680773409477016,-4.12,-32.0,-6.58935546875,-45.614139556884766
49.82,-74.97,381.1,1.5455315297003835,12.989099121093773,0.0,0.0,0.0,1.0,0.0,2006.0,-0.2135209154397959,-11.4,-84.5,-10.691911697387695,-80.26593780517578
45.32,-75.67,114.0,0.0,2.2372070312500227,0.0,0.0,0.0,1.0,0.0,1997.0,0.9510565162951535,-15.9,-117.8,-12.011495590209961,-88.83979797363281
32.2361,-110.9439,753.0,14.986,22.6344086,0.0,1.0,0.0,0.0,0.0,2005.0,-0.9741004551724206,-6.337913492,-42.49101254,-5.253499984741211,-39.37534713745117
47.98,-55.82,22.9,14.620927534997463,12.147241210937525,0.0,0.0,0.0,1.0,0.0,2009.0,-0.9741004551724206,-10.33,-69.1,-8.212261199951172,-59.09397888183594
64.13,-21.93,14.0,38.0,9.0,0.0,0.0,1.0,0.0,0.0,1995.0,0.29671281927349075,-5.87,-44.3,-8.10047721862793,-58.63017654418945
64.13,-21.93,14.0,100.8,8.412957763671898,0.0,0.0,1.0,0.0,0.0,2018.0,0.7295575540864875,-4.782,-31.7,-6.847690105438232,-47.756500244140625
49.38,-82.12,245.0,0.0,7.269891357421898,0.0,0.0,0.0,1.0,0.0,2007.0,0.9760105506323683,-17.06,-123.7,-12.69200325012207,-92.5068359375
35.13,-111.67,2137.0,28.0,-4.7,0.0,0.0,0.0,1.0,0.0,1966.0,0.2386727660059501,-14.1,-113.9,-12.022476196289062,-91.41197967529297
51.01666667,-114.0166667,1049.0,19.9,-5.248510742187477,0.0,0.0,0.0,1.0,0.0,2020.0,0.7116566222817746,-20.232,-167.5,-23.81974220275879,-188.37437438964844
37.77,-25.65,175.0,76.9,19.8,0.0,0.0,1.0,0.0,0.0,2005.0,0.29671281927349075,-2.42,-11.99,-4.109220027923584,-20.948863983154297
37.77,-25.65,175.0,141.0,12.8,0.0,0.0,1.0,0.0,0.0,1996.0,0.2386727660059501,-4.8,-22.6,-4.229247570037842,-22.30257225036621
45.32,-75.67,114.0,148.0,7.2,0.0,0.0,0.0,1.0,0.0,2003.0,-0.9741004551724206,-14.14,-91.9,-9.90511703491211,-73.44837188720703
72.58,-38.4799,3200.0,0.0,-19.379431152343727,0.0,0.0,0.0,0.0,1.0,2012.0,0.6551563572090853,-33.29814048,-250.7016686,-29.054279327392578,-231.1184539794922
62.28,-114.27,205.0,6.0,-3.4,0.0,0.0,0.0,1.0,0.0,1993.0,0.9760105506323683,-20.63,-150.5,-21.014711380004883,-165.3699951171875
62.28,-114.27,205.0,7.0,-23.2,0.0,0.0,0.0,1.0,0.0,1992.0,-0.27195815753410524,-28.24,-213.5,-26.23451042175293,-207.32835388183594
32.37,-64.68,6.0,65.0,20.6,0.0,0.0,1.0,0.0,0.0,1964.0,-0.7116566222817751,-4.8,-25.5,-3.7217164039611816,-20.784870147705078
74.72,-94.98,67.0,1.2,-25.35039367675779,0.0,0.0,0.0,0.0,1.0,2022.0,0.255353295116187,-33.413,-261.4,-29.40547752380371,-233.94309997558594
37.77,-25.65,175.0,111.0,15.3,0.0,0.0,1.0,0.0,0.0,1965.0,0.9510565162951535,-4.1,-18.0,-4.366971015930176,-23.68450164794922
82.5,-62.33333333,62.0,12.0,-29.8,0.0,0.0,0.0,0.0,1.0,1990.0,0.9510565162951535,-41.83,-319.9,-32.35623550415039,-258.4454345703125
38.7,-27.34,200.0,43.0,23.4,0.0,0.0,1.0,0.0,0.0,1998.0,-0.680773409477016,-2.17,-5.4,-2.9218010902404785,-13.038190841674805
58.75,-94.06,5.0,27.0,-10.9,0.0,0.0,0.0,1.0,0.0,1990.0,0.9760105506323683,-17.95,-133.4,-20.890527725219727,-164.49253845214844
47.67,-124.48,21.0,38.0,8.194879150390648,0.0,0.0,1.0,0.0,0.0,1964.0,0.7295575540864875,-2.5,-14.9,-8.278590202331543,-60.27182388305664
72.58,-38.4799,3200.0,0.9383285738294944,-11.261297607421852,0.0,0.0,0.0,0.0,1.0,2012.0,0.5877852522924732,-32.17054911,-247.3272345,-23.974714279174805,-188.2322235107422
37.77,-25.65,175.0,92.4,15.390496826171898,0.0,0.0,1.0,0.0,0.0,2018.0,0.7116566222817746,-4.319,-18.7,-4.347421646118164,-22.36492156982422
45.32,-75.67,114.0,58.6,6.4,0.0,0.0,0.0,1.0,0.0,2018.0,-0.9741004551724206,-11.53,-75.6,-10.061281204223633,-74.86983489990234
37.77,-25.65,175.0,115.0,20.5,0.0,0.0,1.0,0.0,0.0,1989.0,-0.9587178169872964,-3.12,-13.3,-3.678999423980713,-22.305288314819336
76.76666667,-18.66666667,12.0,5.4,-23.5,0.0,0.0,0.0,0.0,1.0,2017.0,0.9510565162951535,-29.73,-230.8,-18.852399826049805,-149.8712615966797
72.58,-38.4799,3200.0,0.2174288798414636,-7.681799316406227,0.0,0.0,0.0,0.0,1.0,2011.0,-0.37770796520396466,-25.14504267,-185.4983682,-27.55160903930664,-216.1582794189453
64.13,-21.93,14.0,99.0,2.2,0.0,0.0,1.0,0.0,0.0,1998.0,-0.7236440382959123,-10.86,-82.9,-8.645191192626953,-62.85691833496094
31.62,-97.22,156.0,8.0,15.0,0.0,0.0,1.0,0.0,0.0,1976.0,0.6994583270516471,0.79,13.0,-2.9629135131835938,-14.987783432006836
76.76666667,-18.66666667,12.0,0.2,5.4,0.0,0.0,0.0,0.0,1.0,2008.0,-0.23030567023061196,-17.99,-151.89,-14.760721206665039,-113.40534210205078
64.13,-21.93,14.0,98.0,-4.584967041015602,0.0,0.0,1.0,0.0,0.0,2017.0,-0.7116566222817751,-4.266,-24.4,-8.031156539916992,-57.74055862426758
41.15305556,-96.49277778,352.0,4.0,1.3,0.0,0.0,0.0,1.0,0.0,1993.0,0.8919813464595485,-17.8,-126.0,-11.368789672851562,-85.93425750732422
49.82,-74.97,381.1,0.0,-5.676611328124977,0.0,0.0,0.0,1.0,0.0,2002.0,0.6994583270516471,-22.87,-167.9,-16.760976791381836,-131.00315856933594
53.32,-60.42,46.0,1.5852149168495089,2.7012878417968977,0.0,0.0,0.0,1.0,0.0,2000.0,-0.970063921851507,-14.77,-104.1,-12.744020462036133,-96.99059295654297
63.37,-135.52,504.0,16.0,-16.4,0.0,0.0,0.0,1.0,0.0,1988.0,-0.27195815753410524,-28.5,-210.0,-25.173107147216797,-199.00973510742188
46.28916667,-63.11916667,48.5,44.6,19.84761962890628,0.0,0.0,0.0,1.0,0.0,2020.0,-0.24702218048093527,-7.038,-46.9,-7.46600866317749,-52.70203399658203
35.27,-75.55,3.0,117.0,24.9,0.0,0.0,1.0,0.0,0.0,1963.0,-0.680773409477016,-2.6,-11.8,-4.033852577209473,-23.38389015197754
51.01666667,-114.0166667,1049.0,19.0,-0.9,0.0,0.0,0.0,1.0,0.0,1995.0,-0.9741004551724206,-18.0,-148.6,-19.029460906982422,-148.70713806152344
38.72,-27.33,500.0,148.0,20.0,0.0,0.0,1.0,0.0,0.0,1998.0,-0.9587178169872964,-3.08,-11.0,-3.5007739067077637,-17.159435272216797
76.76666667,-18.66666667,12.0,23.7,-17.507849121093727,0.0,0.0,0.0,0.0,1.0,2021.0,-0.7116566222817751,-18.823,-138.7,-19.367631912231445,-151.23609924316406
45.32,-75.67,114.0,78.0,16.713494873046898,0.0,0.0,0.0,1.0,0.0,1997.0,0.741222010848596,-10.9,-71.8,-7.757569313049316,-55.66326904296875
42.85,-80.27,240.0,40.0,20.1,0.0,0.0,0.0,1.0,0.0,1978.0,-0.2135209154397959,-6.9,-39.0,-6.471492290496826,-44.41462326049805
49.82,-74.97,381.1,5.01586088212207,16.746820068359398,0.0,0.0,0.0,1.0,0.0,1998.0,-0.2135209154397959,-13.01,-93.5,-10.325887680053711,-77.06424713134766
37.77,-25.65,175.0,0.5,22.0,0.0,0.0,1.0,0.0,0.0,2010.0,-0.2135209154397959,0.27,6.1,-2.3169124126434326,-8.85979175567627
46.585217,-66.009974,43.0,55.9,15.7,0.0,0.0,0.0,1.0,0.0,2017.0,0.29671281927349075,-11.27,-81.63,-7.800364971160889,-55.79385757446289
44.23,-79.77,251.0,0.0,-11.342047119140602,0.0,0.0,0.0,1.0,0.0,2001.0,0.6994583270516471,-13.49,-89.7,-14.98543930053711,-116.45084381103516
76.76666667,-18.66666667,12.0,5.3,4.004205322265648,0.0,0.0,0.0,0.0,1.0,2017.0,0.2802306751992159,-7.634,-58.7,-14.176925659179688,-107.53971099853516
53.97,-101.1,272.0,26.0,-21.0,0.0,0.0,0.0,1.0,0.0,1980.0,-0.27195815753410524,-25.6,-189.0,-25.729951858520508,-203.87657165527344
42.85,-80.27,240.0,88.0,-8.0,0.0,0.0,0.0,1.0,0.0,1978.0,0.2386727660059501,-22.0,-165.0,-13.77114486694336,-106.3440170288086
53.57,-113.52,671.0,35.0,-22.4,0.0,0.0,0.0,1.0,0.0,1966.0,0.2386727660059501,-26.7,-198.5,-24.429134368896484,-191.96067810058594
45.3738,-75.6862,80.0,56.9,8.5,0.0,0.0,0.0,1.0,0.0,2021.0,0.9760105506323683,-12.1,-86.8,-8.677404403686523,-59.88156509399414
40.37,-81.8,344.0,95.0,16.661279296875023,0.0,0.0,0.0,1.0,0.0,1970.0,-0.2135209154397959,-6.26,-39.5,-5.751400470733643,-38.64052963256836
48.65,-123.43,20.0,34.0,10.9,0.0,0.0,1.0,0.0,0.0,1976.0,-0.7116566222817751,-5.8,-40.0,-9.632467269897461,-70.81271362304688
37.77,-25.65,175.0,56.9,15.6,0.0,0.0,1.0,0.0,0.0,1995.0,0.6994583270516471,-4.43,-25.1,-3.827627182006836,-19.38276481628418
82.5,-62.33333333,62.0,3.0,-28.6,0.0,0.0,0.0,0.0,1.0,1991.0,0.9510565162951535,-36.54,-287.3,-31.9589786529541,-255.15655517578125
53.57,-113.52,671.0,20.0,-10.3,0.0,0.0,0.0,1.0,0.0,1965.0,-0.2884824328806098,-34.8,-259.4,-23.160701751708984,-182.60325622558594
68.78666667,-81.25,8.0,47.0,-0.2,0.0,0.0,0.0,0.0,1.0,1991.0,-0.9587178169872964,-17.42,-136.0,-17.760873794555664,-138.1864471435547
40.37,-81.8,344.0,64.0,-20.37448730468748,0.0,0.0,0.0,1.0,0.0,1966.0,0.6994583270516471,-15.0,-108.3,-16.302724838256836,-127.1119613647461
76.52,-68.83,77.0,21.0,6.0,0.0,0.0,0.0,0.0,1.0,1969.0,-0.2135209154397959,-16.06,-125.7,-15.578344345092773,-120.59050750732422
53.32,-60.42,46.0,2.241759019671008,4.891778564453148,0.0,0.0,0.0,1.0,0.0,2007.0,-0.7236440382959123,-15.83,-113.1,-12.48063850402832,-94.99160766601562
53.32,-60.42,46.0,9.989287122152746,22.597070312500023,0.0,0.0,0.0,1.0,0.0,2005.0,-0.680773409477016,-12.36,-89.8,-9.590255737304688,-70.8587646484375
45.32,-75.67,114.0,64.0,20.9,0.0,0.0,0.0,1.0,0.0,1991.0,-0.680773409477016,-11.21,-74.9,-8.589808464050293,-62.24857711791992
