Lat,Lon,Alt,Year,JulianDay_Sin,O18 A,H2 A,O18 P,H2 P
52.3,104.2833333,427.25,2011.0,0.29671281927349075,-14.0,-111.2,-16.117767333984375,-114.08191680908203
52.3,104.2833333,427.25,2011.0,-0.2135209154397959,-9.7,-74.1,-16.066551208496094,-113.68543243408203
52.3,104.2833333,427.25,2011.0,-0.680773409477016,-14.2,-101.4,-15.203193664550781,-107.00183868408203
52.3,104.2833333,427.25,2011.0,-0.9587178169872964,-13.1,-108.0,-15.173927307128906,-106.77527618408203
52.3,104.2833333,427.25,2011.0,-0.9741004551724206,-17.3,-127.0,-15.144660949707031,-106.54871368408203
52.3,104.2833333,427.25,2011.0,-0.7236440382959123,-30.1,-224.1,-15.188560485839844,-106.88855743408203
52.3,104.2833333,427.25,2011.0,-0.2884824328806098,-27.3,-208.7,-15.949485778808594,-112.77918243408203
52.3,104.2833333,427.25,2012.0,0.2386727660059501,-29.0,-218.7,-16.117767333984375,-114.08191680908203
52.3,104.2833333,427.25,2012.0,0.6994583270516471,-26.4,-207.4,-15.993385314941406,-113.11902618408203
52.3,104.2833333,427.25,2012.0,0.2802306751992159,-10.0,-91.8,-16.103134155273438,-113.96863555908203
52.3,104.2833333,427.25,2012.0,-0.23030567023061196,-13.0,-100.8,-16.02265167236328,-113.34558868408203
52.3,104.2833333,427.25,2012.0,-0.6932812268869771,-11.0,-87.1,-15.1519775390625,-106.60535430908203
52.3,104.2833333,427.25,2012.0,-0.9634705485641486,-15.0,-107.9,-15.108078002929688,-106.26551055908203
52.3,104.2833333,427.25,2012.0,-0.970063921851507,-29.9,-225.5,-15.09344482421875,-106.15222930908203
52.3,104.2833333,427.25,2012.0,-0.7116566222817751,-22.3,-165.9,-15.144660949707031,-106.54871368408203
52.3,104.2833333,427.25,2013.0,0.2386727660059501,-29.2,-226.2,-16.103134155273438,-113.96863555908203
52.3,104.2833333,427.25,2013.0,0.6994583270516471,-30.7,-251.3,-15.993385314941406,-113.11902618408203
52.3,104.2833333,427.25,2013.0,0.9510565162951535,-21.8,-169.2,-15.956802368164062,-112.83582305908203
52.3,104.2833333,427.25,2013.0,0.9760105506323683,-12.6,-86.7,-15.949485778808594,-112.77918243408203
52.3,104.2833333,427.25,2013.0,0.741222010848596,-12.8,-103.1,-15.986068725585938,-113.06238555908203
52.3,104.2833333,427.25,2013.0,0.29671281927349075,-12.7,-99.7,-16.08118438720703,-113.79871368408203
52.3,104.2833333,427.25,2013.0,-0.2135209154397959,-12.2,-103.6,-16.02996826171875,-113.40222930908203
