Lat,Lon,Alt,Year,JulianDay_Sin,KPN_A,KPN_B,KPN_C,KPN_D,KPN_E,Precip,ENSO,NAO,O18,H2,O18 P,H2 P
52.3,104.2833333,427.25,2011,0.29671281927349075,0,0,0,1,0,0.0,0.4,-1.28,-14.0,-111.2,-15.18777,-105.943886
52.3,104.2833333,427.25,2011,-0.2135209154397959,0,0,0,1,0,2.2211607e-05,1.6,-1.51,-9.7,-74.1,-15.973659,-111.86515
52.3,104.2833333,427.25,2011,-0.680773409477016,0,0,0,1,0,4.754567e-05,0.7,-1.35,-14.2,-101.4,-15.495753,-108.26438
52.3,104.2833333,427.25,2011,-0.9587178169872964,0,0,0,1,0,0.0,1.7,0.54,-13.1,-108.0,-14.932887,-104.023476
52.3,104.2833333,427.25,2011,-0.9741004551724206,0,0,0,1,0,0.0,1.2,0.39,-17.3,-127.0,-14.943507,-104.10349
52.3,104.2833333,427.25,2011,-0.7236440382959123,0,0,0,1,0,0.0,1.8,1.36,-30.1,-224.1,-15.092189,-105.22373
52.3,104.2833333,427.25,2011,-0.2884824328806098,0,0,0,1,0,0.0,4.1,2.52,-27.3,-208.7,-18.193264,-128.58871
52.3,104.2833333,427.25,2012,0.2386727660059501,0,0,0,1,0,5.3495005e-06,1.8,1.17,-29.0,-218.7,-17.683498,-124.7479
52.3,104.2833333,427.25,2012,0.6994583270516471,0,0,0,1,0,1.175598e-05,0.8,0.42,-26.4,-207.4,-17.152493,-120.74705
52.3,104.2833333,427.25,2012,0.2802306751992159,0,0,0,1,0,2.3862134e-05,-0.7,-2.53,-10.0,-91.8,-14.858546,-103.463356
52.3,104.2833333,427.25,2012,-0.23030567023061196,0,0,0,1,0,0.0,-0.1,-1.32,-13.0,-100.8,-15.325831,-106.98411
52.3,104.2833333,427.25,2012,-0.6932812268869771,0,0,0,1,0,2.9586212e-05,-0.3,-0.98,-11.0,-87.1,-15.633815,-109.3046
52.3,104.2833333,427.25,2012,-0.9634705485641486,0,0,0,1,0,1.6699816e-05,0.4,-0.59,-15.0,-107.9,-14.8797865,-103.62339
52.3,104.2833333,427.25,2012,-0.970063921851507,0,0,0,1,0,0.0,0.5,-2.06,-29.9,-225.5,-14.975368,-104.343544
52.3,104.2833333,427.25,2012,-0.7116566222817751,0,0,0,1,0,0.0,0.4,-0.58,-22.3,-165.9,-15.5169935,-108.424416
52.3,104.2833333,427.25,2013,0.2386727660059501,0,0,0,1,0,0.0,-0.1,0.35,-29.2,-226.2,-16.695827,-117.30631
52.3,104.2833333,427.25,2013,0.6994583270516471,0,0,0,1,0,0.0,-0.4,-0.45,-30.7,-251.3,-15.846217,-110.904945
52.3,104.2833333,427.25,2013,0.9510565162951535,0,0,0,1,0,0.0,2.5,-1.61,-21.8,-169.2,-17.226833,-121.30717
52.3,104.2833333,427.25,2013,0.9760105506323683,0,0,0,1,0,0.0,0.4,0.69,-12.6,-86.7,-16.515285,-115.94602
52.3,104.2833333,427.25,2013,0.741222010848596,0,0,0,1,0,0.0,1.3,0.57,-12.8,-103.1,-17.449856,-122.987526
