Lat,Lon,Alt,Year,JulianDay_Sin,O18 A,H2 A,O18 P,H2 P
37.1644591,-5.611393166,86.394531,2013.0,0.9510565162951535,-3.87,-22.8,-4.449071407318115,-24.93286895751953
42.033333,43.483333,1077.1875,2017.0,-0.2135209154397959,-3.27,-22.2,-9.088483810424805,-64.6874771118164
64.69939722,-148.2525028,121.98047,2004.0,0.36171373072976765,-16.63,-130.9,-16.874818801879883,-129.36903381347656
48.22,11.59,494.59375,1995.0,-0.2135209154397959,-4.96,-28.3,-9.889936447143555,-71.3451919555664
-34.05,115.0249,77.78125,2007.0,-0.47115950767386394,-2.04,-1.0,-2.978908061981201,-10.6807279586792
52.1,5.18,1.7967529,1981.0,-0.2884824328806098,-11.09,-69.2,-6.486545085906982,-43.073020935058594
46.22030867,7.33848445,481.70312,2001.0,0.29671281927349075,-5.2,-40.9,-9.478078842163086,-67.92386627197266
51.83,6.25,9.5,1993.0,0.9510565162951535,-6.74,-49.7,-6.931796550750732,-46.771751403808594
48.24861111,16.35638889,200.63281,1979.0,0.2386727660059501,-19.18,-140.6,-9.734098434448242,-70.0506362915039
51.1622,14.9506,238.80469,2012.0,-0.23030567023061196,-5.75,-37.8,-9.027261734008789,-64.17890167236328
32.63333333,-16.9,0.0,2004.0,-0.970063921851507,-1.98,-10.6,-2.978908061981201,-10.6807279586792
48.8281,9.2,313.79688,1983.0,-0.2884824328806098,-7.92,-64.0,-8.710020065307617,-61.543556213378906
33.96666667,-4.983333333,500.04688,2017.0,0.2386727660059501,-5.95,-26.4,-4.692041397094727,-27.66175079345703
43.73238889,7.423583333,8.8959961,2014.0,0.9510565162951535,-7.43,-52.5,-5.07565450668335,-31.35266876220703
39.46666667,-6.333333333,410.0,2021.0,0.9760105506323683,-4.4,-26.4,-5.395678997039795,-34.011131286621094
76.76666667,-18.66666667,0.0,2010.0,0.9510565162951535,-23.37,-177.3,-17.064050674438477,-130.9409942626953
-33.11011944,-64.24918333,408.09375,2020.0,-0.970063921851507,-2.38,-2.1,-3.8506529331207275,-18.202301025390625
46.95222563,7.439320571,542.53125,1986.0,-0.2884824328806098,-11.0,-77.2,-10.001249313354492,-72.2698745727539
51.93,-10.25,33.068359,1980.0,-0.970063921851507,-5.57,-36.2,-5.280191898345947,-33.05177307128906
36.83,10.23,0.0,1977.0,0.741222010848596,0.3,-4.5,-4.622982025146484,-26.886089324951172
45.46666667,13.61666667,0.5645752,2003.0,0.03442161162274574,-3.57,-23.78,-7.137725353240967,-48.48241424560547
45.37,-63.27,12.535156,1982.0,0.6994583270516471,-12.3,-86.0,-10.21830940246582,-74.07300567626953
46.65772518,8.292706832,1061.3125,2006.0,-0.9587178169872964,-12.25,-90.04,-9.48921012878418,-68.0163345336914
50.06166667,19.84861111,356.8125,1991.0,0.741222010848596,-9.07,-58.4,-10.073602676391602,-72.87091827392578
-33.95833333,18.46111111,109.49609,2001.0,0.6807734094770161,-1.22,1.0,-3.6710970401763916,-16.184371948242188
33.21722222,-87.54305556,64.535156,2007.0,-0.3697245428906732,-2.5,-11.5,-3.9919118881225586,-19.791767120361328
-46.42,168.32,-0.90939331,2014.0,-0.2884824328806098,-5.82,-40.7,-7.204513072967529,-49.03722381591797
49.19472222,-123.0172222,1.3475342,2018.0,-0.2884824328806098,-11.59,-81.8,-10.106996536254883,-73.14832305908203
68.78666667,-81.25,7.5170898,1989.0,0.9760105506323683,-30.74,-227.8,-26.536775588989258,-209.63148498535156
58.38277778,21.81416667,5.9343262,2016.0,-0.9634705485641486,-6.35,-45.7,-8.910383224487305,-63.207984924316406
51.93,-10.25,33.068359,1963.0,0.2386727660059501,-7.6,-47.7,-5.5904765129089355,-35.62932586669922
44.42,8.85,5.4519043,1985.0,0.9760105506323683,-2.38,-8.6,-6.275050640106201,-41.316123962402344
45.80666667,15.97,120.36328,1984.0,-0.6932812268869771,-5.84,-37.5,-7.710986614227295,-53.244529724121094
36.78,3.052222222,139.10156,2002.0,-0.2884824328806098,-7.19,-47.6,-4.758115768432617,-28.40743637084961
43.49111613,-3.800555816,50.095703,2016.0,-0.7116566222817751,-8.13,-46.2,-4.890596866607666,-29.815383911132812
47.4828,11.0622,716.1875,2006.0,0.9760105506323683,-10.01,-79.3,-10.82496452331543,-79.1125259399414
50.4972,9.9428,920.40625,1995.0,-0.680773409477016,-7.16,-46.5,-8.33155632019043,-58.399635314941406
46.72738634,8.186782163,600.90625,2023.0,-0.680773409477016,-7.55,-53.64,-8.821332931518555,-62.468238830566406
40.80638889,-104.7547222,1641.75,1996.0,0.9992500112396835,-9.3,-66.0,-13.323938369750977,-99.87165069580078
42.85,-80.27,228.9375,1982.0,0.6994583270516471,-14.7,-104.0,-8.921514511108398,-63.300453186035156
50.7311,13.7514,876.875,2012.0,-0.27195815753410524,-14.06,-101.6,-9.316675186157227,-66.58307647705078
