Lat,Lon,Alt,Year,JulianDay_Sin,Precip,O18 A,H2 A,O18 P,H2 P
11.12,124.62,231.36719,1998.0,0.29671281927349075,7.127512799343094e-05,-7.15,-47.6,-2.9644289016723633,-13.327020645141602
37.1644591,-5.611393166,86.394531,2013.0,0.9510565162951535,0.0,-3.87,-22.8,-4.623027324676514,-25.979394912719727
29.35541116,34.96028149,7.939209,1969.0,0.2386727660059501,0.0,-1.05,1.2,-4.452056407928467,-20.801300048828125
42.033333,43.483333,1077.1875,2017.0,-0.2135209154397959,4.415451621753164e-05,-3.27,-22.2,-2.985546588897705,-17.63197898864746
64.69939722,-148.2525028,121.98047,2004.0,0.36171373072976765,0.0,-16.63,-130.9,-16.575654983520508,-130.978515625
-16.49888889,-68.12305556,3582.75,2000.0,0.6994583270516471,6.722265243297443e-05,-15.47,-110.65,-15.234696388244629,-115.92144775390625
48.22,11.59,494.59375,1995.0,-0.2135209154397959,0.0,-4.96,-28.3,-7.688182830810547,-52.48335266113281
-34.05,115.0249,77.78125,2007.0,-0.47115950767386394,4.889923002338037e-05,-2.04,-1.0,-3.002368211746216,-12.464356422424316
52.1,5.18,1.7967529,1981.0,-0.2884824328806098,0.0,-11.09,-69.2,-9.409563064575195,-68.19317626953125
46.22030867,7.33848445,481.70312,2001.0,0.29671281927349075,0.0,-5.2,-40.9,-6.162595748901367,-42.95941162109375
51.83,6.25,9.5,1993.0,0.9510565162951535,6.891664270369802e-06,-6.74,-49.7,-6.911073207855225,-47.9339714050293
18.47,-70.02,1.0,1996.0,0.2802306751992159,0.0,-2.44,-11.35,-1.3482450246810913,-2.746479034423828
-0.37,-78.55,3064.0,2018.0,0.2386727660059501,4.760956289828755e-05,-12.43,-90.2,-9.383125305175781,-67.9568099975586
48.24861111,16.35638889,200.63281,1979.0,0.2386727660059501,0.0,-19.18,-140.6,-13.49303150177002,-101.54308319091797
51.1622,14.9506,238.80469,2012.0,-0.23030567023061196,1.950140540429857e-05,-5.75,-37.8,-6.476313591003418,-44.85377502441406
22.31666667,114.1666667,34.056641,2004.0,-0.6932812268869771,0.0001875762100098,-7.26,-48.5,-7.344879627227783,-49.49514389038086
32.63333333,-16.9,0.0,2004.0,-0.970063921851507,0.0,-1.98,-10.6,-3.998767375946045,-20.814102172851562
48.8281,9.2,313.79688,1983.0,-0.2884824328806098,4.063042069901712e-05,-7.92,-64.0,-10.137721061706543,-76.32774353027344
33.96666667,-4.983333333,500.04688,2017.0,0.2386727660059501,0.0002190735831391,-5.95,-26.4,-6.294352054595947,-42.27133560180664
4.036666667,9.734166667,39.230469,2010.0,-0.680773409477016,0.0,-1.265224179,-1.106035282,-2.1650314331054688,-6.31704044342041
43.73238889,7.423583333,8.8959961,2014.0,0.9510565162951535,0.0,-7.43,-52.5,-5.4414896965026855,-32.82203674316406
39.46666667,-6.333333333,410.0,2021.0,0.9760105506323683,0.0,-4.4,-26.4,-4.575479030609131,-27.871171951293945
76.76666667,-18.66666667,0.0,2010.0,0.9510565162951535,0.0,-23.37,-177.3,-18.85260009765625,-144.78048706054688
-33.11011944,-64.24918333,408.09375,2020.0,-0.970063921851507,0.0,-2.38,-2.1,-2.6689648628234863,-6.496159553527832
46.95222563,7.439320571,542.53125,1986.0,-0.2884824328806098,4.848729804507457e-05,-11.0,-77.2,-13.614018440246582,-102.6669692993164
51.93,-10.25,33.068359,1980.0,-0.970063921851507,0.000149682367919,-5.57,-36.2,-4.532170295715332,-27.37588119506836
36.83,10.23,0.0,1977.0,0.741222010848596,0.0,0.3,-4.5,-3.1899232864379883,-18.13690185546875
45.46666667,13.61666667,0.5645752,2003.0,0.03442161162274574,0.0,-3.57,-23.78,-11.199641227722168,-81.47122955322266
-22.399288,-47.543743,626.78125,2017.0,0.9760105506323683,0.0,-7.11,-45.5,-5.937955856323242,-36.801124572753906
45.37,-63.27,12.535156,1982.0,0.6994583270516471,4.434667062014341e-05,-12.3,-86.0,-9.832184791564941,-70.80702209472656
22.32555556,-81.18527778,4.9055176,1984.0,-0.23030567023061196,9.13260446395725e-05,-1.12,0.6,-1.9252640008926392,-5.821106910705566
